GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
933cc04f-f78c-4199-8700-10c1b44596c1	1	62920	98588	12	-0.9164
933cc04f-f78c-4199-8700-10c1b44596c1	1	98602	462894	7	0.3729
933cc04f-f78c-4199-8700-10c1b44596c1	1	599171	34626073	18968	0.0147
933cc04f-f78c-4199-8700-10c1b44596c1	1	34637053	34638890	20	-0.866
933cc04f-f78c-4199-8700-10c1b44596c1	1	34648667	72303253	23767	0.0136
933cc04f-f78c-4199-8700-10c1b44596c1	1	72305460	72345450	43	-1.3228
933cc04f-f78c-4199-8700-10c1b44596c1	1	72345465	75585159	1932	0.017
933cc04f-f78c-4199-8700-10c1b44596c1	1	75589078	75589169	2	-1.9898
933cc04f-f78c-4199-8700-10c1b44596c1	1	75593824	109679105	21671	0.0204
933cc04f-f78c-4199-8700-10c1b44596c1	1	109684695	109707613	19	-0.5562
933cc04f-f78c-4199-8700-10c1b44596c1	1	109707614	112145689	1941	0.0142
933cc04f-f78c-4199-8700-10c1b44596c1	1	112147589	112154591	25	-0.5072
933cc04f-f78c-4199-8700-10c1b44596c1	1	112154619	119581111	4744	0.0153
933cc04f-f78c-4199-8700-10c1b44596c1	1	119582905	119582932	2	-1.4709
933cc04f-f78c-4199-8700-10c1b44596c1	1	119583034	121705338	415	-0.0052
933cc04f-f78c-4199-8700-10c1b44596c1	1	143459641	143928045	127	-0.8776
933cc04f-f78c-4199-8700-10c1b44596c1	1	143942271	153665141	3163	0.0175
933cc04f-f78c-4199-8700-10c1b44596c1	1	153669919	153701198	13	0.6357
933cc04f-f78c-4199-8700-10c1b44596c1	1	153704086	169247699	10654	0.0172
933cc04f-f78c-4199-8700-10c1b44596c1	1	169264736	169272528	7	0.8392
933cc04f-f78c-4199-8700-10c1b44596c1	1	169273163	209895652	27029	0.0151
933cc04f-f78c-4199-8700-10c1b44596c1	1	209897717	209910639	4	1.1552
933cc04f-f78c-4199-8700-10c1b44596c1	1	209913207	227237600	11663	0.0144
933cc04f-f78c-4199-8700-10c1b44596c1	1	227238371	227238705	3	-1.2964
933cc04f-f78c-4199-8700-10c1b44596c1	1	227241477	248525314	15179	0.0151
933cc04f-f78c-4199-8700-10c1b44596c1	1	248546369	248645808	38	-0.7291
933cc04f-f78c-4199-8700-10c1b44596c1	1	248646068	248930189	139	-0.0207
933cc04f-f78c-4199-8700-10c1b44596c1	2	12784	13062181	10001	0.0103
933cc04f-f78c-4199-8700-10c1b44596c1	2	13062541	13135672	38	0.5462
933cc04f-f78c-4199-8700-10c1b44596c1	2	13139155	34458223	14044	0.0135
933cc04f-f78c-4199-8700-10c1b44596c1	2	34460213	34512965	51	0.3725
933cc04f-f78c-4199-8700-10c1b44596c1	2	34515572	52527342	13004	0.0211
933cc04f-f78c-4199-8700-10c1b44596c1	2	52527362	52527743	5	-1.8391
933cc04f-f78c-4199-8700-10c1b44596c1	2	52531615	52554366	31	-0.4549
933cc04f-f78c-4199-8700-10c1b44596c1	2	52554384	64430159	7616	0.0133
933cc04f-f78c-4199-8700-10c1b44596c1	2	64435913	64436848	4	-1.2084
933cc04f-f78c-4199-8700-10c1b44596c1	2	64437131	76701930	7994	0.0163
933cc04f-f78c-4199-8700-10c1b44596c1	2	76708905	76722189	15	-0.8221
933cc04f-f78c-4199-8700-10c1b44596c1	2	76722438	85105322	5325	0.0153
933cc04f-f78c-4199-8700-10c1b44596c1	2	85105337	85106283	2	-1.8632
933cc04f-f78c-4199-8700-10c1b44596c1	2	85106853	87207066	1066	-0.0037
933cc04f-f78c-4199-8700-10c1b44596c1	2	87207935	87892388	103	-0.2329
933cc04f-f78c-4199-8700-10c1b44596c1	2	87894092	97359885	1722	-0.0226
933cc04f-f78c-4199-8700-10c1b44596c1	2	97524284	97545726	9	-1.1007
933cc04f-f78c-4199-8700-10c1b44596c1	2	97550415	106264257	5568	0.0133
933cc04f-f78c-4199-8700-10c1b44596c1	2	106265083	106270799	11	-0.6299
933cc04f-f78c-4199-8700-10c1b44596c1	2	106270952	128880504	13385	0.0179
933cc04f-f78c-4199-8700-10c1b44596c1	2	128880904	128882741	15	-0.4977
933cc04f-f78c-4199-8700-10c1b44596c1	2	128882755	130037806	878	0.0187
933cc04f-f78c-4199-8700-10c1b44596c1	2	130059766	130116915	11	-1.0938
933cc04f-f78c-4199-8700-10c1b44596c1	2	130117303	139894851	5681	0.0091
933cc04f-f78c-4199-8700-10c1b44596c1	2	139895528	139898391	3	-1.5279
933cc04f-f78c-4199-8700-10c1b44596c1	2	139899738	207490231	40836	0.0152
933cc04f-f78c-4199-8700-10c1b44596c1	2	207490454	207494612	15	-0.9526
933cc04f-f78c-4199-8700-10c1b44596c1	2	207494752	242147305	22078	0.0161
933cc04f-f78c-4199-8700-10c1b44596c1	3	20930	75519398	52735	0.0182
933cc04f-f78c-4199-8700-10c1b44596c1	3	75523398	75547095	7	-1.5225
933cc04f-f78c-4199-8700-10c1b44596c1	3	75559488	75677905	24	-0.1106
933cc04f-f78c-4199-8700-10c1b44596c1	3	75684643	75747577	14	-0.5524
933cc04f-f78c-4199-8700-10c1b44596c1	3	75748496	85441637	5411	0.0243
933cc04f-f78c-4199-8700-10c1b44596c1	3	85443009	85554493	61	0.2485
933cc04f-f78c-4199-8700-10c1b44596c1	3	85554607	125950205	21813	0.0159
933cc04f-f78c-4199-8700-10c1b44596c1	3	125954540	125957120	3	-1.5571
933cc04f-f78c-4199-8700-10c1b44596c1	3	125961657	130067896	2391	0.0111
933cc04f-f78c-4199-8700-10c1b44596c1	3	130067910	130087393	28	0.6248
933cc04f-f78c-4199-8700-10c1b44596c1	3	130088081	130202376	35	-0.1677
933cc04f-f78c-4199-8700-10c1b44596c1	3	130210782	162769893	20207	0.0169
933cc04f-f78c-4199-8700-10c1b44596c1	3	162771678	162908207	94	0.2411
933cc04f-f78c-4199-8700-10c1b44596c1	3	162908784	186677534	14407	0.0191
933cc04f-f78c-4199-8700-10c1b44596c1	3	186677553	186718815	52	-0.2813
933cc04f-f78c-4199-8700-10c1b44596c1	3	186718987	197912956	7282	0.0161
933cc04f-f78c-4199-8700-10c1b44596c1	3	197915566	198169247	136	-0.1448
933cc04f-f78c-4199-8700-10c1b44596c1	4	68929	3884081	1570	0.0094
933cc04f-f78c-4199-8700-10c1b44596c1	4	3896017	4174902	74	-0.3098
933cc04f-f78c-4199-8700-10c1b44596c1	4	4175446	9459504	3517	0.0102
933cc04f-f78c-4199-8700-10c1b44596c1	4	9462813	9477699	5	-1.6488
933cc04f-f78c-4199-8700-10c1b44596c1	4	9484440	10208766	540	-0.0049
933cc04f-f78c-4199-8700-10c1b44596c1	4	10221792	10229625	27	1.3375
933cc04f-f78c-4199-8700-10c1b44596c1	4	10229874	10389091	179	-0.0124
933cc04f-f78c-4199-8700-10c1b44596c1	4	10390730	10399044	16	-0.7363
933cc04f-f78c-4199-8700-10c1b44596c1	4	10401094	20946436	7671	0.0186
933cc04f-f78c-4199-8700-10c1b44596c1	4	20946712	20946715	2	-1.5939
933cc04f-f78c-4199-8700-10c1b44596c1	4	20946874	32392452	7768	0.0166
