GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	62920	5442662	2354	-0.0985
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	5444949	16864367	6340	0.0001
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	16868660	16958425	58	-0.5178
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	16959715	23126249	4059	0.0091
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	23126733	23126746	2	-2.646
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	23129797	24924871	941	0.0315
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	24934895	25097831	130	-0.1168
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	25098398	25256850	117	0.0215
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	25266637	25319693	21	-0.9098
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	25320198	29685826	1906	0.0044
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	29691418	30452713	635	-0.0734
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	30452918	33452736	1494	0.0213
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	33453626	43611889	6005	-0.0139
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	43613714	48184359	2558	0.0273
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	48185015	50243696	1099	-0.0865
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	50243885	55647692	3141	-0.0063
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	55648392	58205545	2100	-0.0681
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	58205938	63344712	3668	0.0102
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	63346598	64043353	473	-0.0943
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	64043442	65708267	1312	-0.0059
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	65708375	70722351	3365	-0.0405
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	70723921	70777796	29	-0.0725
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	70779147	70780985	5	-1.8595
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	70785071	72303233	913	-0.1007
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	72303253	72345465	45	0.4615
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	72346221	77106135	3093	-0.1136
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	77112046	79206853	1215	-0.0284
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	79207316	83596502	2907	-0.1121
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	83596751	86003852	1715	-0.0051
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	86004137	91934880	3919	-0.0543
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	91937761	95598865	2256	0.0074
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	95599259	99471797	2326	-0.1168
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	99472478	101258216	1097	-0.0296
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	101260476	107549350	3860	-0.1054
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	107549583	109679105	1181	-0.0048
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	109684695	109697556	15	1.1466
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	109702376	111561100	1461	-0.0471
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	111565047	111565553	2	-1.3112
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	111569430	112147704	486	-0.0509
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	112153343	112154768	25	-0.4495
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	112163334	143748012	5254	-0.0196
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	143748074	143760271	20	0.6021
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	143762042	152787202	2522	-0.0137
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	152789447	152796224	37	-0.584
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	152801429	174627835	14683	-0.0346
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	174636938	177328851	1751	-0.111
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	177329312	185205075	5376	-0.0244
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	185205126	186065119	557	-0.0877
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	186065832	192000023	3831	-0.1364
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	192000853	194479104	1770	-0.0685
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	194482281	194485888	2	1.7985
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	194487886	196761905	1452	-0.1087
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	196762480	196762956	2	-1.6044
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	196769493	196832525	53	0.071
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	196832720	196846661	4	0.7762
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	196847600	200438458	2299	-0.1015
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	200439054	208028870	4883	-0.0016
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	208030137	210842595	2321	-0.0691
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	210843076	215077859	2827	-0.0014
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	215077884	223252506	5596	-0.0825
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	223252951	236411447	8836	-0.0307
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	236413723	238691981	1955	-0.0972
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	238692338	238692794	3	-1.6524
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	238699149	241890353	2514	-0.0668
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	241890369	243611467	1106	-0.145
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	243615505	244297269	487	-0.0942
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	244297365	245380056	653	-0.0314
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	245381707	245381842	2	-2.2176
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	245383096	248546369	2099	-0.0535
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	248550567	248633912	35	-0.9784
3890221a-9701-41ba-8e20-6f5833cd9e3e	1	248645563	248930189	140	-0.0605
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	12784	295136	179	0.3277
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	295255	296852	4	-0.6525
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	300879	2327655	1330	0.2353
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	2328424	3340487	839	-0.1254
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	3340576	4345247	834	-0.0117
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	4346850	8683447	3666	-0.1128
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	8683682	11897098	2154	0.0213
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	11897247	19373916	5611	-0.078
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	19374723	20487297	836	0.0142
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	20489772	23745732	2165	-0.0666
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	23746504	27216883	1714	-0.0061
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	27218434	27218632	3	-1.1273
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	27219036	29215683	1102	0.007
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	29215789	31381358	1713	-0.0878
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	31381438	33567745	1200	-0.0033
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	33570176	34295406	613	-0.1066
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	34298911	34300513	2	-1.4771
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	34300900	34492013	116	-0.1517
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	34492045	34512096	26	-0.6533
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	34512489	35137782	411	-0.1113
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	35141235	39941735	3490	-0.0267
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	39942110	40763522	713	-0.1076
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	40763612	40764298	2	-1.7773
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	40764666	41607319	643	-0.0375
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	41607728	41991194	389	0.0298
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	41991405	41991453	2	-1.5268
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	41993953	48772643	4647	-0.0024
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	48773058	52527330	2688	-0.1145
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	52527342	52565690	44	-0.6449
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	52565799	53810148	1006	-0.085
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	53812428	55863104	1404	-0.0096
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	55863202	60442359	3174	-0.101
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	60442450	65078365	2426	-0.0285
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	65078881	65099415	17	0.117
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	65103535	67743069	1920	-0.6235
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	67744715	67745282	2	-2.6638
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	67746028	68259626	377	-0.6634
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	68264862	73622057	3187	-0.0236
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	73625410	73683836	31	0.4826
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	73684244	75511628	1187	-0.0171
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	75512323	83588482	5336	-0.0945
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	83591467	89200985	2658	-0.0281
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	89201676	90224032	143	-0.2029
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	90228220	97359885	949	-0.0334
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	97524284	97545247	8	-0.9144
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	97545726	106258193	5559	-0.0462
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	106258266	106270952	15	-0.8895
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	106271414	114963656	4620	-0.0335
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	114964343	117465774	1501	-0.1191
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	117466188	117468375	4	-1.2245
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	117470941	118927854	1031	-0.0911
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	118930316	122490758	2152	-0.0249
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	122491174	126800904	2817	-0.108
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	126801127	127099470	209	-0.0215
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	127100187	127100370	2	-1.4284
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	127101070	128993831	1118	-0.0204
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	128993920	142798273	8427	-0.0969
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	142798286	145989428	1837	-0.1704
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	145990393	146106875	61	-0.1061
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	146106889	146109366	21	0.4315
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	146120238	155614580	5770	-0.087
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	155615988	160208074	2744	-0.028
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	160212904	167883906	4414	-0.0652
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	167884538	171827604	2597	-0.018
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	171827893	173681943	1324	0.031
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	173685778	179087466	3329	-0.053
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	179088311	179098548	5	-1.2229
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	179100750	188835030	5789	-0.0641
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	188835394	191619252	1683	-0.0042
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	191620033	198082793	3530	-0.07
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	198089944	203866178	3234	0.003
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	203866796	207490231	2478	-0.0418
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	207490454	207494612	16	-1.233
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	207494752	208957317	921	0.0004
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	208957401	212316597	2113	-0.1195
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	212321824	212327101	25	-1.0648
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	212327402	215711820	2183	-0.0967
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	215712509	220318181	2915	-0.0229
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	220318790	227160293	4594	-0.0667
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	227162718	228267837	727	0.0155
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	228267982	230538382	1433	-0.0831
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	230539243	238829052	5360	-0.0245
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	238829320	239001872	72	-0.0715
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	239004350	239504542	303	-0.1872
3890221a-9701-41ba-8e20-6f5833cd9e3e	2	239504720	242147305	1403	-0.0593
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	20930	182919	154	0.1849
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	188339	191117	4	-2.8995
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	193194	4234458	3651	0.2424
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	4235682	5548765	1064	0.3361
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	5550268	7045315	1314	0.2592
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	7049651	7049814	2	-2.4161
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	7049982	8052054	925	0.26
3890221a-9701-41ba-8e20-6f5833cd9e3e	3	8053587	10588096	1861	0.3514
