GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	62920	16863509	8701	0.0019
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	16864367	16935752	54	0.4319
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	16949746	105470754	54971	0.0018
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	105476583	105479753	17	-1.7523
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	105481433	108187137	1937	0.0055
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	108191613	108192255	2	-1.1261
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	108194874	109690352	696	-0.0004
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	109690415	109702376	13	1.0738
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	109703504	110834746	836	-0.0008
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	110834943	110845604	38	-0.5917
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	110849445	152789918	8902	0.0051
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	152789962	152790191	5	-0.6555
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	152790286	152795277	13	-0.2427
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	152795388	152796224	11	-0.6722
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	152801429	196745743	29432	0.0032
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	196758720	196846661	61	-0.5234
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	196847600	248585918	35603	0.0039
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	248586259	248633912	30	-0.6341
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	1	248645563	248930189	141	0.0165
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	12784	3680971	2567	0.0112
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	3684956	3685683	4	-0.9551
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	3688948	4168879	421	0.0319
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	4169315	4175977	32	0.3663
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	4176105	34474248	21049	0.0078
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	34476327	34512489	47	-0.5122
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	34512965	35750907	868	0.0384
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	35752724	35762850	6	0.8637
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	35762881	52531630	12127	0.0173
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	52531652	52563002	33	0.4883
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	52563355	105519180	28751	0.0089
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	105521668	105522355	2	-2.6516
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	105522759	106049647	484	0.0048
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	106050168	106054071	2	-1.4181
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	106054329	128880504	13545	0.0112
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	128880904	128882755	16	-0.7591
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	128888874	154033296	15304	0.008
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	154039462	154039969	2	-2.0301
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	154043710	229024106	46022	0.0067
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	229028341	229029408	5	-0.8462
c9bbb773-bb08-4598-aa90-d6bc95d5cc4d	2	229032316	242147305	8102	0.0063
