GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	17001	9787000	8798	0.042422
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	9787001	14173000	3983	-0.068011
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	14173001	16536000	2354	0.035221
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	16536001	16634000	66	-0.018755
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	16634001	16949000	175	-0.098398
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	16949001	26567000	9490	0.039232
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	26567001	32262000	5674	-0.046956
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	32262001	44455000	12122	0.045982
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	44455001	53725000	9213	-0.064911
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	53725001	62004000	8234	0.047228
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	62004001	72746000	10629	-0.043749
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	72746001	76273000	3506	0.042751
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	76273001	100735000	24261	-0.052430
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	100735001	110069000	8907	0.031679
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	110069001	120672000	9957	-0.060838
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	120805001	120922000	26	-0.976664
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	120935001	122807000	299	-0.064419
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	122818001	124069000	146	0.042189
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	124069001	124103000	4	-0.209402
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	124119001	124344000	34	0.279592
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	124351001	158463000	11322	0.025615
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	158463001	158617000	154	-0.066344
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	158617001	161572000	2902	0.056497
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	161572001	161655000	48	-0.887566
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	161671001	199461000	37463	0.060043
TCGA-VQ-A8PQ-01A-11D-A410-08	chr1	199461001	248931000	48544	-0.059254
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	11001	13336000	13194	-0.024190
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	13336001	38446000	24932	-0.018184
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	38446001	89787000	49680	0.094967
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	89787001	89849000	61	0.036635
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	89849001	113488000	17869	0.083469
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	113488001	113505000	8	-2.100335
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	113506001	114201000	627	-0.009735
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	114201001	122547000	8283	0.065295
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	122547001	127923000	5325	-0.010949
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	127923001	131415000	3048	0.096475
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	131415001	131869000	433	-0.012723
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	131869001	139925000	8010	0.067848
TCGA-VQ-A8PQ-01A-11D-A410-08	chr2	139925001	242159000	101426	-0.006901
TCGA-VQ-A8PQ-01A-11D-A410-08	chr3	12001	126150000	122651	-0.036383
TCGA-VQ-A8PQ-01A-11D-A410-08	chr3	126150001	129356000	3186	-0.051591
TCGA-VQ-A8PQ-01A-11D-A410-08	chr3	129356001	129365000	8	-29.859109
TCGA-VQ-A8PQ-01A-11D-A410-08	chr3	129365001	195615000	65635	-0.040667
TCGA-VQ-A8PQ-01A-11D-A410-08	chr3	195615001	195750000	108	0.417827
TCGA-VQ-A8PQ-01A-11D-A410-08	chr3	195750001	198175000	2341	-0.044329
