GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	62920	259407	14	0.4469
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	259422	3305549	730	0.0488
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	3305770	15822848	7574	0.015
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	15823420	15827430	7	-2.0287
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	15827706	16494124	296	0.0101
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	16504088	16721984	48	0.3086
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	16766762	16785682	11	-0.3978
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	16787932	16988207	78	0.2342
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	16993283	34626073	10200	0.022
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	34637053	34638890	20	-0.6456
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	34648667	47738318	7254	0.02
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	47742055	75585159	18453	0.0597
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	75589078	75589169	2	-2.799
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	75593824	109690352	21625	0.069
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	109690415	109697556	12	1.6223
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	109702376	112147704	1945	0.043
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	112153343	112154390	18	0.5245
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	112154552	121601998	5159	0.0641
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	121705338	152583051	2440	0.4529
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	152583230	152613762	31	-2.0358
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	152613802	152614118	4	-0.4511
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	152618018	152787202	167	0.5117
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	152789447	152796224	37	-0.483
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	152801429	153296708	391	0.4702
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	153296888	157087905	1824	0.416
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	157088632	157508748	276	0.4707
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	157512664	157513157	2	-0.7797
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	157513483	161497252	2750	0.4779
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	161498047	161686708	33	0.1633
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	161688868	172332723	8102	0.4766
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	172335216	172337190	3	-0.7705
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	172340530	189679027	11320	0.485
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	189679353	189679397	2	-1.9167
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	189682917	199142298	6159	0.501
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	199142393	199143883	6	-0.8071
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	199144712	213953164	10080	0.476
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	213953864	222401492	6051	0.5074
0a48bd18-078c-437f-ab4d-6a7a324c56ad	1	222401612	248930189	18277	0.4782
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	12784	892103	611	0.0765
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	892197	892250	2	-1.2705
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	892414	1194574	189	0.0484
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	1195003	1201559	4	-1.1099
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	1202443	14563570	10215	0.0522
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	14564825	14569968	12	-0.8987
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	14570240	52537091	26051	0.0558
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	52537117	52554404	23	-0.4783
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	52560811	122719438	38877	0.0586
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	122722323	122724665	8	-2.3925
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	122726077	128880928	3881	0.0618
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	128881200	128881653	10	-0.8109
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	128881662	130037806	878	0.0702
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	130059766	130116915	11	-0.6062
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	130117303	146104517	9507	0.0749
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	146106836	146109366	24	0.8082
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	146120238	179548644	20452	0.0696
0a48bd18-078c-437f-ab4d-6a7a324c56ad	2	179553484	179557179	28	-1.0543
