GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-A6-2682-01A-01D-1405-02	chr1	17001	187000	5	-2.276194
TCGA-A6-2682-01A-01D-1405-02	chr1	190001	635000	8	-0.909542
TCGA-A6-2682-01A-01D-1405-02	chr1	701001	771000	3	-3.879513
TCGA-A6-2682-01A-01D-1405-02	chr1	777001	817000	33	-2.063222
TCGA-A6-2682-01A-01D-1405-02	chr1	818001	965000	140	-0.612167
TCGA-A6-2682-01A-01D-1405-02	chr1	965001	2757000	1630	-0.304032
TCGA-A6-2682-01A-01D-1405-02	chr1	2775001	3926000	1136	-0.189738
TCGA-A6-2682-01A-01D-1405-02	chr1	3926001	4859000	926	-0.072437
TCGA-A6-2682-01A-01D-1405-02	chr1	4859001	4867000	8	-1.659638
TCGA-A6-2682-01A-01D-1405-02	chr1	4867001	5045000	178	-0.002459
TCGA-A6-2682-01A-01D-1405-02	chr1	5045001	5053000	8	-1.270689
TCGA-A6-2682-01A-01D-1405-02	chr1	5053001	6306000	1249	-0.055834
TCGA-A6-2682-01A-01D-1405-02	chr1	6306001	6807000	501	-0.242063
TCGA-A6-2682-01A-01D-1405-02	chr1	6807001	7597000	789	-0.070620
TCGA-A6-2682-01A-01D-1405-02	chr1	7597001	7606000	9	-2.087863
TCGA-A6-2682-01A-01D-1405-02	chr1	7606001	12780000	5167	-0.112464
TCGA-A6-2682-01A-01D-1405-02	chr1	12780001	12883000	88	-0.552332
TCGA-A6-2682-01A-01D-1405-02	chr1	12883001	12910000	8	-1.527010
TCGA-A6-2682-01A-01D-1405-02	chr1	12910001	13312000	53	-0.262274
TCGA-A6-2682-01A-01D-1405-02	chr1	13313001	13350000	25	-2.233058
TCGA-A6-2682-01A-01D-1405-02	chr1	13350001	13453000	98	-0.517922
TCGA-A6-2682-01A-01D-1405-02	chr1	13453001	13879000	426	-0.077180
TCGA-A6-2682-01A-01D-1405-02	chr1	13879001	15003000	1121	-0.032786
TCGA-A6-2682-01A-01D-1405-02	chr1	15003001	16534000	1524	-0.643416
TCGA-A6-2682-01A-01D-1405-02	chr1	16534001	16554000	15	-2.984576
TCGA-A6-2682-01A-01D-1405-02	chr1	16567001	16583000	10	-30.063836
TCGA-A6-2682-01A-01D-1405-02	chr1	16583001	16589000	6	-4.302030
TCGA-A6-2682-01A-01D-1405-02	chr1	16589001	16590000	1	-30.481880
TCGA-A6-2682-01A-01D-1405-02	chr1	16590001	16602000	5	-4.882351
TCGA-A6-2682-01A-01D-1405-02	chr1	16602001	16653000	50	-1.655793
TCGA-A6-2682-01A-01D-1405-02	chr1	16653001	16676000	3	-3.770865
TCGA-A6-2682-01A-01D-1405-02	chr1	16676001	16697000	11	-1.546644
TCGA-A6-2682-01A-01D-1405-02	chr1	16699001	16712000	6	-4.915371
TCGA-A6-2682-01A-01D-1405-02	chr1	16712001	16729000	16	-2.012922
TCGA-A6-2682-01A-01D-1405-02	chr1	16729001	16761000	7	-4.533202
TCGA-A6-2682-01A-01D-1405-02	chr1	16764001	16865000	32	-1.697146
TCGA-A6-2682-01A-01D-1405-02	chr1	16867001	16880000	13	-3.063425
TCGA-A6-2682-01A-01D-1405-02	chr1	16880001	16951000	70	-2.079166
TCGA-A6-2682-01A-01D-1405-02	chr1	16951001	17524000	570	-0.615637
TCGA-A6-2682-01A-01D-1405-02	chr1	17524001	21418000	3886	-0.536232
TCGA-A6-2682-01A-01D-1405-02	chr1	21418001	21433000	10	-1.472640
TCGA-A6-2682-01A-01D-1405-02	chr1	21433001	21983000	544	-0.638134
TCGA-A6-2682-01A-01D-1405-02	chr1	21983001	22023000	36	-1.031546
TCGA-A6-2682-01A-01D-1405-02	chr1	22023001	25059000	3027	-0.579370
TCGA-A6-2682-01A-01D-1405-02	chr1	25059001	25061000	2	-29.318479
TCGA-A6-2682-01A-01D-1405-02	chr1	25061001	28855000	3691	-0.628113
TCGA-A6-2682-01A-01D-1405-02	chr1	28855001	33671000	4800	-0.072886
TCGA-A6-2682-01A-01D-1405-02	chr1	33671001	33679000	8	-3.782402
TCGA-A6-2682-01A-01D-1405-02	chr1	33679001	34093000	411	0.037967
