GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CG-4460-01A-01D-1154-02	chr1	17001	635000	13	-1.217793
TCGA-CG-4460-01A-01D-1154-02	chr1	701001	771000	3	-29.387870
TCGA-CG-4460-01A-01D-1154-02	chr1	777001	807000	27	-1.767519
TCGA-CG-4460-01A-01D-1154-02	chr1	809001	859000	43	-1.021781
TCGA-CG-4460-01A-01D-1154-02	chr1	859001	1632000	751	-0.348204
TCGA-CG-4460-01A-01D-1154-02	chr1	1636001	1949000	273	-0.406032
TCGA-CG-4460-01A-01D-1154-02	chr1	1949001	2655000	701	-0.257576
TCGA-CG-4460-01A-01D-1154-02	chr1	2655001	2776000	9	-1.463402
TCGA-CG-4460-01A-01D-1154-02	chr1	2777001	4247000	1450	-0.240162
TCGA-CG-4460-01A-01D-1154-02	chr1	4247001	7598000	3345	-0.170963
TCGA-CG-4460-01A-01D-1154-02	chr1	7598001	7606000	8	-2.256814
TCGA-CG-4460-01A-01D-1154-02	chr1	7606001	12781000	5168	-0.201169
TCGA-CG-4460-01A-01D-1154-02	chr1	12781001	12882000	86	-1.403809
TCGA-CG-4460-01A-01D-1154-02	chr1	12882001	12889000	6	-3.103334
TCGA-CG-4460-01A-01D-1154-02	chr1	12900001	12910000	3	-3.329687
TCGA-CG-4460-01A-01D-1154-02	chr1	12910001	13331000	66	-0.530858
TCGA-CG-4460-01A-01D-1154-02	chr1	13331001	13340000	5	-2.893605
TCGA-CG-4460-01A-01D-1154-02	chr1	13341001	13367000	19	-1.750495
TCGA-CG-4460-01A-01D-1154-02	chr1	13367001	14382000	1013	-0.171903
TCGA-CG-4460-01A-01D-1154-02	chr1	14382001	14390000	8	-2.873720
TCGA-CG-4460-01A-01D-1154-02	chr1	14390001	16535000	2137	-0.219300
TCGA-CG-4460-01A-01D-1154-02	chr1	16535001	16577000	18	-3.248565
TCGA-CG-4460-01A-01D-1154-02	chr1	16577001	16585000	8	-4.549756
TCGA-CG-4460-01A-01D-1154-02	chr1	16585001	16603000	11	-4.070860
TCGA-CG-4460-01A-01D-1154-02	chr1	16604001	16861000	120	-0.979162
TCGA-CG-4460-01A-01D-1154-02	chr1	16861001	16875000	12	-2.747337
TCGA-CG-4460-01A-01D-1154-02	chr1	16875001	16950000	74	-1.561008
TCGA-CG-4460-01A-01D-1154-02	chr1	16950001	30439000	13347	-0.200547
TCGA-CG-4460-01A-01D-1154-02	chr1	30440001	30446000	3	-0.159465
TCGA-CG-4460-01A-01D-1154-02	chr1	30446001	30492000	46	-0.234734
TCGA-CG-4460-01A-01D-1154-02	chr1	30492001	30501000	9	-1.476151
TCGA-CG-4460-01A-01D-1154-02	chr1	30501001	33671000	3162	-0.184090
TCGA-CG-4460-01A-01D-1154-02	chr1	33671001	33680000	9	-0.735273
TCGA-CG-4460-01A-01D-1154-02	chr1	33680001	35054000	1358	-0.142117
TCGA-CG-4460-01A-01D-1154-02	chr1	35054001	35058000	4	-2.242991
TCGA-CG-4460-01A-01D-1154-02	chr1	35058001	37207000	2146	-0.177672
TCGA-CG-4460-01A-01D-1154-02	chr1	37207001	37214000	7	-2.044302
TCGA-CG-4460-01A-01D-1154-02	chr1	37214001	43115000	5859	-0.169567
TCGA-CG-4460-01A-01D-1154-02	chr1	43115001	43120000	3	-29.695763
TCGA-CG-4460-01A-01D-1154-02	chr1	43120001	45179000	2053	-0.159073
TCGA-CG-4460-01A-01D-1154-02	chr1	45179001	45186000	7	-3.950739
TCGA-CG-4460-01A-01D-1154-02	chr1	45186001	46014000	824	-0.167130
TCGA-CG-4460-01A-01D-1154-02	chr1	46014001	46018000	4	-2.856744
TCGA-CG-4460-01A-01D-1154-02	chr1	46018001	46874000	852	-0.158216
TCGA-CG-4460-01A-01D-1154-02	chr1	46875001	46886000	11	-1.347249
TCGA-CG-4460-01A-01D-1154-02	chr1	46888001	47053000	157	-0.333778
TCGA-CG-4460-01A-01D-1154-02	chr1	47053001	47057000	4	-3.954132
TCGA-CG-4460-01A-01D-1154-02	chr1	47057001	47172000	105	-0.370167
TCGA-CG-4460-01A-01D-1154-02	chr1	47172001	48277000	1098	-0.141319
TCGA-CG-4460-01A-01D-1154-02	chr1	48277001	48284000	7	-1.834728
TCGA-CG-4460-01A-01D-1154-02	chr1	48284001	49005000	718	-0.082149
TCGA-CG-4460-01A-01D-1154-02	chr1	49005001	49012000	4	-4.152865
TCGA-CG-4460-01A-01D-1154-02	chr1	49012001	50759000	1740	-0.070072
TCGA-CG-4460-01A-01D-1154-02	chr1	50759001	50765000	6	-3.189057
TCGA-CG-4460-01A-01D-1154-02	chr1	50765001	51386000	619	-0.113364
TCGA-CG-4460-01A-01D-1154-02	chr1	51386001	51392000	6	-2.018742
TCGA-CG-4460-01A-01D-1154-02	chr1	51392001	52171000	779	-0.127861
TCGA-CG-4460-01A-01D-1154-02	chr1	52171001	52177000	6	-2.582314
TCGA-CG-4460-01A-01D-1154-02	chr1	52177001	53006000	828	-0.146538
TCGA-CG-4460-01A-01D-1154-02	chr1	53006001	53013000	7	-2.060329
TCGA-CG-4460-01A-01D-1154-02	chr1	53013001	55493000	2472	-0.150835
TCGA-CG-4460-01A-01D-1154-02	chr1	55493001	55497000	4	-3.909910
TCGA-CG-4460-01A-01D-1154-02	chr1	55497001	58374000	2854	-0.108238
TCGA-CG-4460-01A-01D-1154-02	chr1	58375001	58384000	6	-0.431003
TCGA-CG-4460-01A-01D-1154-02	chr1	58384001	58957000	572	-0.111207
TCGA-CG-4460-01A-01D-1154-02	chr1	58957001	58965000	8	-1.016789
TCGA-CG-4460-01A-01D-1154-02	chr1	58965001	59368000	402	-0.105917
TCGA-CG-4460-01A-01D-1154-02	chr1	59368001	59375000	7	-2.146163
TCGA-CG-4460-01A-01D-1154-02	chr1	59375001	59533000	158	-0.181941
TCGA-CG-4460-01A-01D-1154-02	chr1	59533001	59541000	8	-1.395566
TCGA-CG-4460-01A-01D-1154-02	chr1	59541001	59584000	43	-0.128854
TCGA-CG-4460-01A-01D-1154-02	chr1	59584001	59593000	9	-2.084130
TCGA-CG-4460-01A-01D-1154-02	chr1	59593001	60636000	1036	-0.078528
TCGA-CG-4460-01A-01D-1154-02	chr1	60636001	60645000	8	-0.465722
TCGA-CG-4460-01A-01D-1154-02	chr1	60646001	60773000	127	-0.067365
TCGA-CG-4460-01A-01D-1154-02	chr1	60773001	60782000	9	-1.748768
TCGA-CG-4460-01A-01D-1154-02	chr1	60782001	62698000	1915	-0.129776
TCGA-CG-4460-01A-01D-1154-02	chr1	62698001	62705000	7	-3.534406
TCGA-CG-4460-01A-01D-1154-02	chr1	62705001	64349000	1637	-0.122767
TCGA-CG-4460-01A-01D-1154-02	chr1	64349001	64357000	8	-2.709493
TCGA-CG-4460-01A-01D-1154-02	chr1	64357001	65450000	1089	-0.117554
TCGA-CG-4460-01A-01D-1154-02	chr1	65451001	65457000	6	-4.486682
TCGA-CG-4460-01A-01D-1154-02	chr1	65457001	65542000	85	-0.244296
TCGA-CG-4460-01A-01D-1154-02	chr1	65542001	65553000	11	-1.581292
TCGA-CG-4460-01A-01D-1154-02	chr1	65553001	66199000	636	-0.112703
TCGA-CG-4460-01A-01D-1154-02	chr1	66199001	66205000	6	-2.450624
TCGA-CG-4460-01A-01D-1154-02	chr1	66205001	66779000	570	-0.075855
TCGA-CG-4460-01A-01D-1154-02	chr1	66779001	66787000	8	-1.846262
TCGA-CG-4460-01A-01D-1154-02	chr1	66787001	68924000	2121	-0.107806
TCGA-CG-4460-01A-01D-1154-02	chr1	68924001	68932000	8	-0.208360
TCGA-CG-4460-01A-01D-1154-02	chr1	68932001	69923000	984	-0.096593
TCGA-CG-4460-01A-01D-1154-02	chr1	69923001	69926000	3	-5.206192
TCGA-CG-4460-01A-01D-1154-02	chr1	69927001	70590000	663	-0.124955
TCGA-CG-4460-01A-01D-1154-02	chr1	70590001	70601000	9	-1.598979
TCGA-CG-4460-01A-01D-1154-02	chr1	70601001	71109000	505	-0.107100
TCGA-CG-4460-01A-01D-1154-02	chr1	71109001	71112000	3	-4.444320
TCGA-CG-4460-01A-01D-1154-02	chr1	71112001	71216000	104	-0.122800
TCGA-CG-4460-01A-01D-1154-02	chr1	71216001	71221000	5	-3.130113
TCGA-CG-4460-01A-01D-1154-02	chr1	71221001	74877000	3590	-0.063552
