GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-G9-6343-01A-21D-1957-02	chr1	17001	635000	13	-2.056990
TCGA-G9-6343-01A-21D-1957-02	chr1	701001	771000	3	-3.745725
TCGA-G9-6343-01A-21D-1957-02	chr1	777001	817000	33	-1.549863
TCGA-G9-6343-01A-21D-1957-02	chr1	818001	1688000	831	-0.260672
TCGA-G9-6343-01A-21D-1957-02	chr1	1688001	1743000	30	-1.659442
TCGA-G9-6343-01A-21D-1957-02	chr1	1743001	4247000	2360	-0.083216
TCGA-G9-6343-01A-21D-1957-02	chr1	4247001	4858000	610	0.017121
TCGA-G9-6343-01A-21D-1957-02	chr1	4858001	4867000	9	-1.495309
TCGA-G9-6343-01A-21D-1957-02	chr1	4867001	5045000	178	0.020339
TCGA-G9-6343-01A-21D-1957-02	chr1	5045001	5053000	8	-1.443584
TCGA-G9-6343-01A-21D-1957-02	chr1	5053001	5113000	59	0.117924
TCGA-G9-6343-01A-21D-1957-02	chr1	5113001	5118000	5	-3.037202
TCGA-G9-6343-01A-21D-1957-02	chr1	5118001	7597000	2475	-0.035126
TCGA-G9-6343-01A-21D-1957-02	chr1	7597001	7605000	8	-3.044993
TCGA-G9-6343-01A-21D-1957-02	chr1	7605001	12813000	5200	-0.051096
TCGA-G9-6343-01A-21D-1957-02	chr1	12813001	12836000	21	-1.228023
TCGA-G9-6343-01A-21D-1957-02	chr1	12836001	12883000	35	-0.317328
TCGA-G9-6343-01A-21D-1957-02	chr1	12883001	13007000	10	-1.628196
TCGA-G9-6343-01A-21D-1957-02	chr1	13056001	13248000	48	-0.218317
TCGA-G9-6343-01A-21D-1957-02	chr1	13300001	13351000	29	-1.702243
TCGA-G9-6343-01A-21D-1957-02	chr1	13351001	14382000	1024	-0.023424
TCGA-G9-6343-01A-21D-1957-02	chr1	14382001	14390000	8	-3.619735
TCGA-G9-6343-01A-21D-1957-02	chr1	14390001	16507000	2110	-0.063084
TCGA-G9-6343-01A-21D-1957-02	chr1	16507001	16516000	9	-1.596504
TCGA-G9-6343-01A-21D-1957-02	chr1	16517001	16533000	16	-0.355035
TCGA-G9-6343-01A-21D-1957-02	chr1	16533001	16576000	19	-1.667932
TCGA-G9-6343-01A-21D-1957-02	chr1	16576001	16603000	20	-3.053474
TCGA-G9-6343-01A-21D-1957-02	chr1	16604001	16686000	60	-0.527958
TCGA-G9-6343-01A-21D-1957-02	chr1	16686001	16714000	11	-3.141645
TCGA-G9-6343-01A-21D-1957-02	chr1	16715001	16729000	14	-1.027673
TCGA-G9-6343-01A-21D-1957-02	chr1	16729001	16761000	7	-5.470573
TCGA-G9-6343-01A-21D-1957-02	chr1	16764001	16949000	113	-1.686698
TCGA-G9-6343-01A-21D-1957-02	chr1	16949001	21967000	4997	-0.034652
TCGA-G9-6343-01A-21D-1957-02	chr1	21967001	22039000	67	-0.457002
TCGA-G9-6343-01A-21D-1957-02	chr1	22039001	25058000	3010	-0.038344
TCGA-G9-6343-01A-21D-1957-02	chr1	25058001	25061000	3	-5.731021
TCGA-G9-6343-01A-21D-1957-02	chr1	25061001	29358000	4194	-0.078909
TCGA-G9-6343-01A-21D-1957-02	chr1	29358001	30492000	1126	0.011454
TCGA-G9-6343-01A-21D-1957-02	chr1	30492001	30500000	8	-1.031670
TCGA-G9-6343-01A-21D-1957-02	chr1	30500001	30577000	76	0.029640
TCGA-G9-6343-01A-21D-1957-02	chr1	30577001	30584000	7	-0.977022
TCGA-G9-6343-01A-21D-1957-02	chr1	30584001	33672000	3081	-0.030737
TCGA-G9-6343-01A-21D-1957-02	chr1	33672001	33678000	6	-4.063808
TCGA-G9-6343-01A-21D-1957-02	chr1	33678001	34093000	412	0.040105
TCGA-G9-6343-01A-21D-1957-02	chr1	34093001	34096000	3	-29.375981
TCGA-G9-6343-01A-21D-1957-02	chr1	34098001	34968000	859	0.031303
