GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ac413594-8e06-43d4-bf8b-704ff567c26a	1	62920	15827002	8329	-0.0091
ac413594-8e06-43d4-bf8b-704ff567c26a	1	15827041	15827430	5	-1.8702
ac413594-8e06-43d4-bf8b-704ff567c26a	1	15827706	16041638	90	-0.0611
ac413594-8e06-43d4-bf8b-704ff567c26a	1	16041908	16042482	2	-2.4302
ac413594-8e06-43d4-bf8b-704ff567c26a	1	16047835	61647091	27012	-0.0097
ac413594-8e06-43d4-bf8b-704ff567c26a	1	61647430	61649279	3	-1.7543
ac413594-8e06-43d4-bf8b-704ff567c26a	1	61652515	72284670	7273	0.0031
ac413594-8e06-43d4-bf8b-704ff567c26a	1	72290430	72297687	9	-0.6877
ac413594-8e06-43d4-bf8b-704ff567c26a	1	72302735	72305684	6	0.0576
ac413594-8e06-43d4-bf8b-704ff567c26a	1	72305835	72362629	56	0.2989
ac413594-8e06-43d4-bf8b-704ff567c26a	1	72362638	105459540	20906	0.0022
ac413594-8e06-43d4-bf8b-704ff567c26a	1	105470132	105481433	20	0.7641
ac413594-8e06-43d4-bf8b-704ff567c26a	1	105481448	109690352	2634	0.0056
ac413594-8e06-43d4-bf8b-704ff567c26a	1	109690415	109697556	12	-1.4135
ac413594-8e06-43d4-bf8b-704ff567c26a	1	109702376	110788378	800	-0.0043
ac413594-8e06-43d4-bf8b-704ff567c26a	1	110789023	110880054	115	0.1695
ac413594-8e06-43d4-bf8b-704ff567c26a	1	110881776	120146498	6109	-0.0095
ac413594-8e06-43d4-bf8b-704ff567c26a	1	120370887	145664420	248	0.1854
ac413594-8e06-43d4-bf8b-704ff567c26a	1	145670653	152583051	2290	-0.0005
ac413594-8e06-43d4-bf8b-704ff567c26a	1	152583230	152614100	34	-1.4913
ac413594-8e06-43d4-bf8b-704ff567c26a	1	152614118	152787202	168	-0.0412
ac413594-8e06-43d4-bf8b-704ff567c26a	1	152789447	152795006	22	0.6146
ac413594-8e06-43d4-bf8b-704ff567c26a	1	152795027	152795783	10	0.9742
ac413594-8e06-43d4-bf8b-704ff567c26a	1	152795805	157183612	2279	-0.0161
ac413594-8e06-43d4-bf8b-704ff567c26a	1	157184086	157188465	4	-1.1256
ac413594-8e06-43d4-bf8b-704ff567c26a	1	157188781	159958008	2040	-0.0124
ac413594-8e06-43d4-bf8b-704ff567c26a	1	159958269	159958921	2	-2.2093
