GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	62920	266187	17	-0.215
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	462795	462894	2	1.4362
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	599171	1946351	302	-0.014
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	1948516	1956930	3	-1.0307
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	1958678	16855942	8369	0.0112
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	16863509	16949746	56	-0.4264
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	16951445	25256850	5258	0.0128
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	25266637	25320455	24	0.5325
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	25336819	34626073	4946	0.0065
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	34637053	34648667	21	-0.734
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	34649941	43460097	4980	0.0176
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	43460183	43460634	3	-1.2742
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	43469526	48379809	2754	0.0142
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	48380713	48387957	2	-1.1025
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	48390486	51165433	1402	0.0223
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	51167935	51169885	2	-1.4518
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	51174641	72284670	14587	0.0187
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	72290430	72336821	42	0.339
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	72338895	87246072	9674	0.0229
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	87246573	87249532	2	-1.4721
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	87253005	91695400	2986	0.0242
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	91696434	91697227	2	-1.2615
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	91698335	105476583	8265	0.0209
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	105476614	105479753	16	0.8383
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	105481433	106860013	921	0.029
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	106860406	106860580	4	-1.0497
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	106860607	109690352	1706	0.0236
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	109690415	109697556	12	-1.711
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	109702376	112147704	1949	0.0026
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	112153343	112154234	14	0.482
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	112154251	143714499	5260	0.0258
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	143714665	143754062	19	0.4195
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	143754077	150977586	1422	-0.0043
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	150978606	150994271	6	-0.7752
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	150995224	152583051	898	0.021
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	152583230	152613762	31	-1.9626
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	152613802	152789570	175	0.0101
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	152789781	152796224	32	-0.467
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	152801429	169247699	11265	0.0184
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	169264736	169272528	7	-2.1938
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	169273163	174827267	3517	0.0191
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	174827418	174832716	17	-0.7574
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	174832734	194479104	13174	0.0201
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	194482281	194485888	2	-2.2583
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	194487886	196745743	1448	0.0223
9d9b36bf-4c98-4190-8cf2-a8f339c9ecb2	1	196758720	196762956	4	1.183
