GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	62920	16037445	8429	-0.0738
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	16041638	16253378	93	0.1365
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	16253539	16685961	153	-0.077
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	16686246	16721984	8	-1.1372
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	16766762	19765469	2083	-0.0299
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	19765683	25266637	3245	-0.1361
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	25269390	25320253	22	0.4175
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	25320455	30258851	2384	-0.1404
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	30259533	30261189	2	-2.4151
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	30264526	34626037	2559	-0.1329
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	34626073	34648667	22	-0.6391
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	34649941	38131187	1822	-0.1342
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	38135808	38140728	3	-1.0529
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	38140783	44483279	3715	-0.1314
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	44483857	56108723	6648	-0.0184
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	56110757	56116300	2	-1.4057
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	56116363	69608541	9936	-0.0085
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	69610750	72303233	1627	-0.0633
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	72303253	72345450	44	-1.3366
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	72345465	82894677	6831	-0.0459
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	82895213	89772813	4580	0.0128
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	89773964	93243641	2057	-0.0356
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	93252538	95714889	1739	0.0359
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	95719282	98223887	1431	-0.0491
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	98223959	98224658	2	-1.3828
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	98227662	102221147	2646	-0.0192
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	102222016	102230487	7	0.6234
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	102233874	102396958	133	-0.0346
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	102397230	102397235	2	-1.6587
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	102397291	105470132	1518	-0.0636
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	105470754	105479753	18	0.5502
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	105481433	109690352	2635	-0.0122
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	109690415	109697556	12	-0.7072
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	109702376	110259213	358	0.0654
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	110259943	110833598	478	-0.0075
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	110834746	110841350	37	0.1999
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	110845562	111749925	704	-0.0602
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	111750084	111769532	8	0.0218
51db3892-24cd-4779-bdfd-8fdd2d7669c3	1	111769589	111770456	4	0.8885
