GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
249da882-5ef2-42f1-92e1-79745077a724	1	62920	3410232	811	0.0848
249da882-5ef2-42f1-92e1-79745077a724	1	3410239	15688824	7451	0.0082
249da882-5ef2-42f1-92e1-79745077a724	1	15689289	15827002	76	0.0897
249da882-5ef2-42f1-92e1-79745077a724	1	15827041	15827259	2	-2.6983
249da882-5ef2-42f1-92e1-79745077a724	1	15827338	16767520	350	-0.0049
249da882-5ef2-42f1-92e1-79745077a724	1	16767532	16863509	12	-0.6218
249da882-5ef2-42f1-92e1-79745077a724	1	16864367	34626073	10292	0.0125
249da882-5ef2-42f1-92e1-79745077a724	1	34637053	34648667	21	-0.5417
249da882-5ef2-42f1-92e1-79745077a724	1	34649941	75585159	25739	0.0116
249da882-5ef2-42f1-92e1-79745077a724	1	75589078	75589169	2	-2.0899
249da882-5ef2-42f1-92e1-79745077a724	1	75593824	78323769	1833	0.0011
249da882-5ef2-42f1-92e1-79745077a724	1	78323890	78324107	2	1.6343
249da882-5ef2-42f1-92e1-79745077a724	1	78329348	109690352	19831	0.0069
249da882-5ef2-42f1-92e1-79745077a724	1	109690415	109697556	12	1.7337
249da882-5ef2-42f1-92e1-79745077a724	1	109702376	112147704	1950	0.0209
249da882-5ef2-42f1-92e1-79745077a724	1	112153343	112154619	23	0.5835
249da882-5ef2-42f1-92e1-79745077a724	1	112154754	152583230	7606	0.0149
249da882-5ef2-42f1-92e1-79745077a724	1	152583291	152613762	30	-1.5188
249da882-5ef2-42f1-92e1-79745077a724	1	152613802	196740630	29658	0.0081
249da882-5ef2-42f1-92e1-79745077a724	1	196741937	196821815	52	0.4502
249da882-5ef2-42f1-92e1-79745077a724	1	196829435	199138574	1386	0.0161
249da882-5ef2-42f1-92e1-79745077a724	1	199142235	199144712	9	-0.7827
249da882-5ef2-42f1-92e1-79745077a724	1	199145110	209897717	7401	0.006
249da882-5ef2-42f1-92e1-79745077a724	1	209908268	209913207	4	0.9959
249da882-5ef2-42f1-92e1-79745077a724	1	209920149	217224378	5135	0.0068
249da882-5ef2-42f1-92e1-79745077a724	1	217224841	217225241	2	-1.8236
249da882-5ef2-42f1-92e1-79745077a724	1	217226402	248930189	21885	0.0138
249da882-5ef2-42f1-92e1-79745077a724	2	12784	14563570	11037	0.018
249da882-5ef2-42f1-92e1-79745077a724	2	14564825	14569968	12	-1.162
249da882-5ef2-42f1-92e1-79745077a724	2	14570240	35483780	13734	0.0039
249da882-5ef2-42f1-92e1-79745077a724	2	35484137	35486795	3	-1.3544
249da882-5ef2-42f1-92e1-79745077a724	2	35487152	83262280	32286	0.006
249da882-5ef2-42f1-92e1-79745077a724	2	83264625	83264666	2	-1.6394
249da882-5ef2-42f1-92e1-79745077a724	2	83266126	89251705	2851	0.006
249da882-5ef2-42f1-92e1-79745077a724	2	89251710	94703691	217	0.1691
249da882-5ef2-42f1-92e1-79745077a724	2	94706535	122719438	15942	0.0084
249da882-5ef2-42f1-92e1-79745077a724	2	122722323	122724665	8	-1.9545
249da882-5ef2-42f1-92e1-79745077a724	2	122726077	128880504	3888	0.0083
249da882-5ef2-42f1-92e1-79745077a724	2	128880904	128882741	15	-0.5242
249da882-5ef2-42f1-92e1-79745077a724	2	128882755	146104517	10410	0.0073
249da882-5ef2-42f1-92e1-79745077a724	2	146106836	146109366	24	0.8282
249da882-5ef2-42f1-92e1-79745077a724	2	146120238	150174288	2262	0.0066
249da882-5ef2-42f1-92e1-79745077a724	2	150174937	150181218	5	-1.1086
249da882-5ef2-42f1-92e1-79745077a724	2	150182694	151010839	558	0.002
