GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	17001	13240000	11928	-0.024900
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	13240001	13383000	64	0.548571
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	13383001	16535000	3142	-0.025515
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	16535001	16646000	79	-0.164093
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	16646001	16675000	9	-0.904959
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	16675001	31242000	14299	-0.020297
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	31242001	31250000	8	-0.100060
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	31250001	124783000	88451	-0.016424
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	124802001	143744000	522	0.844009
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	143745001	143755000	10	1.082957
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	143756001	145694000	307	0.858818
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	145694001	153525000	5476	0.847490
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	153525001	153609000	84	0.845921
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	153609001	158355000	4713	0.843089
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	158355001	158397000	42	0.850066
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	158397001	162689000	4185	0.849608
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	162689001	165117000	2415	0.851246
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	165117001	179284000	14057	0.853545
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	179284001	179457000	173	0.845976
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	179457001	181557000	2086	0.851292
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	181557001	185091000	3520	0.852603
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	185091001	185253000	162	0.476588
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	185253001	192445000	7150	0.848742
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	192445001	195408000	2942	0.852395
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	195408001	195655000	247	0.848585
TCGA-G3-A3CJ-01A-11D-A918-36	chr1	195655001	195789000	134	0.847333
