GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4cd8277c-8a70-44e6-b491-cd35c63408db	1	62920	668210	21	0.11
4cd8277c-8a70-44e6-b491-cd35c63408db	1	771719	16489595	8592	-0.2805
4cd8277c-8a70-44e6-b491-cd35c63408db	1	16493138	16679239	39	0.1153
4cd8277c-8a70-44e6-b491-cd35c63408db	1	16679281	16721910	10	-0.4159
4cd8277c-8a70-44e6-b491-cd35c63408db	1	16721984	16788139	14	0.2262
4cd8277c-8a70-44e6-b491-cd35c63408db	1	16855942	16958425	61	-0.5463
4cd8277c-8a70-44e6-b491-cd35c63408db	1	16959715	28926692	6753	-0.2467
4cd8277c-8a70-44e6-b491-cd35c63408db	1	28935501	39912235	6318	-0.066
4cd8277c-8a70-44e6-b491-cd35c63408db	1	39915619	40555364	338	0.1045
4cd8277c-8a70-44e6-b491-cd35c63408db	1	40556404	40562538	4	-2.2078
4cd8277c-8a70-44e6-b491-cd35c63408db	1	40563254	44647654	2481	0.0946
4cd8277c-8a70-44e6-b491-cd35c63408db	1	44650765	46674003	976	0.3004
4cd8277c-8a70-44e6-b491-cd35c63408db	1	46680736	54539340	4336	0.0856
4cd8277c-8a70-44e6-b491-cd35c63408db	1	54546686	54777646	166	0.281
4cd8277c-8a70-44e6-b491-cd35c63408db	1	54777917	54808979	21	-0.147
4cd8277c-8a70-44e6-b491-cd35c63408db	1	54809137	58016357	2656	0.2603
4cd8277c-8a70-44e6-b491-cd35c63408db	1	58016644	58017448	5	-0.6605
4cd8277c-8a70-44e6-b491-cd35c63408db	1	58018605	62766211	3390	0.2479
4cd8277c-8a70-44e6-b491-cd35c63408db	1	62766642	64768802	1457	0.1185
4cd8277c-8a70-44e6-b491-cd35c63408db	1	64769779	64999172	319	0.3438
4cd8277c-8a70-44e6-b491-cd35c63408db	1	64999285	65432186	262	0.4398
4cd8277c-8a70-44e6-b491-cd35c63408db	1	65432268	65490042	40	0.2606
4cd8277c-8a70-44e6-b491-cd35c63408db	1	65491255	72284670	4449	0.1091
4cd8277c-8a70-44e6-b491-cd35c63408db	1	72290430	72297687	9	-0.7711
4cd8277c-8a70-44e6-b491-cd35c63408db	1	72302735	72345450	47	1.1881
