GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	62920	259926	16	0.9223
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	266187	1716055	199	0.1068
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	1716451	1718623	2	-1.5139
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	1719488	2361761	216	0.0561
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	2368188	3259896	290	0.1449
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	3260916	8922847	3738	0.0241
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	8923001	8923700	3	-1.9014
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	8923709	16766922	4225	0.0234
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	16767520	16931448	58	-0.4166
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	16932568	25256850	5264	0.0334
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	25266637	25320455	24	0.8118
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	25336819	34626073	4949	0.026
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	34637053	34638890	20	-0.6026
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	34648667	72302735	23756	0.0176
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	72302815	72345465	46	-0.6658
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	72346221	95209154	14837	0.0195
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	95210955	95210962	2	-2.2807
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	95214568	105470132	6098	0.0124
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	105470754	105479753	18	0.5017
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	105481433	109690352	2634	0.0077
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	109690431	109697556	11	2.226
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	109702376	112147704	1948	0.0268
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	112153343	112154768	25	-1.7109
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	112163334	121705338	5159	0.0222
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	143459641	144442092	131	0.7451
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	144442098	169247699	13811	0.0177
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	169264736	169272528	7	-2.6377
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	169273163	193186662	15765	0.0118
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	193187149	193187202	3	-1.6015
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	193187218	209897717	11236	0.0132
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	209908268	209908720	2	-1.9865
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	209910639	212831776	1946	0.0099
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	212831791	212837094	4	-1.2612
fc24d0c1-2224-4b8f-8513-075d27b26f1b	1	212841111	248930189	25058	0.0152
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	12784	180484	96	-0.0285
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	181559	255468	58	-0.2687
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	259296	4168879	2838	0.0326
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	4169315	4171952	16	-0.6193
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	4172309	35750907	21989	0.0168
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	35752724	35761842	5	-1.8879
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	35762850	52531677	12130	0.0131
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	52531803	52554404	29	0.4836
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	52560811	78474950	16759	0.0142
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	78480641	78481758	5	-1.346
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	78485813	86878321	5198	0.0165
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	86878530	87638743	135	0.2177
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	87644835	97359885	1741	0.0498
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	97524284	97545726	9	-0.8697
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	97550415	106258266	5568	0.0225
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	106263639	106270952	14	0.6342
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	106271414	128880904	13376	0.0173
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	128880928	128882741	14	-0.9103
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	128882755	129597933	574	0.0283
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	129598357	129598636	2	-1.5135
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	129598954	130036283	299	0.0494
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	130036310	130116915	13	0.7595
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	130117303	146106875	9526	0.0229
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	146106889	146109366	21	-2.1989
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	146120238	158864195	7641	0.0209
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	158869757	158869978	2	-2.3333
fc24d0c1-2224-4b8f-8513-075d27b26f1b	2	158873581	242147305	51366	0.0172
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	20930	20271633	15242	0.0218
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	20273630	20274591	2	-3.1694
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	20286589	26559609	4741	0.0192
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	26560269	26570394	9	-1.7029
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	26570407	27418246	548	0.0069
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	27419052	27420969	2	-1.7071
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	27421732	68697013	27212	0.0192
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	68697108	68698262	14	1.124
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	68699607	130044016	34639	0.0143
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	130044855	130087393	38	0.7333
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	130088081	140067009	6090	0.0172
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	140068646	140069304	3	-1.3784
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	140071971	162794951	14162	0.0076
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	162795304	162908207	68	-0.371
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	162908784	169631156	3909	-0.0067
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	169632074	169635037	4	-1.2568
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	169636064	195737444	16783	0.0159
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	195737636	195747892	5	-1.2749
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	195751823	196779300	471	0.0065
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	196779568	196822871	21	-0.5574
fc24d0c1-2224-4b8f-8513-075d27b26f1b	3	196826996	198169247	673	0.0119
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	68929	3899125	1569	0.024
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	3901987	4158336	63	0.2741
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	4163608	10208766	4065	0.0384
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	10212536	10233644	36	1.8169
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	10234518	10270469	42	0.042
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	10271164	10274358	12	-0.6677
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	10274728	10390730	118	0.0392
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	10391530	10398887	14	-0.6884
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	10399044	114252544	64001	0.0176
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	114254167	114261019	23	-1.3482
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	114263073	172503796	35278	0.0118
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	172503878	172507492	6	1.2989
fc24d0c1-2224-4b8f-8513-075d27b26f1b	4	172519981	190106768	11828	0.0181
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	15532	12791608	10187	0.0168
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	12800777	12826538	12	-0.6222
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	12833745	41561271	18338	0.0066
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	41564024	41564336	2	-2.0565
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	41564460	178680821	82729	0.0126
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	178682974	178686162	3	-2.7133
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	178691854	180947523	1345	0.0193
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	180951710	180990911	18	0.4852
fc24d0c1-2224-4b8f-8513-075d27b26f1b	5	180991103	181363319	171	0.0409
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	149661	252145	96	0.058
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	252772	265143	11	0.3848
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	267622	290598	11	0.76
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	291082	381149	84	0.2389
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	382559	29882497	21453	0.0178
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	29882589	29933799	18	-0.7693
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	29940692	31313046	642	0.0244
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	31318499	31328176	8	-1.7678
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	31328210	32507164	511	0.0408
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	32510338	32541699	11	-0.6676
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	32549151	32718419	80	-0.0023
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	32720838	32722250	8	0.7709
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	32723020	32723053	3	2.4947
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	32732907	33970966	753	0.0244
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	33974234	33974794	4	-1.2044
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	33974834	54066269	12889	0.0162
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	54066286	54067057	8	-1.5753
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	54070550	64627049	4226	0.0114
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	64637651	64639099	2	-2.5779
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	64640883	67739344	2227	0.0077
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	67740045	67741110	3	-1.4936
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	67745345	78253172	6701	0.0078
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	78259348	78325468	111	-0.6001
fc24d0c1-2224-4b8f-8513-075d27b26f1b	6	78329517	170741917	59651	0.0148
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	43355	16130033	10993	0.0082
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	16131935	16137662	4	-1.5625
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	16141895	33088634	12754	0.0128
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	33091075	33145870	34	0.5992
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	33150181	38234132	3566	0.0122
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	38238544	38356373	133	0.169
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	38356875	54318812	10980	0.0185
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	54318816	54318824	5	2.7159
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	54325795	56717864	1570	0.0073
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	56717979	64311471	1061	0.0995
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	64312191	112300407	27487	0.0098
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	112304327	112320045	11	-1.0179
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	112323774	126406561	8368	0.0152
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	126406822	126406827	6	0.9654
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	126412712	134100424	4694	0.0267
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	134100442	134113790	31	0.5758
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	134113805	158324903	15453	0.0319
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	158335896	158339473	2	2.0883
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	158344294	158624136	159	0.0384
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	158626948	158627410	2	-2.1374
fc24d0c1-2224-4b8f-8513-075d27b26f1b	7	158628283	159334314	472	0.0391
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	81254	643041	322	0.037
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	644944	645908	10	1.1576
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	656117	7930192	7441	0.014
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	7941868	8120649	13	0.75
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	8132772	8724734	480	0.0284
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	8725599	8728873	8	-1.342
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	8729622	8730079	2	-0.6083
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	8731984	12092042	2732	0.0292
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	12130217	12143614	6	-0.8262
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	12176798	12496252	37	0.5391
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	12519969	25114672	10411	0.0182
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	25116928	25126735	26	-0.6276
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	25126818	25552690	318	0.0373
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	25557688	25557753	2	-1.2244
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	25557934	27021561	1157	0.0294
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	27022006	27023165	6	-0.8879
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	27029290	39368221	7512	0.0181
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	39368332	39529446	66	-0.3243
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	39530780	40326278	590	0.0065
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	40326280	40331992	33	-1.064
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	40335391	141394519	62731	0.0156
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	141400723	142384519	591	0.1295
fc24d0c1-2224-4b8f-8513-075d27b26f1b	8	142384532	145072769	961	0.0535
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	46587	5079156	5242	0.0168
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	5081416	5083003	12	-0.7174
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	5083017	5538263	364	0.027
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	5541877	5549080	4	-1.128
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	5550241	10403105	4343	0.0074
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	10404138	10404986	2	1.775
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	10407943	12532907	1711	-0.021
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	12535787	22492890	8160	0.0233
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	22501914	22502700	2	-3.8354
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	22509341	23366284	584	0.0117
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	23367171	23372401	4	1.1933
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	23373486	39487690	10740	0.013
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	39547279	42211663	133	0.312
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	42230926	61405110	70	0.0552
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	61520021	61581625	22	-0.6065
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	61598577	61627312	5	-2.2764
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	61629689	88200773	14531	0.0206
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	88204848	88207198	5	-1.4482
fc24d0c1-2224-4b8f-8513-075d27b26f1b	9	88208131	138200944	33538	0.0212
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	45792	9551162	8220	0.0222
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	9552298	9645512	52	-0.2779
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	9648744	24086334	10909	0.0173
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	24088745	24089125	11	-1.9366
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	24089979	89178916	41034	0.0171
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	89183210	89190649	14	-0.8971
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	89191083	130453772	28364	0.0182
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	130455378	131914143	1189	0.0829
fc24d0c1-2224-4b8f-8513-075d27b26f1b	10	131914230	133654968	821	0.0356
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	198510	4444741	1853	0.0446
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	4445603	4445847	3	-1.4278
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	4446408	4949064	566	0.0015
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	4949100	4955042	26	0.5149
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	4955781	18919323	10222	0.0166
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	18927525	18940441	45	1.1649
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	18940469	55595864	21746	0.0205
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	55606556	55608804	8	-0.8821
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	55609022	55685533	51	-1.9078
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	55686100	67582822	6164	0.0282
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	67584356	68003149	131	0.2385
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	68007631	86594619	11455	0.0182
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	86594771	86595012	5	-1.1905
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	86604132	89741663	2089	0.0166
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	89754781	89817056	12	-1.1529
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	89834373	110877346	14693	0.0128
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	110877405	110884508	6	-1.3517
fc24d0c1-2224-4b8f-8513-075d27b26f1b	11	110892396	135074876	17712	0.0242
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	51460	8369086	5584	0.0221
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	8370326	8422738	23	0.4909
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	8423870	9477960	563	0.0196
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	9481274	9575696	24	0.965
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	9582373	11083616	1043	-0.006
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	11084237	11088933	3	-1.8117
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	11099275	37593924	16382	0.0119
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	37618765	37620216	2	-2.4649
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	37640556	45510655	4750	0.0052
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	45512057	45515754	3	-2.9277
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	45519509	70478078	15165	0.0151
fc24d0c1-2224-4b8f-8513-075d27b26f1b	12	70478895	70483970	5	-1.0586
