GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CR-6472-01A-11D-2268-08	chr1	17001	857000	85	-1.016961
TCGA-CR-6472-01A-11D-2268-08	chr1	858001	991000	129	-0.712097
TCGA-CR-6472-01A-11D-2268-08	chr1	991001	1178000	179	-0.629446
TCGA-CR-6472-01A-11D-2268-08	chr1	1178001	2264000	1030	-0.697283
TCGA-CR-6472-01A-11D-2268-08	chr1	2264001	2525000	258	-0.586495
TCGA-CR-6472-01A-11D-2268-08	chr1	2525001	3417000	771	-0.658331
TCGA-CR-6472-01A-11D-2268-08	chr1	3417001	3535000	117	-0.606744
TCGA-CR-6472-01A-11D-2268-08	chr1	3535001	3558000	23	-0.589406
TCGA-CR-6472-01A-11D-2268-08	chr1	3558001	3571000	13	-0.636197
TCGA-CR-6472-01A-11D-2268-08	chr1	3571001	3595000	23	-0.704394
TCGA-CR-6472-01A-11D-2268-08	chr1	3595001	3738000	141	-0.663051
TCGA-CR-6472-01A-11D-2268-08	chr1	3738001	3768000	30	-0.617680
TCGA-CR-6472-01A-11D-2268-08	chr1	3768001	4005000	235	-0.675166
TCGA-CR-6472-01A-11D-2268-08	chr1	4005001	4029000	24	-0.724902
TCGA-CR-6472-01A-11D-2268-08	chr1	4029001	4229000	194	-0.664932
TCGA-CR-6472-01A-11D-2268-08	chr1	4229001	4272000	43	-0.633453
TCGA-CR-6472-01A-11D-2268-08	chr1	4272001	4323000	51	-0.634806
TCGA-CR-6472-01A-11D-2268-08	chr1	4323001	4457000	133	-0.652485
TCGA-CR-6472-01A-11D-2268-08	chr1	4457001	4482000	25	-0.629764
TCGA-CR-6472-01A-11D-2268-08	chr1	4482001	4572000	90	-0.634220
TCGA-CR-6472-01A-11D-2268-08	chr1	4572001	4670000	98	-0.694442
TCGA-CR-6472-01A-11D-2268-08	chr1	4670001	4692000	22	-0.635325
TCGA-CR-6472-01A-11D-2268-08	chr1	4692001	5082000	389	-0.641516
TCGA-CR-6472-01A-11D-2268-08	chr1	5082001	5257000	175	-0.663638
TCGA-CR-6472-01A-11D-2268-08	chr1	5257001	5646000	388	-0.635105
TCGA-CR-6472-01A-11D-2268-08	chr1	5646001	5670000	24	-0.660264
TCGA-CR-6472-01A-11D-2268-08	chr1	5670001	7740000	2067	-0.658042
TCGA-CR-6472-01A-11D-2268-08	chr1	7740001	8563000	820	-0.657940
TCGA-CR-6472-01A-11D-2268-08	chr1	8563001	8578000	15	-0.605200
TCGA-CR-6472-01A-11D-2268-08	chr1	8578001	8953000	375	-0.654227
TCGA-CR-6472-01A-11D-2268-08	chr1	8953001	8984000	31	-0.728222
TCGA-CR-6472-01A-11D-2268-08	chr1	8984001	9260000	273	-0.652195
TCGA-CR-6472-01A-11D-2268-08	chr1	9260001	9276000	16	-0.598672
TCGA-CR-6472-01A-11D-2268-08	chr1	9276001	9659000	383	-0.671621
TCGA-CR-6472-01A-11D-2268-08	chr1	9659001	9677000	18	-0.611377
TCGA-CR-6472-01A-11D-2268-08	chr1	9677001	9917000	240	-0.678756
TCGA-CR-6472-01A-11D-2268-08	chr1	9917001	10175000	258	-0.678853
TCGA-CR-6472-01A-11D-2268-08	chr1	10175001	10693000	517	-0.656935
TCGA-CR-6472-01A-11D-2268-08	chr1	10693001	10760000	67	-0.629594
TCGA-CR-6472-01A-11D-2268-08	chr1	10760001	10792000	32	-0.619842
TCGA-CR-6472-01A-11D-2268-08	chr1	10792001	10808000	16	-0.744986
TCGA-CR-6472-01A-11D-2268-08	chr1	10808001	10970000	162	-0.639159
TCGA-CR-6472-01A-11D-2268-08	chr1	10970001	11057000	87	-0.696283
TCGA-CR-6472-01A-11D-2268-08	chr1	11057001	11881000	824	-0.674345
TCGA-CR-6472-01A-11D-2268-08	chr1	11881001	11985000	104	-0.738536
TCGA-CR-6472-01A-11D-2268-08	chr1	11985001	12138000	153	-0.681870
TCGA-CR-6472-01A-11D-2268-08	chr1	12138001	12836000	695	-0.646261
TCGA-CR-6472-01A-11D-2268-08	chr1	12836001	12855000	19	-0.127023
TCGA-CR-6472-01A-11D-2268-08	chr1	12855001	12886000	19	-0.515632
TCGA-CR-6472-01A-11D-2268-08	chr1	12886001	13059000	10	-1.330939
TCGA-CR-6472-01A-11D-2268-08	chr1	13104001	13122000	18	-0.520125
TCGA-CR-6472-01A-11D-2268-08	chr1	13170001	13335000	46	-1.132224
TCGA-CR-6472-01A-11D-2268-08	chr1	13338001	13366000	20	-3.149135
TCGA-CR-6472-01A-11D-2268-08	chr1	13366001	13539000	173	-0.763687
TCGA-CR-6472-01A-11D-2268-08	chr1	13539001	13554000	15	-0.685710
TCGA-CR-6472-01A-11D-2268-08	chr1	13554001	13634000	80	-0.709639
TCGA-CR-6472-01A-11D-2268-08	chr1	13634001	13674000	40	-0.721248
TCGA-CR-6472-01A-11D-2268-08	chr1	13674001	13967000	293	-0.640321
TCGA-CR-6472-01A-11D-2268-08	chr1	13967001	14027000	60	-0.556136
TCGA-CR-6472-01A-11D-2268-08	chr1	14027001	14066000	38	-0.608829
TCGA-CR-6472-01A-11D-2268-08	chr1	14066001	14395000	328	-0.604560
TCGA-CR-6472-01A-11D-2268-08	chr1	14395001	14460000	65	-0.653347
TCGA-CR-6472-01A-11D-2268-08	chr1	14460001	14467000	7	-0.563330
TCGA-CR-6472-01A-11D-2268-08	chr1	14467001	14502000	35	-0.607506
TCGA-CR-6472-01A-11D-2268-08	chr1	14502001	14629000	126	-0.614877
TCGA-CR-6472-01A-11D-2268-08	chr1	14629001	14774000	145	-0.645184
TCGA-CR-6472-01A-11D-2268-08	chr1	14774001	16524000	1743	-0.670711
TCGA-CR-6472-01A-11D-2268-08	chr1	16524001	16729000	133	-1.028383
TCGA-CR-6472-01A-11D-2268-08	chr1	16729001	16861000	35	-1.621681
TCGA-CR-6472-01A-11D-2268-08	chr1	16861001	17173000	307	-0.594028
TCGA-CR-6472-01A-11D-2268-08	chr1	17173001	17271000	98	-0.623764
TCGA-CR-6472-01A-11D-2268-08	chr1	17271001	17354000	82	-0.666926
TCGA-CR-6472-01A-11D-2268-08	chr1	17354001	17593000	239	-0.695479
TCGA-CR-6472-01A-11D-2268-08	chr1	17593001	17841000	248	-0.630804
TCGA-CR-6472-01A-11D-2268-08	chr1	17841001	17861000	20	-0.720872
TCGA-CR-6472-01A-11D-2268-08	chr1	17861001	18003000	142	-0.651538
TCGA-CR-6472-01A-11D-2268-08	chr1	18003001	18161000	158	-0.626947
TCGA-CR-6472-01A-11D-2268-08	chr1	18161001	18666000	505	-0.645109
TCGA-CR-6472-01A-11D-2268-08	chr1	18666001	18733000	67	-0.665467
TCGA-CR-6472-01A-11D-2268-08	chr1	18733001	19515000	781	-0.639447
TCGA-CR-6472-01A-11D-2268-08	chr1	19515001	19701000	186	-0.647876
TCGA-CR-6472-01A-11D-2268-08	chr1	19701001	19949000	248	-0.660716
TCGA-CR-6472-01A-11D-2268-08	chr1	19949001	19962000	13	-0.545257
TCGA-CR-6472-01A-11D-2268-08	chr1	19962001	47172000	26962	0.046669
TCGA-CR-6472-01A-11D-2268-08	chr1	47172001	60498000	13260	0.077916
TCGA-CR-6472-01A-11D-2268-08	chr1	60498001	60717000	216	-0.570372
TCGA-CR-6472-01A-11D-2268-08	chr1	60717001	60757000	40	-0.597616
TCGA-CR-6472-01A-11D-2268-08	chr1	60757001	60949000	192	-0.581067
TCGA-CR-6472-01A-11D-2268-08	chr1	60949001	60990000	41	-0.593391
TCGA-CR-6472-01A-11D-2268-08	chr1	60990001	61367000	377	-0.606706
TCGA-CR-6472-01A-11D-2268-08	chr1	61367001	61420000	53	-0.536996
TCGA-CR-6472-01A-11D-2268-08	chr1	61420001	61644000	223	-0.589057
TCGA-CR-6472-01A-11D-2268-08	chr1	61644001	61675000	31	-0.578759
TCGA-CR-6472-01A-11D-2268-08	chr1	61675001	61882000	207	-0.648160
TCGA-CR-6472-01A-11D-2268-08	chr1	61882001	61925000	43	-0.635605
TCGA-CR-6472-01A-11D-2268-08	chr1	61925001	62139000	214	-0.643851
TCGA-CR-6472-01A-11D-2268-08	chr1	62139001	83125000	20801	0.087655
TCGA-CR-6472-01A-11D-2268-08	chr1	83125001	83490000	328	-0.214131
TCGA-CR-6472-01A-11D-2268-08	chr1	83490001	104310000	20535	0.098825
TCGA-CR-6472-01A-11D-2268-08	chr1	104310001	115597000	10990	0.076928
TCGA-CR-6472-01A-11D-2268-08	chr1	115597001	119989000	4375	0.108085
TCGA-CR-6472-01A-11D-2268-08	chr1	119995001	121408000	195	-0.452454
TCGA-CR-6472-01A-11D-2268-08	chr1	121408001	121743000	192	0.069126
TCGA-CR-6472-01A-11D-2268-08	chr1	121743001	122866000	41	-2.486171
TCGA-CR-6472-01A-11D-2268-08	chr1	122877001	122890000	3	-0.991916
TCGA-CR-6472-01A-11D-2268-08	chr1	122890001	123557000	82	-2.690269
TCGA-CR-6472-01A-11D-2268-08	chr1	123558001	123957000	43	-1.538711
TCGA-CR-6472-01A-11D-2268-08	chr1	123969001	124055000	9	-3.022829
TCGA-CR-6472-01A-11D-2268-08	chr1	124061001	124282000	29	-1.205010
TCGA-CR-6472-01A-11D-2268-08	chr1	124283001	124299000	3	-3.091091
TCGA-CR-6472-01A-11D-2268-08	chr1	124306001	124321000	4	-0.855607
TCGA-CR-6472-01A-11D-2268-08	chr1	124325001	124439000	21	-1.808425
TCGA-CR-6472-01A-11D-2268-08	chr1	124446001	124456000	5	-0.933977
TCGA-CR-6472-01A-11D-2268-08	chr1	124457001	124509000	7	-2.164490
TCGA-CR-6472-01A-11D-2268-08	chr1	124510001	124518000	4	0.006356
TCGA-CR-6472-01A-11D-2268-08	chr1	124531001	124539000	4	-3.688699
TCGA-CR-6472-01A-11D-2268-08	chr1	124544001	124545000	1	0.665676
TCGA-CR-6472-01A-11D-2268-08	chr1	124552001	124616000	18	-2.044712
TCGA-CR-6472-01A-11D-2268-08	chr1	124617001	124630000	4	-1.244423
TCGA-CR-6472-01A-11D-2268-08	chr1	124631001	124660000	5	-4.509692
TCGA-CR-6472-01A-11D-2268-08	chr1	124671001	124737000	19	-0.776933
TCGA-CR-6472-01A-11D-2268-08	chr1	124737001	124783000	18	-3.781770
TCGA-CR-6472-01A-11D-2268-08	chr1	124802001	125176000	236	0.020251
TCGA-CR-6472-01A-11D-2268-08	chr1	125176001	125184000	8	-1.353221
TCGA-CR-6472-01A-11D-2268-08	chr1	125184001	143213000	19	-0.872222
TCGA-CR-6472-01A-11D-2268-08	chr1	143213001	143220000	7	-1.680933
TCGA-CR-6472-01A-11D-2268-08	chr1	143220001	143505000	57	0.470490
TCGA-CR-6472-01A-11D-2268-08	chr1	143529001	143746000	196	0.898809
TCGA-CR-6472-01A-11D-2268-08	chr1	143746001	143754000	8	1.392529
TCGA-CR-6472-01A-11D-2268-08	chr1	143754001	145686000	300	0.274443
TCGA-CR-6472-01A-11D-2268-08	chr1	145686001	146051000	355	0.855279
TCGA-CR-6472-01A-11D-2268-08	chr1	146051001	147007000	178	0.343566
TCGA-CR-6472-01A-11D-2268-08	chr1	147007001	147926000	910	0.879169
TCGA-CR-6472-01A-11D-2268-08	chr1	147926001	148258000	117	0.362722
TCGA-CR-6472-01A-11D-2268-08	chr1	148258001	148441000	170	0.857002
TCGA-CR-6472-01A-11D-2268-08	chr1	148451001	149816000	166	0.302523
TCGA-CR-6472-01A-11D-2268-08	chr1	149816001	151879000	2004	0.821697
TCGA-CR-6472-01A-11D-2268-08	chr1	151879001	152481000	590	0.669712
