GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	62920	16489035	8630	0.0429
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	16489595	16689764	45	-0.1684
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	16718963	16721984	6	-0.5635
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	16766762	16855942	14	0.0096
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	16863509	16935737	54	-0.5179
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	16935752	25256850	5258	0.0381
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	25266637	25320455	24	-2.3742
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	25336819	34626073	4948	0.0264
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	34637053	34638890	20	-0.7177
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	34648667	103614695	43790	0.0297
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	103614714	103621165	6	-1.2771
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	103697067	105470754	919	0.0148
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	105476583	105479738	16	-0.5129
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	105479753	109679105	2633	0.0252
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	109684695	109697556	15	0.5933
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	109702376	110833598	836	0.0364
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	110834746	110845604	39	-0.6876
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	110849445	112147704	1071	0.0366
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	112153343	112154619	23	0.5407
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	112154754	120414592	5060	0.0266
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	120885464	120954128	3	1.3839
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	120954165	152583051	2533	0.0403
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	152583230	152614118	35	-2.0739
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	152618018	152787202	167	0.0313
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	152789447	152796224	37	-1.8234
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	152801429	161648901	5261	0.0261
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	161649069	161649268	6	-0.9801
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	161678447	174827267	9515	0.023
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	174827418	174832702	16	-0.7799
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	174832716	199142393	16060	0.0217
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	199142562	199143883	5	-0.9625
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	199144712	209897717	7397	0.0303
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	209908268	209913207	4	-1.2075
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	209920149	212831113	1943	0.0204
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	212831670	212841111	8	-0.8996
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	212847437	248436996	24845	0.029
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	248437495	248473963	13	0.7241
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	248475325	248574146	17	-0.096
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	248585893	248645808	34	-2.512
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	1	248646068	248930189	139	0.0969
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	12784	14563570	11031	0.0356
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	14564825	14569968	12	-0.8063
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	14570240	34466002	13021	0.0369
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	34476327	34511990	45	0.7379
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	34512096	35750907	871	0.0588
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	35752724	35762881	7	1.0361
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	35772407	52527330	12105	0.0397
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	52527342	52527743	6	-1.5276
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	2	52531615	242147305	112269	0.0375
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	20930	2678777	2294	0.0993
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	2680455	5560699	2585	0.0389
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	5561141	6899757	1182	0.0797
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	6899986	17935337	7870	0.0296
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	17940709	25714222	5496	-0.0156
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	25714507	29395914	2486	0.0236
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	29396150	29397082	5	-1.2934
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	29397969	38239798	5864	0.0258
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	38243794	39652079	975	0.0463
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	39652660	42162815	1591	-0.8113
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	42166013	44603982	1397	0.0319
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	44611019	49013547	2306	-0.8233
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	49017246	59882471	6360	0.0269
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	59883644	60707099	983	0.0891
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	60707127	60707165	2	-1.6556
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	60708618	68697013	6335	0.0349
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	68697108	68698262	14	-1.8245
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	68699607	68892300	181	0.0202
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	68896070	68896537	3	-0.7253
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	68897765	68979124	55	0.0153
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	68979940	68980218	3	-0.9752
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	68980857	75372019	4620	0.0266
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	75377956	75499583	54	-0.6829
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	75500567	98180575	10380	0.025
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	98189826	98194581	3	-2.0467
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	98195973	112380800	8559	0.0303
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	112384674	112394487	27	-0.8458
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	112395969	116169322	2240	0.0248
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	116177403	117083464	750	-0.7557
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	117083713	117757553	496	0.0332
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	117760367	117763840	4	-0.8052
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	117768724	118087356	223	0.0228
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	118090714	118558674	306	0.5205
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	118559381	118613613	29	-0.0196
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	118616322	119278221	374	0.5439
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	119285467	130044016	6308	0.033
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	130044855	130087393	38	0.5164
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	130088081	143237217	8089	0.0325
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	143237521	143240947	2	-1.5117
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	143241431	162790480	12156	0.0282
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	162794869	162898127	64	0.6618
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	162906054	193160113	19148	0.0265
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	193160173	193165114	19	-1.7294
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	3	193168646	198169247	2689	0.0389
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	68929	5315008	2528	0.028
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	5318059	5321568	3	-1.1997
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	5322472	10212536	3174	0.0469
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	10221792	10233558	34	-0.7716
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	10233644	25932598	11456	0.0284
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	25933118	26417016	326	-0.8063
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	26417102	32398929	3832	0.0302
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	32398943	32398961	2	-1.728
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	32398977	34777238	1336	0.0102
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	34777340	34822561	43	-0.565
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	34823103	49508382	8971	0.023
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	49509185	49654496	12	-0.7943
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	49654578	61071220	6057	0.0316
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	61075217	61076234	2	-1.6173
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	61079968	62802116	937	0.0377
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	62804218	62805944	8	-2.225
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	62813912	68394833	3437	0.0232
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	68395346	68422424	6	0.9698
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	68429081	68506285	12	0.028
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	68509223	68569706	29	0.621
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	68569894	68620261	36	1.1832
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	68623617	69257792	315	0.0759
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	69261926	69366406	56	-0.7067
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	69370433	101090285	19355	0.0178
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	101092708	101122453	19	-0.8369
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	101134879	131018350	17874	-0.0076
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	131019052	131437038	206	0.6053
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	131440551	137163953	3089	0.0173
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	137168393	137173967	20	-0.6205
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	137187209	156380587	11846	0.0152
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	156384225	156384770	12	-0.6388
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	156386889	157674952	805	0.0147
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	157675373	157675602	2	-1.1024
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	157680417	160958989	2023	0.0144
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	160959045	160963756	18	-0.5738
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	160963767	171448195	6658	0.0219
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	171453733	171456573	11	1.7935
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	171456625	172501371	641	0.0215
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	172503796	172519981	8	-0.7459
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	172532557	173105689	306	0.0246
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	173107538	173141130	27	-0.8342
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	173143216	173546535	205	-0.0008
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	173555352	173582864	17	-0.8071
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	4	173587054	190106768	11274	0.0348
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	15532	685633	306	0.0376
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	698256	779766	28	0.4806
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	800724	12815668	9848	0.0283
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	12815753	12838421	13	-1.51
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	12849089	15718383	1965	0.0224
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	15719113	15720369	10	-0.7064
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	15720488	17601444	1192	0.0212
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	17601619	17625524	10	-0.7904
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	17629411	26789387	5460	0.022
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	26797651	26797735	2	-2.0689
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	26803775	53106218	13533	0.0243
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	53108689	53109452	2	-3.9456
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	53113609	55417193	1595	0.0338
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	55419696	58279115	1978	-0.8401
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	58280919	58965702	508	0.0182
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	58970602	58970957	4	-1.2858
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	58970969	59789803	672	0.0188
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	59791415	62460622	1553	-0.8393
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	62465551	104515520	23868	0.0154
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	104524672	104524903	4	-1.5032
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	104525348	105572744	737	0.0091
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	105575767	114557625	6024	-0.8475
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	114558305	114816499	200	0.0272
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	114822797	114824471	5	-0.8372
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	114829664	114834120	6	-0.0031
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	114835651	115015007	92	-0.9003
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	115022026	115575868	401	0.005
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	115576666	123271441	5276	-0.8472
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	123271462	123675349	229	0.0161
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	123681444	124926358	847	-0.8624
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	5	124934229	181363319	36342	0.0142
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	149661	302306	125	0.0274
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	303017	384109	80	0.2755
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	384521	31309909	22109	0.024
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	31313046	31328674	12	-1.6284
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	31342147	32507164	508	0.0657
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	32510338	32658841	55	-0.444
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	32682835	66328153	19062	0.027
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	66331020	66333004	6	-2.5393
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	66333299	68976737	1865	0.029
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	68977806	68981476	4	-0.9729
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	68987514	71300455	1461	0.0215
a19cdc6f-f4f2-4f43-a48d-fcdf4a720faf	6	71301260	73162553	1259	-0.0472
