GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	62920	16864367	8692	0.089
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	16868660	16958425	58	0.3751
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	16959715	25269390	5257	0.0963
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	25269456	25320455	22	-0.3459
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	25336819	36560876	5854	0.0836
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	36561839	36813776	163	-0.1421
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	36819223	75585159	24666	0.0692
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	75589078	75589169	2	-2.5565
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	75593824	103614714	18062	0.0577
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	103615687	103620877	4	-0.927
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	103621165	105470754	921	0.0485
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	105476583	105515824	52	-0.1658
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	105515839	109690352	2597	0.0754
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	109690415	109697556	12	-0.8057
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	109702376	112908428	2456	0.0815
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	112909991	112913924	2	-1.1008
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	112913938	143748421	4769	0.076
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	143748590	143754062	13	0.7604
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	143754077	152789570	2532	0.0924
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	152789781	152795783	27	0.8523
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	152795805	194479104	27960	0.0645
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	194482281	194485888	2	-2.0442
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	194487886	199142235	2882	0.0599
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	199142298	199144712	8	-1.7197
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	199145110	199573435	304	0.054
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	199573828	199577059	6	-1.7562
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	199577780	202455349	1925	0.0615
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	202461489	202471291	6	-0.7868
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	202471533	220771948	12690	0.0683
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	220772047	220777793	4	-1.3248
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	220780435	222193326	1046	0.0542
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	222201492	222203662	2	1.4001
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	222208792	226184285	2366	0.0636
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	226188728	226195751	5	-0.8599
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	226199652	227237600	682	0.0604
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	227238371	227238705	3	-1.2661
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	227241477	248633912	15198	0.0634
2cd3acc2-31e5-41b3-9db4-baad97c03990	1	248645563	248673020	11	-0.4439
