GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
af915427-c598-40e8-86b8-a5087214b30c	1	62920	771719	22	0.6453
af915427-c598-40e8-86b8-a5087214b30c	1	777165	15827002	8311	-0.3867
af915427-c598-40e8-86b8-a5087214b30c	1	15827041	15828515	9	0.5044
af915427-c598-40e8-86b8-a5087214b30c	1	15839166	16487426	287	-0.3661
af915427-c598-40e8-86b8-a5087214b30c	1	16488499	16785682	64	-0.2019
af915427-c598-40e8-86b8-a5087214b30c	1	16787932	16935393	56	0.052
af915427-c598-40e8-86b8-a5087214b30c	1	16935737	25256850	5255	-0.3725
af915427-c598-40e8-86b8-a5087214b30c	1	25266637	25320455	24	0.3828
af915427-c598-40e8-86b8-a5087214b30c	1	25336819	72303233	28720	-0.3476
af915427-c598-40e8-86b8-a5087214b30c	1	72303253	72345450	44	-1.6146
af915427-c598-40e8-86b8-a5087214b30c	1	72345465	74383266	1198	-0.3051
af915427-c598-40e8-86b8-a5087214b30c	1	74384128	95622636	13915	-0.4561
af915427-c598-40e8-86b8-a5087214b30c	1	95624175	95659379	27	-1.3699
af915427-c598-40e8-86b8-a5087214b30c	1	95660850	97030002	814	-0.4729
af915427-c598-40e8-86b8-a5087214b30c	1	97032324	97037732	9	-1.4159
af915427-c598-40e8-86b8-a5087214b30c	1	97044370	99677836	1610	-0.4388
af915427-c598-40e8-86b8-a5087214b30c	1	99677902	99809114	102	-1.745
af915427-c598-40e8-86b8-a5087214b30c	1	99809861	101393732	977	-0.4626
af915427-c598-40e8-86b8-a5087214b30c	1	101394224	104956399	1986	-0.3031
af915427-c598-40e8-86b8-a5087214b30c	1	104957900	104963200	3	-1.5578
af915427-c598-40e8-86b8-a5087214b30c	1	104963330	105476583	286	-0.2905
af915427-c598-40e8-86b8-a5087214b30c	1	105476614	105479753	16	0.4119
af915427-c598-40e8-86b8-a5087214b30c	1	105481433	108187137	1937	-0.3023
af915427-c598-40e8-86b8-a5087214b30c	1	108191613	108194874	3	-3.2692
af915427-c598-40e8-86b8-a5087214b30c	1	108196482	108223733	17	-0.3463
af915427-c598-40e8-86b8-a5087214b30c	1	108226680	108274557	2	-3.6942
af915427-c598-40e8-86b8-a5087214b30c	1	108310648	112147704	2632	-0.3287
af915427-c598-40e8-86b8-a5087214b30c	1	112153343	112154576	21	0.1541
af915427-c598-40e8-86b8-a5087214b30c	1	112154591	119737785	4865	-0.3401
af915427-c598-40e8-86b8-a5087214b30c	1	119737931	119738111	2	-2.0927
af915427-c598-40e8-86b8-a5087214b30c	1	119742923	143714665	391	-0.3061
af915427-c598-40e8-86b8-a5087214b30c	1	143714703	151359541	1591	0.1006
af915427-c598-40e8-86b8-a5087214b30c	1	151364223	151425328	59	0.6783
af915427-c598-40e8-86b8-a5087214b30c	1	151425402	152334445	507	0.0972
af915427-c598-40e8-86b8-a5087214b30c	1	152337610	152778324	380	-0.4526
af915427-c598-40e8-86b8-a5087214b30c	1	152778761	152806050	50	0.4444
af915427-c598-40e8-86b8-a5087214b30c	1	152806082	157030924	2179	0.0804
af915427-c598-40e8-86b8-a5087214b30c	1	157035076	158517850	1053	-0.475
af915427-c598-40e8-86b8-a5087214b30c	1	158517872	158651233	139	-0.2905
af915427-c598-40e8-86b8-a5087214b30c	1	158657525	165317326	4808	-0.4709
af915427-c598-40e8-86b8-a5087214b30c	1	165323362	165332964	16	-1.6808
af915427-c598-40e8-86b8-a5087214b30c	1	165333532	165851940	467	-0.488
af915427-c598-40e8-86b8-a5087214b30c	1	165853803	166478466	469	-1.5016
af915427-c598-40e8-86b8-a5087214b30c	1	166479218	168963376	1881	-0.4623
af915427-c598-40e8-86b8-a5087214b30c	1	168963415	168964178	3	-1.8746
af915427-c598-40e8-86b8-a5087214b30c	1	168964230	169247699	242	-0.4469
af915427-c598-40e8-86b8-a5087214b30c	1	169264736	169273163	8	0.4663
af915427-c598-40e8-86b8-a5087214b30c	1	169285639	174827267	3515	-0.443
af915427-c598-40e8-86b8-a5087214b30c	1	174827418	174832702	16	-2.0432
af915427-c598-40e8-86b8-a5087214b30c	1	174832716	175743103	687	-0.4713
af915427-c598-40e8-86b8-a5087214b30c	1	175744826	175755086	10	-2.0848
af915427-c598-40e8-86b8-a5087214b30c	1	175756086	176231958	263	-0.4479
