GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	17001	12780000	11790	-0.006167
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	12780001	12837000	54	-0.971031
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	12837001	13366000	131	-0.225666
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	13366001	16576000	3176	-0.004665
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	16576001	16639000	55	-0.016558
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	16639001	16868000	90	0.016385
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	16868001	16949000	80	-0.613710
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	16949001	196762000	151785	-0.000163
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	196765001	196836000	10	-6.037423
TCGA-EJ-A8FU-01A-02D-A89O-36	chr1	196844001	248931000	51140	-0.001472
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	11001	78849000	78287	-0.000437
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	78849001	78854000	5	-29.837263
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	78854001	81976000	3110	-0.001422
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	81976001	82082000	106	0.589980
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	82082001	207486000	117013	0.003010
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	207486001	207495000	9	-29.766957
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	207495001	241911000	34160	-0.001954
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	241911001	242094000	170	-0.981069
TCGA-EJ-A8FU-01A-02D-A89O-36	chr2	242094001	242159000	36	0.044392
TCGA-EJ-A8FU-01A-02D-A89O-36	chr3	12001	90711000	90162	0.001633
TCGA-EJ-A8FU-01A-02D-A89O-36	chr3	90717001	91153000	24	-0.601510
TCGA-EJ-A8FU-01A-02D-A89O-36	chr3	91168001	195615000	101294	0.005168
TCGA-EJ-A8FU-01A-02D-A89O-36	chr3	195615001	195729000	87	-0.234695
TCGA-EJ-A8FU-01A-02D-A89O-36	chr3	195729001	198175000	2362	0.006098
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	15001	34779000	34134	0.000945
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	34779001	34827000	48	-29.712339
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	34827001	49098000	14211	0.005508
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	49098001	49159000	54	-0.146621
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	49160001	49658000	237	-0.029247
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	49709001	63269000	11313	0.006634
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	63269001	63288000	19	-0.928355
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	63288001	69258000	5786	0.010469
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	69260001	69367000	104	-0.784496
TCGA-EJ-A8FU-01A-02D-A89O-36	chr4	69367001	190204000	119673	0.006786
TCGA-EJ-A8FU-01A-02D-A89O-36	chr5	13001	687000	632	0.006113
TCGA-EJ-A8FU-01A-02D-A89O-36	chr5	692001	779000	63	0.459043
TCGA-EJ-A8FU-01A-02D-A89O-36	chr5	780001	841000	50	-1.072096
TCGA-EJ-A8FU-01A-02D-A89O-36	chr5	841001	181474000	173197	0.002791
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	148001	257000	109	-0.019695
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	257001	296000	39	-0.704048
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	296001	66299000	63468	0.002240
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	66299001	66339000	38	-0.996778
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	66339001	78258000	11800	0.008235
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	78258001	78326000	68	-29.683591
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	78326001	157279000	78437	0.004217
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	157279001	157283000	4	-0.313361
TCGA-EJ-A8FU-01A-02D-A89O-36	chr6	157284001	170612000	13086	-0.003254
TCGA-EJ-A8FU-01A-02D-A89O-36	chr7	35001	103234000	96333	0.003045
TCGA-EJ-A8FU-01A-02D-A89O-36	chr7	103234001	103238000	4	-29.847523
TCGA-EJ-A8FU-01A-02D-A89O-36	chr7	103238001	159335000	55081	0.003936
TCGA-EJ-A8FU-01A-02D-A89O-36	chr8	205001	12038000	10503	-0.004448
TCGA-EJ-A8FU-01A-02D-A89O-36	chr8	12123001	12176000	20	-1.208622
TCGA-EJ-A8FU-01A-02D-A89O-36	chr8	12178001	12594000	95	-0.021424
TCGA-EJ-A8FU-01A-02D-A89O-36	chr8	12594001	145076000	129362	0.000520
TCGA-EJ-A8FU-01A-02D-A89O-36	chr9	10001	40926000	38752	0.001126
TCGA-EJ-A8FU-01A-02D-A89O-36	chr9	40926001	41102000	174	0.098938
TCGA-EJ-A8FU-01A-02D-A89O-36	chr9	41108001	65518000	1777	0.019138
TCGA-EJ-A8FU-01A-02D-A89O-36	chr9	65522001	65534000	9	-1.222544
TCGA-EJ-A8FU-01A-02D-A89O-36	chr9	65538001	138219000	69429	-0.003467
TCGA-EJ-A8FU-01A-02D-A89O-36	chr10	47001	38099000	37784	-0.001763
TCGA-EJ-A8FU-01A-02D-A89O-36	chr10	38099001	41846000	1484	0.005106
TCGA-EJ-A8FU-01A-02D-A89O-36	chr10	41846001	41885000	39	-0.002368
TCGA-EJ-A8FU-01A-02D-A89O-36	chr10	41885001	133423000	89120	-0.004308
