GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c1758ee0-5f82-48a1-8786-17601b768639	1	62920	10307286	5157	-0.0126
c1758ee0-5f82-48a1-8786-17601b768639	1	10310344	10317925	18	-0.8693
c1758ee0-5f82-48a1-8786-17601b768639	1	10321714	16542868	3453	-0.0078
c1758ee0-5f82-48a1-8786-17601b768639	1	16544783	16956580	115	0.2656
c1758ee0-5f82-48a1-8786-17601b768639	1	16958425	22170210	3435	-0.019
c1758ee0-5f82-48a1-8786-17601b768639	1	22175223	22182713	9	-1.5075
c1758ee0-5f82-48a1-8786-17601b768639	1	22187743	72295173	30473	-0.0032
c1758ee0-5f82-48a1-8786-17601b768639	1	72296993	72356822	59	0.4002
c1758ee0-5f82-48a1-8786-17601b768639	1	72357114	112147589	25484	-0.0013
c1758ee0-5f82-48a1-8786-17601b768639	1	112147626	112154754	26	0.471
c1758ee0-5f82-48a1-8786-17601b768639	1	112154768	152583230	7581	-0.0034
c1758ee0-5f82-48a1-8786-17601b768639	1	152583291	152618018	35	-1.4612
c1758ee0-5f82-48a1-8786-17601b768639	1	152618089	152670930	66	-0.0125
c1758ee0-5f82-48a1-8786-17601b768639	1	152675685	152687773	12	0.534
c1758ee0-5f82-48a1-8786-17601b768639	1	152688270	152789447	88	-0.0282
c1758ee0-5f82-48a1-8786-17601b768639	1	152789463	152796224	36	0.46
c1758ee0-5f82-48a1-8786-17601b768639	1	152801429	164445487	7433	-0.0062
c1758ee0-5f82-48a1-8786-17601b768639	1	164445504	164445877	3	-2.954
c1758ee0-5f82-48a1-8786-17601b768639	1	164449168	184989899	14259	0.0039
c1758ee0-5f82-48a1-8786-17601b768639	1	184990847	185001379	10	-1.0337
c1758ee0-5f82-48a1-8786-17601b768639	1	185007889	189115773	2579	-0.0043
c1758ee0-5f82-48a1-8786-17601b768639	1	189116196	189120580	14	-0.5834
c1758ee0-5f82-48a1-8786-17601b768639	1	189121038	189121040	2	-2.3258
c1758ee0-5f82-48a1-8786-17601b768639	1	189121075	196745743	5080	0.0061
c1758ee0-5f82-48a1-8786-17601b768639	1	196758720	196762956	4	-1.6236
c1758ee0-5f82-48a1-8786-17601b768639	1	196769493	221572948	16904	0.0013
c1758ee0-5f82-48a1-8786-17601b768639	1	221574506	221580267	9	-1.0724
c1758ee0-5f82-48a1-8786-17601b768639	1	221583196	231852378	6474	-0.0043
c1758ee0-5f82-48a1-8786-17601b768639	1	231855385	231855945	2	-1.853
c1758ee0-5f82-48a1-8786-17601b768639	1	231856747	240228440	6528	-0.0017
c1758ee0-5f82-48a1-8786-17601b768639	1	240230715	240230839	6	-1.4207
c1758ee0-5f82-48a1-8786-17601b768639	1	240232805	248574146	5675	0.0078
c1758ee0-5f82-48a1-8786-17601b768639	1	248585893	248645808	34	-0.7617
c1758ee0-5f82-48a1-8786-17601b768639	1	248646068	248930189	139	-0.069
c1758ee0-5f82-48a1-8786-17601b768639	2	12784	34476516	24025	-0.0037
c1758ee0-5f82-48a1-8786-17601b768639	2	34476558	34511990	42	0.4542
c1758ee0-5f82-48a1-8786-17601b768639	2	34512096	52527743	12980	-0.0022
c1758ee0-5f82-48a1-8786-17601b768639	2	52531615	52554404	33	0.5392
c1758ee0-5f82-48a1-8786-17601b768639	2	52560811	54255805	1274	0.0071
c1758ee0-5f82-48a1-8786-17601b768639	2	54255827	54259004	2	-1.4531
c1758ee0-5f82-48a1-8786-17601b768639	2	54259514	55097336	690	0.0042
c1758ee0-5f82-48a1-8786-17601b768639	2	55097380	55102641	33	-0.7895
c1758ee0-5f82-48a1-8786-17601b768639	2	55102674	87211079	19969	0.0042
c1758ee0-5f82-48a1-8786-17601b768639	2	87218694	87218834	2	-1.8537
c1758ee0-5f82-48a1-8786-17601b768639	2	87221597	87516162	60	-0.2351
c1758ee0-5f82-48a1-8786-17601b768639	2	87519870	88945298	583	-0.0211
c1758ee0-5f82-48a1-8786-17601b768639	2	88948404	89933871	109	-0.145
c1758ee0-5f82-48a1-8786-17601b768639	2	89936810	90262403	126	-0.8144
c1758ee0-5f82-48a1-8786-17601b768639	2	90281849	242147305	89237	0.0008
c1758ee0-5f82-48a1-8786-17601b768639	3	20930	42409920	30540	0.0027
c1758ee0-5f82-48a1-8786-17601b768639	3	42412533	42416913	4	-1.4072
c1758ee0-5f82-48a1-8786-17601b768639	3	42419397	136300257	55771	0.003
c1758ee0-5f82-48a1-8786-17601b768639	3	136304109	136306584	2	-2.9373
c1758ee0-5f82-48a1-8786-17601b768639	3	136319699	158376633	13466	0.0022
c1758ee0-5f82-48a1-8786-17601b768639	3	158380537	158390147	7	-1.102
c1758ee0-5f82-48a1-8786-17601b768639	3	158391590	162795304	2730	-0.0032
c1758ee0-5f82-48a1-8786-17601b768639	3	162795361	162908207	67	-1.519
c1758ee0-5f82-48a1-8786-17601b768639	3	162908784	165863796	1697	-0.0022
c1758ee0-5f82-48a1-8786-17601b768639	3	165864247	165864649	2	-2.7067
c1758ee0-5f82-48a1-8786-17601b768639	3	165864773	193160113	17413	0.0013
c1758ee0-5f82-48a1-8786-17601b768639	3	193160173	193165114	19	1.4398
c1758ee0-5f82-48a1-8786-17601b768639	3	193168646	195695418	1487	-0.0028
