GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	62920	1301762	162	0.0427
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	1306835	1318197	11	0.753
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	1318220	1977223	154	0.1164
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	1979516	16863509	8371	-0.0014
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	16864367	16949746	55	-0.4035
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	16951445	58402688	24393	0.0122
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	58404053	79548668	14171	0.0491
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	79549784	80221781	463	0.0789
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	80221995	80275990	31	0.5237
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	80276213	88777053	5781	0.15
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	88778035	88806490	13	0.6928
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	88807279	89073952	185	0.148
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	89078319	89210902	77	0.4142
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	89215731	92508218	2065	0.1457
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	92509936	92543881	13	0.6093
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	92546352	103613180	6876	0.152
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	103614539	103697364	10	-0.8561
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	103717410	103764636	7	-0.2746
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	103765074	105459540	911	0.1539
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	105470132	105476583	3	-0.4859
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	105476614	105479753	16	-2.1507
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	105481433	109679105	2632	0.1375
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	109684695	109697556	15	-1.267
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	109702376	110009772	207	0.1509
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	110012338	110040519	13	0.6175
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	110042515	152580550	9353	0.1396
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	152582700	152613641	32	0.5585
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	152613762	152784298	168	0.1559
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	152784330	152794991	24	0.6022
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	152795006	152795783	11	0.3004
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	152795805	154999851	1274	0.1402
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	155011992	155050389	19	0.5956
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	155051833	168830350	9590	0.1426
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	168830661	168880813	59	0.6558
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	168880956	169247699	333	0.1608
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	169264736	169272528	7	1.1342
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	169273163	174171672	3210	0.1532
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	174180153	174331583	62	-0.5062
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	174334012	174832599	260	0.1661
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	174832702	174832734	3	-0.4916
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	174832782	175416453	383	0.1513
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	175418861	176612792	773	0.2875
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	176614917	176909543	179	0.4152
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	176909834	177077918	124	0.263
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	177077969	177176639	77	0.1443
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	177177772	182618910	3784	-0.028
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	182620196	196737547	9308	0.0065
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	196737736	196762480	11	-0.3415
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	196762956	196772237	13	-1.8158
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	196775006	196843377	43	-0.0672
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	196843400	196846661	2	1.3489
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	196847600	196977676	82	-0.0725
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	196977739	200222353	2063	0.0019
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	200223150	204261176	2642	-0.0455
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	204262036	204534306	221	0.177
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	204538902	216484506	8249	-0.0242
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	216493016	216560659	61	0.2051
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	216564519	232628298	10764	-0.0202
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	232632118	232662158	37	0.448
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	232672054	234854757	1794	0.0021
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	234859618	235117260	156	0.3395
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	235124437	235124487	2	-0.7037
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	235136069	235380233	103	0.3143
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	235387945	237151818	1281	-0.0466
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	237151821	239950213	2212	0.0002
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	239950768	240029059	91	-0.0456
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	240033707	240037278	4	-0.7853
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	240040840	241837099	1444	-0.0556
d7e07842-2d44-48d4-bea1-6cb5c5e61402	1	241840237	248930189	4591	0.0631
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	12784	13080044	10005	-0.2277
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	13085053	13121378	21	0.2953
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	13121947	14893280	1234	-0.1989
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	14898468	14898483	2	-1.639
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	14901762	23388178	6091	-0.2129
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	23389797	23436189	48	0.287
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	23442609	36108463	7869	-0.2145
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	36109476	36123960	14	-0.6958
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	36125523	52512042	11828	-0.2143
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	52512079	52554404	42	0.1887
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	52560811	84802030	20795	-0.2042
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	84802502	89988886	1980	-0.2641
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	89988898	97168345	1018	-0.2217
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	97168383	97211069	22	-0.6226
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	97211264	106258266	5588	-0.2124
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	106263639	106270799	13	0.3654
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	106270952	126957304	12260	-0.2206
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	126962280	126962492	2	-1.9051
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	126967119	137780124	6412	-0.2295
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	137783464	146104517	5121	-0.1836
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	146106836	146109366	24	-1.4378
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	146120238	175036613	17660	-0.1935
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	175037424	178068563	1956	-0.0048
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	178070586	181595654	2255	-0.1781
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	181595908	183694465	1238	0.0219
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	183699615	183709219	14	-0.362
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	183712465	183738008	38	-0.0093
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	183738168	183744945	9	-0.5278
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	183745083	186531718	1595	-0.0128
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	186533156	186619009	52	-0.96
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	186620856	189456702	1509	-0.1723
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	189458650	198097571	4902	0.0039
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	198097805	199860003	1087	-0.2025
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	199866894	200006462	83	0.2775
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	200008219	207490231	4542	-0.2051
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	207490454	207494795	18	-0.7694
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	207494836	212316597	3037	-0.1881
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	212321824	212327101	25	-1.446
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	212327402	216327861	2593	-0.1957
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	216330188	216335722	2	-1.7738
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	216337650	217431280	837	-0.2283
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	217431418	217431761	2	-1.9098
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	217432539	230807250	8588	-0.213
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	230807375	230807857	2	-3.7703
d7e07842-2d44-48d4-bea1-6cb5c5e61402	2	230808024	242147305	6976	-0.242
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	20930	4361592	3898	-0.2253
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	4362083	4383683	24	0.2298
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	4387115	7027269	2247	-0.2374
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	7034857	7058256	23	0.3185
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	7059328	50180061	28293	-0.2321
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	50186583	50256917	32	0.2896
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	50259274	53275437	1378	-0.2565
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	53275657	53435288	87	0.2204
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	53436836	54009326	400	-0.2401
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	54015157	54048192	20	0.1207
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	54049248	56567468	1975	-0.267
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	56575283	56579835	3	-1.8699
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	56595650	60264652	2561	-0.2472
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	60265359	60651749	419	-0.9888
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	60654401	68697108	6397	-0.2318
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	68697133	68698262	13	-1.3197
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	68699607	68821030	97	-0.1698
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	68821064	73875195	3836	-0.2481
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	73876604	83816644	5558	-0.2117
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	83826893	83853536	16	0.2456
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	83854244	84053071	99	-0.2533
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	84056282	84057015	2	-3.4962
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	84061816	84650642	303	-0.1802
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	84650720	84652985	11	-0.9856
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	84653010	86212375	922	-0.2197
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	86216052	86216665	2	-1.5857
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	86221012	86388965	82	-0.1733
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	86390445	86413334	20	0.3164
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	86419326	89767116	1908	-0.217
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	89768352	89888419	49	0.0614
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	89889461	91462299	151	-0.1983
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	93800634	107984626	8097	0.2506
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	107984647	107984929	8	-0.7392
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	107987762	117593342	6124	0.2678
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	117600849	117615704	17	0.653
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	117616473	120762931	1874	0.2556
d7e07842-2d44-48d4-bea1-6cb5c5e61402	3	120763035	128661409	4830	0.2315
