GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	17001	889000	116	0.014577
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	889001	2103000	1148	-0.029230
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	2103001	2982000	756	-0.026442
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	2982001	3076000	94	-0.007249
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	3076001	3418000	339	-0.015071
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	3418001	4920000	1489	-0.010869
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	4920001	7277000	2352	-0.603971
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	7277001	7510000	233	0.000761
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	7510001	7679000	169	-0.580004
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	7679001	7942000	262	-0.021158
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	7942001	8126000	184	-0.038680
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	8126001	8466000	340	-0.032885
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	8466001	9384000	913	-0.023032
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	9384001	9405000	21	-0.019029
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	9405001	10591000	1185	-0.036715
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	10591001	10933000	342	-0.014963
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	10933001	10993000	60	-0.021130
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	10993001	11655000	662	-0.019236
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	11655001	12710000	1055	-0.019351
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	12710001	12833000	121	0.024656
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	12833001	13122000	68	0.675530
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	13170001	13335000	46	-0.626993
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	13338001	13366000	20	-2.202410
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	13366001	13501000	135	-0.065530
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	13501001	14407000	904	-0.006029
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	14407001	14471000	64	-0.027325
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	14471001	16063000	1586	-0.600231
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	16063001	16582000	493	-0.609287
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	16582001	16646000	56	-0.194875
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	16646001	16654000	8	-1.761784
TCGA-C8-A3M8-01A-11D-A89B-36	chr1	16674001	16972000	177	0.162225
