GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
153b6c6f-100f-499e-812a-94bcdc676e2c	1	62920	34626073	18904	-0.0007
153b6c6f-100f-499e-812a-94bcdc676e2c	1	34637053	34638890	20	-0.5468
153b6c6f-100f-499e-812a-94bcdc676e2c	1	34648667	105470132	44410	0.0084
153b6c6f-100f-499e-812a-94bcdc676e2c	1	105470754	105479722	16	1.1047
153b6c6f-100f-499e-812a-94bcdc676e2c	1	105479738	111289583	3850	0.0111
153b6c6f-100f-499e-812a-94bcdc676e2c	1	111291443	111291446	2	1.7471
153b6c6f-100f-499e-812a-94bcdc676e2c	1	111291450	112147704	723	0.0224
153b6c6f-100f-499e-812a-94bcdc676e2c	1	112153343	112154768	25	-1.4978
153b6c6f-100f-499e-812a-94bcdc676e2c	1	112163334	121601998	5117	0.0043
153b6c6f-100f-499e-812a-94bcdc676e2c	1	121705338	144442342	134	-0.5652
153b6c6f-100f-499e-812a-94bcdc676e2c	1	144445555	152582700	2287	0.0185
153b6c6f-100f-499e-812a-94bcdc676e2c	1	152583051	152618018	37	0.4803
153b6c6f-100f-499e-812a-94bcdc676e2c	1	152618089	152787202	164	0.0526
153b6c6f-100f-499e-812a-94bcdc676e2c	1	152789447	152801429	38	-0.4193
153b6c6f-100f-499e-812a-94bcdc676e2c	1	152804279	187746723	23309	0.0043
153b6c6f-100f-499e-812a-94bcdc676e2c	1	187748429	187752238	2	-1.9699
153b6c6f-100f-499e-812a-94bcdc676e2c	1	187755479	189265954	943	-0.0018
153b6c6f-100f-499e-812a-94bcdc676e2c	1	189266067	189536410	157	0.1692
153b6c6f-100f-499e-812a-94bcdc676e2c	1	189541934	214464465	16649	0.0075
153b6c6f-100f-499e-812a-94bcdc676e2c	1	214465093	214465114	2	-3.0999
153b6c6f-100f-499e-812a-94bcdc676e2c	1	214465910	222193326	5454	0.0008
153b6c6f-100f-499e-812a-94bcdc676e2c	1	222201492	222203662	2	-3.4513
153b6c6f-100f-499e-812a-94bcdc676e2c	1	222208792	240228440	12476	0.0026
153b6c6f-100f-499e-812a-94bcdc676e2c	1	240230715	240230839	6	-1.4513
153b6c6f-100f-499e-812a-94bcdc676e2c	1	240232805	247624809	5110	0.0084
153b6c6f-100f-499e-812a-94bcdc676e2c	1	247626259	248702580	604	0.1051
153b6c6f-100f-499e-812a-94bcdc676e2c	1	248702758	248930189	107	-0.0261
153b6c6f-100f-499e-812a-94bcdc676e2c	2	12784	87516129	58845	0.0072
153b6c6f-100f-499e-812a-94bcdc676e2c	2	87516162	87528459	7	-1.0781
153b6c6f-100f-499e-812a-94bcdc676e2c	2	87542032	183709219	53963	0.0045
153b6c6f-100f-499e-812a-94bcdc676e2c	2	183712465	183712596	3	-2.9964
153b6c6f-100f-499e-812a-94bcdc676e2c	2	183716167	207490231	13716	0.0135
153b6c6f-100f-499e-812a-94bcdc676e2c	2	207490454	207494425	15	-2.2557
153b6c6f-100f-499e-812a-94bcdc676e2c	2	207494612	242147305	21916	0.0039
153b6c6f-100f-499e-812a-94bcdc676e2c	3	20930	6604856	5762	0.0193
153b6c6f-100f-499e-812a-94bcdc676e2c	3	6609441	6609722	6	-1.059
153b6c6f-100f-499e-812a-94bcdc676e2c	3	6609784	6610834	8	-0.4609
