GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	62920	31148580	17028	0.0017
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	31150820	31152499	2	-2.1987
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	31152542	72303233	25743	0.0032
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	72303253	72345465	45	-1.3883
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	72346221	81422771	5778	0.0102
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	81422917	81422920	2	1.9856
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	81422982	105079911	14951	0.0047
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	105080318	105080931	2	1.6881
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	105084196	105470754	217	0.0133
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	105476583	105479738	16	0.5657
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	105479753	109679105	2633	0.0108
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	109684695	109697556	15	1.5907
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	109702376	112147704	1950	0.0094
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	112153343	112154591	22	-1.8239
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	112154619	152789447	7808	0.0105
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	152789463	152796224	36	-1.4665
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	152801429	169247699	11279	0.0046
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	169264736	169272528	7	-4.1088
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	169273163	174828195	3524	0.0006
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	174828247	174828310	2	2.0321
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	174828367	196740316	14644	0.0059
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	196740630	196859649	74	0.4127
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	196859672	215687267	12676	0.0082
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	215687891	215688307	5	1.062
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	215688339	226817303	7487	0.0063
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	226819271	226819481	3	-3.6129
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	226825995	248574146	15471	0.0076
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	248585893	248611490	18	-0.9063
d9cf9be4-a327-4aa6-bdea-a6d81f848210	1	248611798	248617206	3	0.7808
