GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eff82831-f0ea-459b-92b3-9bc47025a577	1	62920	266187	17	-0.3597
eff82831-f0ea-459b-92b3-9bc47025a577	1	462795	462894	2	2.0854
eff82831-f0ea-459b-92b3-9bc47025a577	1	599171	2065483	329	-0.0103
eff82831-f0ea-459b-92b3-9bc47025a577	1	2066166	3133149	315	-0.1146
eff82831-f0ea-459b-92b3-9bc47025a577	1	3134030	12779433	5829	0.0013
eff82831-f0ea-459b-92b3-9bc47025a577	1	12792599	12867264	31	0.6578
eff82831-f0ea-459b-92b3-9bc47025a577	1	12868035	16788139	2180	0.0055
eff82831-f0ea-459b-92b3-9bc47025a577	1	16855942	16935393	54	0.3121
eff82831-f0ea-459b-92b3-9bc47025a577	1	16935737	21991690	3340	0.0051
eff82831-f0ea-459b-92b3-9bc47025a577	1	21992508	22011632	7	-1.1706
eff82831-f0ea-459b-92b3-9bc47025a577	1	22015896	25269390	1914	-0.0088
eff82831-f0ea-459b-92b3-9bc47025a577	1	25269456	25292440	14	-0.5986
eff82831-f0ea-459b-92b3-9bc47025a577	1	25292549	72297687	28729	0.0051
eff82831-f0ea-459b-92b3-9bc47025a577	1	72302735	72345465	48	-1.2496
eff82831-f0ea-459b-92b3-9bc47025a577	1	72346221	78864015	4093	0.0065
eff82831-f0ea-459b-92b3-9bc47025a577	1	78864224	79089642	125	0.168
eff82831-f0ea-459b-92b3-9bc47025a577	1	79089920	105470132	16715	0.0104
eff82831-f0ea-459b-92b3-9bc47025a577	1	105470754	105479753	18	0.6781
eff82831-f0ea-459b-92b3-9bc47025a577	1	105481433	112147704	4597	0.0109
eff82831-f0ea-459b-92b3-9bc47025a577	1	112153343	112163460	29	0.3299
eff82831-f0ea-459b-92b3-9bc47025a577	1	112163496	143714499	5249	0.0032
eff82831-f0ea-459b-92b3-9bc47025a577	1	143714665	144432083	35	0.4622
eff82831-f0ea-459b-92b3-9bc47025a577	1	144432313	147292212	382	-0.0042
eff82831-f0ea-459b-92b3-9bc47025a577	1	147292515	147491710	135	0.1704
eff82831-f0ea-459b-92b3-9bc47025a577	1	147494715	152583051	1795	0.0131
eff82831-f0ea-459b-92b3-9bc47025a577	1	152583230	152614064	33	-1.9566
eff82831-f0ea-459b-92b3-9bc47025a577	1	152614100	152787202	169	0.0342
eff82831-f0ea-459b-92b3-9bc47025a577	1	152789447	152796224	37	-1.9017
eff82831-f0ea-459b-92b3-9bc47025a577	1	152801429	196745743	29439	0.0069
eff82831-f0ea-459b-92b3-9bc47025a577	1	196758720	196843377	59	0.365
eff82831-f0ea-459b-92b3-9bc47025a577	1	196843400	196846661	2	3.8089
eff82831-f0ea-459b-92b3-9bc47025a577	1	196847600	240228440	29916	0.0041
eff82831-f0ea-459b-92b3-9bc47025a577	1	240230715	240230824	5	-2.2415
eff82831-f0ea-459b-92b3-9bc47025a577	1	240230839	248174932	5493	0.0165
eff82831-f0ea-459b-92b3-9bc47025a577	1	248176497	248646068	225	0.1596
eff82831-f0ea-459b-92b3-9bc47025a577	1	248661836	248930189	137	-0.0304
eff82831-f0ea-459b-92b3-9bc47025a577	2	12784	737505	518	0.0677
eff82831-f0ea-459b-92b3-9bc47025a577	2	742100	753378	5	-1.5122
eff82831-f0ea-459b-92b3-9bc47025a577	2	753489	34476327	23561	0.0087
eff82831-f0ea-459b-92b3-9bc47025a577	2	34476516	34511446	43	-0.2531
eff82831-f0ea-459b-92b3-9bc47025a577	2	34511990	52527330	12990	0.016
eff82831-f0ea-459b-92b3-9bc47025a577	2	52527342	52554384	38	0.5212
eff82831-f0ea-459b-92b3-9bc47025a577	2	52554404	76146862	15183	0.0071
eff82831-f0ea-459b-92b3-9bc47025a577	2	76147845	76148585	3	-1.5378
eff82831-f0ea-459b-92b3-9bc47025a577	2	76149514	106257435	14216	0.0139
eff82831-f0ea-459b-92b3-9bc47025a577	2	106257550	106270799	17	0.586
eff82831-f0ea-459b-92b3-9bc47025a577	2	106270952	122714603	9485	0.0103
eff82831-f0ea-459b-92b3-9bc47025a577	2	122718173	122724665	11	-0.5879
eff82831-f0ea-459b-92b3-9bc47025a577	2	122726077	127084967	2851	0.0323
eff82831-f0ea-459b-92b3-9bc47025a577	2	127085066	127100187	8	-0.6716
eff82831-f0ea-459b-92b3-9bc47025a577	2	127100370	128881337	1031	0.0017
eff82831-f0ea-459b-92b3-9bc47025a577	2	128881387	128882723	9	-0.8763
eff82831-f0ea-459b-92b3-9bc47025a577	2	128882741	146104517	10412	0.0165
eff82831-f0ea-459b-92b3-9bc47025a577	2	146106836	146109366	24	-2.0095
eff82831-f0ea-459b-92b3-9bc47025a577	2	146120238	152930971	4192	0.0143
eff82831-f0ea-459b-92b3-9bc47025a577	2	152939554	152940270	3	-1.4796
eff82831-f0ea-459b-92b3-9bc47025a577	2	152944055	242147305	54828	0.008
eff82831-f0ea-459b-92b3-9bc47025a577	3	20930	141230	111	0.0955
eff82831-f0ea-459b-92b3-9bc47025a577	3	142563	144528	5	-1.1821
eff82831-f0ea-459b-92b3-9bc47025a577	3	145107	156781	9	-0.2594
eff82831-f0ea-459b-92b3-9bc47025a577	3	157740	2728825	2236	0.0859
eff82831-f0ea-459b-92b3-9bc47025a577	3	2729143	9318037	5840	0.0225
eff82831-f0ea-459b-92b3-9bc47025a577	3	9318527	9326441	9	-1.4117
eff82831-f0ea-459b-92b3-9bc47025a577	3	9329720	21761781	8101	0.0013
eff82831-f0ea-459b-92b3-9bc47025a577	3	21762653	21926404	196	0.069
eff82831-f0ea-459b-92b3-9bc47025a577	3	21930381	21938511	7	0.6492
eff82831-f0ea-459b-92b3-9bc47025a577	3	21942872	22230637	249	0.0959
eff82831-f0ea-459b-92b3-9bc47025a577	3	22230924	22439855	188	-0.0265
eff82831-f0ea-459b-92b3-9bc47025a577	3	22440598	22440614	2	-1.601
eff82831-f0ea-459b-92b3-9bc47025a577	3	22441277	26382931	2919	0.0097
eff82831-f0ea-459b-92b3-9bc47025a577	3	26384700	26397852	6	-0.8995
eff82831-f0ea-459b-92b3-9bc47025a577	3	26404482	60155740	20971	0.0048
eff82831-f0ea-459b-92b3-9bc47025a577	3	60159998	61010548	881	0.0746
eff82831-f0ea-459b-92b3-9bc47025a577	3	61015254	75519398	10975	0.0003
eff82831-f0ea-459b-92b3-9bc47025a577	3	75523398	75537654	6	-1.7325
eff82831-f0ea-459b-92b3-9bc47025a577	3	75546030	104394038	13907	0.0115
eff82831-f0ea-459b-92b3-9bc47025a577	3	104395596	104418555	22	0.3637
eff82831-f0ea-459b-92b3-9bc47025a577	3	104420374	130057015	15774	0.0058
eff82831-f0ea-459b-92b3-9bc47025a577	3	130057833	130087393	35	0.793
eff82831-f0ea-459b-92b3-9bc47025a577	3	130088081	136300257	4028	-0.0014
eff82831-f0ea-459b-92b3-9bc47025a577	3	136304109	136306584	2	1.3385
eff82831-f0ea-459b-92b3-9bc47025a577	3	136319699	140559887	2510	-0.0055
eff82831-f0ea-459b-92b3-9bc47025a577	3	140560039	140560160	3	-1.1954
eff82831-f0ea-459b-92b3-9bc47025a577	3	140563242	140823697	186	0.0069
eff82831-f0ea-459b-92b3-9bc47025a577	3	140826859	140828142	2	-2.6669
eff82831-f0ea-459b-92b3-9bc47025a577	3	140841776	149245176	5171	0.0223
eff82831-f0ea-459b-92b3-9bc47025a577	3	149245189	149248956	24	-0.8331
eff82831-f0ea-459b-92b3-9bc47025a577	3	149249126	162794869	8328	0.0087
eff82831-f0ea-459b-92b3-9bc47025a577	3	162794951	162911124	76	0.5517
eff82831-f0ea-459b-92b3-9bc47025a577	3	162911782	193160113	19139	0.0149
eff82831-f0ea-459b-92b3-9bc47025a577	3	193160173	193165114	19	-1.5328
eff82831-f0ea-459b-92b3-9bc47025a577	3	193168646	195558822	1482	-0.0022
eff82831-f0ea-459b-92b3-9bc47025a577	3	195559056	195720051	26	-0.5292
eff82831-f0ea-459b-92b3-9bc47025a577	3	195728637	195934679	99	-0.0352
eff82831-f0ea-459b-92b3-9bc47025a577	3	195963975	195998433	8	-0.624
eff82831-f0ea-459b-92b3-9bc47025a577	3	196012333	198169114	1073	0.0084
eff82831-f0ea-459b-92b3-9bc47025a577	3	198169131	198169247	3	0.9341
eff82831-f0ea-459b-92b3-9bc47025a577	4	68929	10208766	5700	-0.0098
eff82831-f0ea-459b-92b3-9bc47025a577	4	10212536	10233644	36	-1.9369
eff82831-f0ea-459b-92b3-9bc47025a577	4	10234518	63281375	33248	0.0089
eff82831-f0ea-459b-92b3-9bc47025a577	4	63285942	63286195	2	-1.5312
eff82831-f0ea-459b-92b3-9bc47025a577	4	63288849	63828222	308	0.0189
eff82831-f0ea-459b-92b3-9bc47025a577	4	63831751	63839810	16	-1.2029
eff82831-f0ea-459b-92b3-9bc47025a577	4	63839893	63840033	4	-0.0842
eff82831-f0ea-459b-92b3-9bc47025a577	4	63841863	63842540	8	-3.0845
eff82831-f0ea-459b-92b3-9bc47025a577	4	63850713	68354665	2848	0.0174
eff82831-f0ea-459b-92b3-9bc47025a577	4	68361130	68468423	17	0.5304
eff82831-f0ea-459b-92b3-9bc47025a577	4	68472744	68615205	64	-0.5093
eff82831-f0ea-459b-92b3-9bc47025a577	4	68615219	69040616	199	0.0422
eff82831-f0ea-459b-92b3-9bc47025a577	4	69040968	69452478	228	0.1581
eff82831-f0ea-459b-92b3-9bc47025a577	4	69453762	86054941	10384	0.0031
eff82831-f0ea-459b-92b3-9bc47025a577	4	86055238	86058791	19	-0.6807
eff82831-f0ea-459b-92b3-9bc47025a577	4	86058936	157259355	42512	0.0079
