GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	62920	2837841	538	-0.0639
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	2837860	3226231	171	-0.2151
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	3229933	7492401	2946	-0.0168
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	7492530	7494922	2	-1.604
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	7497092	12777697	2828	-0.0028
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	12778601	13323538	42	0.4028
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	13326062	16689764	2154	-0.0026
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	16718963	16864367	22	0.4853
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	16868660	34626073	10284	-0.0074
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	34637053	34638890	20	-0.6695
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	34648667	57186136	13086	-0.0003
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	57186265	57194802	10	-0.6037
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	57195149	72297687	10657	0.0147
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	72302735	72345465	48	-1.522
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	72346221	112147704	25562	0.0212
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	112153343	112154591	22	-2.1702
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	112154619	121426988	5086	0.0116
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	121430469	121597150	72	0.6449
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	121598439	152580278	2442	0.0052
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	152580343	152613802	36	0.5979
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	152614064	152787202	170	-0.0167
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	152789447	152796224	37	-1.68
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	152801429	159092646	3745	0.0217
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	159094778	159122348	17	-1.117
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	159125844	161648901	1502	0.0277
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	161649069	161678831	8	-0.756
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	161680585	167795598	4896	0.0219
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	167796946	167797682	4	-1.4279
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	167799276	189058092	14135	0.0166
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	189058152	189062230	6	-1.196
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	189063349	196745743	5153	0.0285
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196758720	196761905	2	-2.3729
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196762480	196788990	33	0.2786
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196789019	196790158	4	-1.1367
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196792690	196832720	19	0.1398
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196843377	196846661	3	1.1279
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196847600	196932623	62	0.143
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	196936029	212831113	10668	0.0125
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	212831670	212837094	7	-0.816
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	212841111	247686560	24376	0.018
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	1	247693972	248930189	689	0.0874
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	12784	34466002	24079	0.0119
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	34474248	34511990	46	-2.3083
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	34512096	52527330	13000	0.0165
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	52527342	52554404	39	0.6616
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	52560811	86901078	21983	0.0162
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	86902080	87074984	12	-0.3184
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	87079825	87082140	2	-1.6826
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	87082711	87207066	26	0.0232
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	87207935	87221597	6	-0.8497
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	87223346	97199856	1797	0.0317
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	97200012	97211436	11	0.5958
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	97310327	97545726	22	-0.3665
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	97550415	111191232	8112	0.0158
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	111192964	111617900	119	-0.1535
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	111618942	113604438	1128	0.0178
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	113604837	113623244	3	-1.5077
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	113625975	125684646	7659	0.0262
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	125694074	125694336	2	-1.4968
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	125694355	128880504	1940	0.0177
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	128880904	128882723	14	-0.7375
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	128882741	183929673	33721	0.0197
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	183929787	183937714	16	-0.6737
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	183943862	198026343	7907	0.0278
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	198029788	198030369	2	-1.7362
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	198033415	206705079	5228	0.0103
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	206705398	206709843	2	-1.4276
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	206710220	216540480	6374	0.0219
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	216543380	216543516	3	-1.4579
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	2	216543672	242147305	16246	0.0039
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	3	20930	11366589	9547	0.0335
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	3	11371130	11371926	4	-1.3672
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	3	11375791	16097605	3244	0.0176
3b9b663b-b4a6-48de-a1cb-f8c6f34d3446	3	16100367	16100438	2	-1.4344
