GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	17001	16602000	15170	0.006152
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	16602001	16632000	29	0.235076
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	16632001	16869000	98	0.225543
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	16869001	16949000	79	-0.563763
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	16949001	248433000	202552	0.016016
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	248433001	248502000	37	0.435111
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	248519001	248650000	78	-0.887121
TCGA-XJ-A9DI-01A-11D-A756-36	chr1	248659001	248931000	268	-0.014626
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	11001	30000000	29782	0.012064
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	30000001	51068000	20911	-0.089544
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	51068001	61430000	10282	-0.021018
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	61430001	63664000	2228	-0.090247
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	63664001	89314000	24481	0.011220
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	89549001	89823000	157	-0.413003
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	89823001	89827000	4	-6.706267
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	89827001	90258000	258	-0.996153
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	90258001	100243000	5786	-0.004613
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	100243001	110226000	9430	-0.065959
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	110226001	133109000	21375	0.012173
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	133109001	191598000	58046	-0.082634
TCGA-XJ-A9DI-01A-11D-A756-36	chr2	191598001	242159000	50156	0.013689
TCGA-XJ-A9DI-01A-11D-A756-36	chr3	12001	195618000	191483	0.016596
TCGA-XJ-A9DI-01A-11D-A756-36	chr3	195618001	195722000	80	-0.761104
TCGA-XJ-A9DI-01A-11D-A756-36	chr3	195722001	198175000	2366	0.016497
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	15001	25597000	25006	0.005033
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	25597001	29078000	3467	-0.082859
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	29078001	34778000	5660	0.021464
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	34778001	34827000	49	-0.737248
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	34827001	49101000	14214	0.018042
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	49101001	49113000	12	-0.108652
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	49113001	49712000	279	-0.031082
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	50662001	50663000	1	-5.252720
TCGA-XJ-A9DI-01A-11D-A756-36	chr4	50679001	190204000	136891	0.020520
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	13001	12545000	12352	0.008363
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	12545001	12661000	116	-0.985970
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	12661001	18801000	6028	0.015847
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	18801001	18817000	16	-0.977031
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	18817001	53511000	30775	0.022157
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	53511001	63103000	9528	-0.107697
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	63103001	74534000	9577	-0.083378
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	74534001	84756000	10142	0.017009
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	84756001	84802000	46	-0.944895
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	84802001	94468000	9604	0.019850
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	94468001	111576000	16899	-0.081892
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	111576001	126566000	14911	0.009863
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	126566001	131135000	4544	-0.059678
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	131135001	140843000	9657	0.013591
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	140843001	140859000	16	-29.856156
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	140859001	150824000	9903	0.015259
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	150824001	150843000	19	-0.986813
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	150843001	151531000	686	-0.095174
TCGA-XJ-A9DI-01A-11D-A756-36	chr5	151531001	181474000	29123	0.011984
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	148001	55961000	55235	0.015648
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	55961001	55982000	21	-0.940168
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	55982001	57047000	1061	0.020241
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	57048001	57090000	42	0.613303
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	57091001	63268000	4244	0.030802
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	63268001	63458000	190	0.299981
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	63458001	78258000	14661	-0.086367
TCGA-XJ-A9DI-01A-11D-A756-36	chr6	78258001	78267000	9	-29.716093
