GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CC-A7IH-01A-11D-A915-36	chr1	17001	12791000	11800	-0.049536
TCGA-CC-A7IH-01A-11D-A915-36	chr1	12791001	12864000	71	0.608730
TCGA-CC-A7IH-01A-11D-A915-36	chr1	12864001	13248000	65	0.590171
TCGA-CC-A7IH-01A-11D-A915-36	chr1	13300001	16603000	3235	-0.041971
TCGA-CC-A7IH-01A-11D-A915-36	chr1	16604001	16646000	42	-0.180267
TCGA-CC-A7IH-01A-11D-A915-36	chr1	16646001	16654000	8	-2.045793
TCGA-CC-A7IH-01A-11D-A915-36	chr1	16674001	72500000	55271	-0.034611
TCGA-CC-A7IH-01A-11D-A915-36	chr1	72500001	72528000	28	-1.043915
TCGA-CC-A7IH-01A-11D-A915-36	chr1	72528001	124777000	47457	-0.028657
TCGA-CC-A7IH-01A-11D-A915-36	chr1	124778001	124821000	5	-0.515956
TCGA-CC-A7IH-01A-11D-A915-36	chr1	124879001	143505000	325	-0.005395
TCGA-CC-A7IH-01A-11D-A915-36	chr1	143529001	143938000	241	-1.008917
TCGA-CC-A7IH-01A-11D-A915-36	chr1	144101001	147929000	1708	0.867297
TCGA-CC-A7IH-01A-11D-A915-36	chr1	147929001	148259000	116	0.802737
TCGA-CC-A7IH-01A-11D-A915-36	chr1	148259001	150757000	1221	0.859860
TCGA-CC-A7IH-01A-11D-A915-36	chr1	150757001	156927000	6072	0.863905
TCGA-CC-A7IH-01A-11D-A915-36	chr1	156927001	157076000	149	0.467242
TCGA-CC-A7IH-01A-11D-A915-36	chr1	157076001	157725000	649	0.857753
TCGA-CC-A7IH-01A-11D-A915-36	chr1	157725001	158405000	679	0.859485
TCGA-CC-A7IH-01A-11D-A915-36	chr1	158405001	159558000	1138	0.871077
TCGA-CC-A7IH-01A-11D-A915-36	chr1	159558001	159856000	296	0.756685
TCGA-CC-A7IH-01A-11D-A915-36	chr1	159856001	160030000	174	0.841559
TCGA-CC-A7IH-01A-11D-A915-36	chr1	160030001	161569000	1504	0.863261
TCGA-CC-A7IH-01A-11D-A915-36	chr1	161570001	161573000	3	-29.883468
TCGA-CC-A7IH-01A-11D-A915-36	chr1	161591001	161971000	345	0.878865
TCGA-CC-A7IH-01A-11D-A915-36	chr1	161971001	162033000	62	0.836094
TCGA-CC-A7IH-01A-11D-A915-36	chr1	162033001	162753000	717	0.862315
TCGA-CC-A7IH-01A-11D-A915-36	chr1	162753001	169577000	6772	0.863540
TCGA-CC-A7IH-01A-11D-A915-36	chr1	169577001	170591000	1011	0.872275
TCGA-CC-A7IH-01A-11D-A915-36	chr1	170591001	171091000	500	0.876714
TCGA-CC-A7IH-01A-11D-A915-36	chr1	171091001	171447000	353	0.878254
TCGA-CC-A7IH-01A-11D-A915-36	chr1	171447001	171837000	389	0.872194
TCGA-CC-A7IH-01A-11D-A915-36	chr1	171837001	171911000	74	0.884648
TCGA-CC-A7IH-01A-11D-A915-36	chr1	171911001	180921000	8936	0.864816
TCGA-CC-A7IH-01A-11D-A915-36	chr1	180921001	180970000	49	0.811745
TCGA-CC-A7IH-01A-11D-A915-36	chr1	180970001	181160000	190	0.877340
TCGA-CC-A7IH-01A-11D-A915-36	chr1	181160001	182443000	1281	0.849110
TCGA-CC-A7IH-01A-11D-A915-36	chr1	182443001	188236000	5750	0.870421
TCGA-CC-A7IH-01A-11D-A915-36	chr1	188236001	188737000	498	0.865903
TCGA-CC-A7IH-01A-11D-A915-36	chr1	188737001	188791000	53	0.858246
TCGA-CC-A7IH-01A-11D-A915-36	chr1	188791001	190564000	1771	0.867014
TCGA-CC-A7IH-01A-11D-A915-36	chr1	190564001	193989000	3404	0.870002
TCGA-CC-A7IH-01A-11D-A915-36	chr1	193989001	194035000	45	-0.839743
TCGA-CC-A7IH-01A-11D-A915-36	chr1	194035001	194077000	42	-0.784285
TCGA-CC-A7IH-01A-11D-A915-36	chr1	194077001	195599000	1516	0.866353
TCGA-CC-A7IH-01A-11D-A915-36	chr1	195599001	195709000	110	0.849881
TCGA-CC-A7IH-01A-11D-A915-36	chr1	195709001	196206000	493	0.867781
