GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5ba982b2-003a-47ba-80a4-09827307aa6c	1	62920	16868660	8704	-0.006
5ba982b2-003a-47ba-80a4-09827307aa6c	1	16877002	16949746	53	0.3535
5ba982b2-003a-47ba-80a4-09827307aa6c	1	16951445	21295676	2932	0.0084
5ba982b2-003a-47ba-80a4-09827307aa6c	1	21298294	21304987	2	-1.9085
5ba982b2-003a-47ba-80a4-09827307aa6c	1	21307474	21313902	10	-0.4745
5ba982b2-003a-47ba-80a4-09827307aa6c	1	21314008	25244778	2309	-0.0007
5ba982b2-003a-47ba-80a4-09827307aa6c	1	25247980	25320455	31	-0.368
5ba982b2-003a-47ba-80a4-09827307aa6c	1	25336819	30259533	2384	-0.0046
5ba982b2-003a-47ba-80a4-09827307aa6c	1	30261189	30268649	10	-0.5307
5ba982b2-003a-47ba-80a4-09827307aa6c	1	30268809	72303233	26337	0.002
5ba982b2-003a-47ba-80a4-09827307aa6c	1	72303253	72345465	45	-1.3091
5ba982b2-003a-47ba-80a4-09827307aa6c	1	72346221	74725098	1448	0.008
5ba982b2-003a-47ba-80a4-09827307aa6c	1	74727351	74733606	3	-0.9191
5ba982b2-003a-47ba-80a4-09827307aa6c	1	74734100	75585159	481	-0.01
5ba982b2-003a-47ba-80a4-09827307aa6c	1	75589078	75589169	2	-2.7322
5ba982b2-003a-47ba-80a4-09827307aa6c	1	75593824	105470132	19014	-0.0019
5ba982b2-003a-47ba-80a4-09827307aa6c	1	105470754	105479738	17	0.4161
5ba982b2-003a-47ba-80a4-09827307aa6c	1	105479753	109690352	2639	0.0002
5ba982b2-003a-47ba-80a4-09827307aa6c	1	109690415	109697556	12	1.0508
5ba982b2-003a-47ba-80a4-09827307aa6c	1	109702376	112147704	1950	0.0106
5ba982b2-003a-47ba-80a4-09827307aa6c	1	112153343	112154768	25	0.3328
5ba982b2-003a-47ba-80a4-09827307aa6c	1	112163334	152583051	7600	0.0074
5ba982b2-003a-47ba-80a4-09827307aa6c	1	152583230	152614064	33	-1.567
5ba982b2-003a-47ba-80a4-09827307aa6c	1	152614100	152787202	167	-0.0185
5ba982b2-003a-47ba-80a4-09827307aa6c	1	152789447	152796224	37	-1.5459
5ba982b2-003a-47ba-80a4-09827307aa6c	1	152801429	169247699	11277	0.0037
5ba982b2-003a-47ba-80a4-09827307aa6c	1	169264736	169272528	7	-2.442
5ba982b2-003a-47ba-80a4-09827307aa6c	1	169273163	180803572	7505	0.0012
5ba982b2-003a-47ba-80a4-09827307aa6c	1	180804831	180804994	2	-1.2894
5ba982b2-003a-47ba-80a4-09827307aa6c	1	180805017	189053468	5502	-0.0019
5ba982b2-003a-47ba-80a4-09827307aa6c	1	189053479	189062230	10	-0.7143
5ba982b2-003a-47ba-80a4-09827307aa6c	1	189063349	196758720	5152	0.003
5ba982b2-003a-47ba-80a4-09827307aa6c	1	196761905	196846661	60	0.4488
5ba982b2-003a-47ba-80a4-09827307aa6c	1	196847600	248930189	35791	0.0025
5ba982b2-003a-47ba-80a4-09827307aa6c	2	12784	4158097	2984	-0.0139
5ba982b2-003a-47ba-80a4-09827307aa6c	2	4166274	4175577	36	-0.6712
5ba982b2-003a-47ba-80a4-09827307aa6c	2	4175922	34474248	21061	0.004
5ba982b2-003a-47ba-80a4-09827307aa6c	2	34476327	34492841	28	0.3338
5ba982b2-003a-47ba-80a4-09827307aa6c	2	34492907	34512096	18	0.7579
5ba982b2-003a-47ba-80a4-09827307aa6c	2	34512489	52527330	12998	0.0073
5ba982b2-003a-47ba-80a4-09827307aa6c	2	52527342	52527743	6	-1.0277
5ba982b2-003a-47ba-80a4-09827307aa6c	2	52531615	52554359	30	-0.4168
5ba982b2-003a-47ba-80a4-09827307aa6c	2	52554366	87528459	22087	0.0065
5ba982b2-003a-47ba-80a4-09827307aa6c	2	87542032	87674944	23	-0.6857
5ba982b2-003a-47ba-80a4-09827307aa6c	2	87695122	110829290	9587	0.0055
5ba982b2-003a-47ba-80a4-09827307aa6c	2	110833459	110833754	2	-1.2909
5ba982b2-003a-47ba-80a4-09827307aa6c	2	110834830	111260223	309	0.0016
5ba982b2-003a-47ba-80a4-09827307aa6c	2	111275965	111385836	26	0.427
