GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	62920	3296382	735	-0.2234
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	3298168	25256850	13284	-0.0217
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	25266637	25320455	24	0.5243
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	25336819	34626073	4952	-0.0119
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	34637053	34638890	20	-3.058
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	34648667	60889725	15883	-0.0027
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	60890295	60890385	2	-2.465
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	60893723	62299377	1103	0.0054
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	62299789	62300329	5	-1.2453
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	62302296	105476614	27786	0.0089
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	105476688	105481433	16	0.8004
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	105481448	109684893	2637	0.0155
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	109690352	109697556	13	-1.4888
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	109702376	112147704	1951	0.008
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	112153343	112154768	25	-0.6399
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	112163334	114286279	1324	0.0108
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	114289343	114291180	4	-1.0017
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	114291210	143710781	3922	0.0031
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	143710798	143760271	30	0.3782
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	143762042	164884660	10363	0.0007
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	164885742	164886086	2	-1.2736
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	164887135	174827267	7012	0.001
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	174827418	174832716	17	-0.8874
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	174832734	196735966	14630	0.0107
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	196736037	196832298	68	0.2639
a69ddc15-1490-44cc-84dd-4d194fc83d53	1	196832312	248930189	35829	0.0045
a69ddc15-1490-44cc-84dd-4d194fc83d53	2	12784	4155990	2986	-0.0314
a69ddc15-1490-44cc-84dd-4d194fc83d53	2	4158097	4175977	39	-0.7346
a69ddc15-1490-44cc-84dd-4d194fc83d53	2	4176105	34466002	21065	-0.0012
a69ddc15-1490-44cc-84dd-4d194fc83d53	2	34474248	34511990	46	0.7867
