GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-ED-A4XI-01A-11D-A917-36	chr1	17001	270000	9	0.357875
TCGA-ED-A4XI-01A-11D-A917-36	chr1	629001	778000	8	-1.017257
TCGA-ED-A4XI-01A-11D-A917-36	chr1	778001	2394000	1533	-0.242148
TCGA-ED-A4XI-01A-11D-A917-36	chr1	2394001	3011000	499	-0.281405
TCGA-ED-A4XI-01A-11D-A917-36	chr1	3011001	6496000	3465	-0.261629
TCGA-ED-A4XI-01A-11D-A917-36	chr1	6496001	16421000	9508	-0.238572
TCGA-ED-A4XI-01A-11D-A917-36	chr1	16421001	16429000	8	-0.394356
TCGA-ED-A4XI-01A-11D-A917-36	chr1	16429001	16602000	140	-0.238256
TCGA-ED-A4XI-01A-11D-A917-36	chr1	16602001	16632000	29	-0.019428
TCGA-ED-A4XI-01A-11D-A917-36	chr1	16632001	16799000	89	0.172366
TCGA-ED-A4XI-01A-11D-A917-36	chr1	16850001	16949000	88	-0.578626
TCGA-ED-A4XI-01A-11D-A917-36	chr1	16949001	122937000	102340	0.000269
TCGA-ED-A4XI-01A-11D-A917-36	chr1	122948001	124070000	125	-0.582834
TCGA-ED-A4XI-01A-11D-A917-36	chr1	124096001	124157000	7	0.810811
TCGA-ED-A4XI-01A-11D-A917-36	chr1	124161001	143504000	458	-0.001942
TCGA-ED-A4XI-01A-11D-A917-36	chr1	143504001	144105000	246	-0.853063
TCGA-ED-A4XI-01A-11D-A917-36	chr1	144140001	149748000	2121	0.020165
TCGA-ED-A4XI-01A-11D-A917-36	chr1	149749001	161569000	11581	0.216835
TCGA-ED-A4XI-01A-11D-A917-36	chr1	161570001	161650000	49	-0.986634
TCGA-ED-A4XI-01A-11D-A917-36	chr1	161654001	168576000	6874	0.211506
TCGA-ED-A4XI-01A-11D-A917-36	chr1	168576001	213620000	44426	0.214009
TCGA-ED-A4XI-01A-11D-A917-36	chr1	213620001	219080000	5438	0.199359
TCGA-ED-A4XI-01A-11D-A917-36	chr1	219080001	235103000	15699	0.210781
TCGA-ED-A4XI-01A-11D-A917-36	chr1	235103001	246832000	11627	0.215799
TCGA-ED-A4XI-01A-11D-A917-36	chr1	246832001	246847000	15	1.132333
TCGA-ED-A4XI-01A-11D-A917-36	chr1	246847001	248931000	1929	0.231617
TCGA-ED-A4XI-01A-11D-A917-36	chr2	11001	89262000	87679	-0.000536
TCGA-ED-A4XI-01A-11D-A917-36	chr2	89270001	89303000	3	-29.846650
TCGA-ED-A4XI-01A-11D-A917-36	chr2	89311001	89913000	195	-0.373376
TCGA-ED-A4XI-01A-11D-A917-36	chr2	89920001	90259000	227	-0.972686
TCGA-ED-A4XI-01A-11D-A917-36	chr2	90289001	91624000	200	-0.420330
TCGA-ED-A4XI-01A-11D-A917-36	chr2	91658001	97208000	2898	0.002066
TCGA-ED-A4XI-01A-11D-A917-36	chr2	97208001	97232000	21	-1.532307
