GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
649f01d6-19bc-427b-b061-a59f3672943c	1	62920	16641879	8668	0.012
649f01d6-19bc-427b-b061-a59f3672943c	1	16641978	16855942	34	0.3614
649f01d6-19bc-427b-b061-a59f3672943c	1	16863509	25003261	5121	0.0088
649f01d6-19bc-427b-b061-a59f3672943c	1	25003287	25003500	2	-1.5099
649f01d6-19bc-427b-b061-a59f3672943c	1	25005094	25256850	191	0.0351
649f01d6-19bc-427b-b061-a59f3672943c	1	25266637	25284961	14	0.891
649f01d6-19bc-427b-b061-a59f3672943c	1	25289805	72284165	28740	0.0039
649f01d6-19bc-427b-b061-a59f3672943c	1	72284670	72318265	26	0.3552
649f01d6-19bc-427b-b061-a59f3672943c	1	72318471	74725098	1478	0.0137
649f01d6-19bc-427b-b061-a59f3672943c	1	74727351	74733606	3	-0.8782
649f01d6-19bc-427b-b061-a59f3672943c	1	74734100	75585159	481	-0.0064
649f01d6-19bc-427b-b061-a59f3672943c	1	75589078	75589169	2	-1.8712
649f01d6-19bc-427b-b061-a59f3672943c	1	75593824	109684893	21674	0.0059
649f01d6-19bc-427b-b061-a59f3672943c	1	109690352	109697556	13	-1.0368
649f01d6-19bc-427b-b061-a59f3672943c	1	109702376	112147704	1951	0.0037
649f01d6-19bc-427b-b061-a59f3672943c	1	112153343	112154754	24	0.3655
649f01d6-19bc-427b-b061-a59f3672943c	1	112154768	121581632	5155	0.0017
649f01d6-19bc-427b-b061-a59f3672943c	1	121593055	143751765	118	0.3215
649f01d6-19bc-427b-b061-a59f3672943c	1	143754062	152787202	2532	0.0267
649f01d6-19bc-427b-b061-a59f3672943c	1	152789447	152796224	37	0.4354
649f01d6-19bc-427b-b061-a59f3672943c	1	152801429	158896783	3613	0.0026
649f01d6-19bc-427b-b061-a59f3672943c	1	158898711	158899969	2	2.2129
649f01d6-19bc-427b-b061-a59f3672943c	1	158905028	196745743	25847	0.0059
649f01d6-19bc-427b-b061-a59f3672943c	1	196758720	196843377	59	0.4526
649f01d6-19bc-427b-b061-a59f3672943c	1	196843400	196846661	2	3.1016
649f01d6-19bc-427b-b061-a59f3672943c	1	196847600	240546781	30231	0.0046
649f01d6-19bc-427b-b061-a59f3672943c	1	240548395	240720064	100	0.5179
649f01d6-19bc-427b-b061-a59f3672943c	1	240722905	241571821	683	-0.0045
649f01d6-19bc-427b-b061-a59f3672943c	1	241572562	241572846	2	-1.7963
649f01d6-19bc-427b-b061-a59f3672943c	1	241573330	242108454	370	0.0081
649f01d6-19bc-427b-b061-a59f3672943c	1	242109094	242466605	287	0.5079
649f01d6-19bc-427b-b061-a59f3672943c	1	242472380	248930189	4135	0.0258
649f01d6-19bc-427b-b061-a59f3672943c	2	12784	4166274	2988	0.0146
649f01d6-19bc-427b-b061-a59f3672943c	2	4166610	4176429	41	0.3338
649f01d6-19bc-427b-b061-a59f3672943c	2	4182472	34295406	20961	0.0036
649f01d6-19bc-427b-b061-a59f3672943c	2	34298911	34300513	2	-2.1251
649f01d6-19bc-427b-b061-a59f3672943c	2	34300900	35750907	1013	0.003
649f01d6-19bc-427b-b061-a59f3672943c	2	35752724	35762850	6	-1.5817
649f01d6-19bc-427b-b061-a59f3672943c	2	35762881	242147305	124511	0.0027
649f01d6-19bc-427b-b061-a59f3672943c	3	20930	26015836	19650	0.0156
649f01d6-19bc-427b-b061-a59f3672943c	3	26015985	26016308	2	-1.645
649f01d6-19bc-427b-b061-a59f3672943c	3	26018803	68697013	28129	0.0129
649f01d6-19bc-427b-b061-a59f3672943c	3	68697108	68698262	14	-1.0585
649f01d6-19bc-427b-b061-a59f3672943c	3	68699607	75338404	4856	0.0036
649f01d6-19bc-427b-b061-a59f3672943c	3	75342398	75519398	72	0.2119
649f01d6-19bc-427b-b061-a59f3672943c	3	75523398	75537654	6	1.1088
649f01d6-19bc-427b-b061-a59f3672943c	3	75546030	95737262	9126	0.0055
649f01d6-19bc-427b-b061-a59f3672943c	3	95748036	95749266	2	-2.526
649f01d6-19bc-427b-b061-a59f3672943c	3	95749836	99205642	1843	-0.0004
649f01d6-19bc-427b-b061-a59f3672943c	3	99210576	99230577	44	0.3314
649f01d6-19bc-427b-b061-a59f3672943c	3	99232120	121561944	13629	0.0056
649f01d6-19bc-427b-b061-a59f3672943c	3	121570652	121609953	47	0.2597
649f01d6-19bc-427b-b061-a59f3672943c	3	121610525	130027784	5027	0.0069
649f01d6-19bc-427b-b061-a59f3672943c	3	130028313	130137637	67	0.4941
649f01d6-19bc-427b-b061-a59f3672943c	3	130137903	149245160	11881	0.0083
649f01d6-19bc-427b-b061-a59f3672943c	3	149245176	149250334	27	-0.798
649f01d6-19bc-427b-b061-a59f3672943c	3	149253293	157000594	4774	0.0098
649f01d6-19bc-427b-b061-a59f3672943c	3	157000645	157001768	2	-1.6673
649f01d6-19bc-427b-b061-a59f3672943c	3	157001905	162815162	3577	0.0095
649f01d6-19bc-427b-b061-a59f3672943c	3	162816942	162822702	6	-1.3373
649f01d6-19bc-427b-b061-a59f3672943c	3	162827928	162908207	48	0.264
649f01d6-19bc-427b-b061-a59f3672943c	3	162908784	193156958	19166	0.0116
649f01d6-19bc-427b-b061-a59f3672943c	3	193160113	193164968	16	0.551
649f01d6-19bc-427b-b061-a59f3672943c	3	193164983	198169247	2696	0.0274
649f01d6-19bc-427b-b061-a59f3672943c	4	68929	3877891	1568	0.0139
649f01d6-19bc-427b-b061-a59f3672943c	4	3884081	4151033	65	0.2716
649f01d6-19bc-427b-b061-a59f3672943c	4	4158336	8720526	3463	-0.0056
649f01d6-19bc-427b-b061-a59f3672943c	4	8722817	9617513	104	0.2242
649f01d6-19bc-427b-b061-a59f3672943c	4	9624789	9630824	3	-0.9499
649f01d6-19bc-427b-b061-a59f3672943c	4	9631635	10208766	497	0.0102
649f01d6-19bc-427b-b061-a59f3672943c	4	10221792	10233644	35	1.2539
649f01d6-19bc-427b-b061-a59f3672943c	4	10234518	10270469	42	0.0152
649f01d6-19bc-427b-b061-a59f3672943c	4	10271164	10273370	11	-0.8772
649f01d6-19bc-427b-b061-a59f3672943c	4	10274358	68478894	36422	0.0038
649f01d6-19bc-427b-b061-a59f3672943c	4	68494770	68623617	69	-1.514
649f01d6-19bc-427b-b061-a59f3672943c	4	68639397	69523998	478	0.066
649f01d6-19bc-427b-b061-a59f3672943c	4	69524143	69525061	2	-2.1668
649f01d6-19bc-427b-b061-a59f3672943c	4	69526170	107130169	22776	0.0065
649f01d6-19bc-427b-b061-a59f3672943c	4	107130343	107155376	39	-0.5526
649f01d6-19bc-427b-b061-a59f3672943c	4	107156277	115244948	5039	0.0065
649f01d6-19bc-427b-b061-a59f3672943c	4	115251455	115254789	20	-0.7056
649f01d6-19bc-427b-b061-a59f3672943c	4	115254798	151868634	21450	0.0025
649f01d6-19bc-427b-b061-a59f3672943c	4	151870381	151871415	12	-0.9201
649f01d6-19bc-427b-b061-a59f3672943c	4	151871739	171448195	12554	0.0089
649f01d6-19bc-427b-b061-a59f3672943c	4	171453733	171456559	10	1.136
649f01d6-19bc-427b-b061-a59f3672943c	4	171456573	172068073	402	-0.0014
649f01d6-19bc-427b-b061-a59f3672943c	4	172068149	172068382	9	-1.3686
649f01d6-19bc-427b-b061-a59f3672943c	4	172074828	179272277	4454	0.0109
649f01d6-19bc-427b-b061-a59f3672943c	4	179275408	179277506	3	-1.8134
649f01d6-19bc-427b-b061-a59f3672943c	4	179281228	190106768	7624	0.0249
649f01d6-19bc-427b-b061-a59f3672943c	5	15532	12998813	10256	0.0099
649f01d6-19bc-427b-b061-a59f3672943c	5	13005102	13014395	3	-1.3911
649f01d6-19bc-427b-b061-a59f3672943c	5	13014933	15719113	1914	0.0097
649f01d6-19bc-427b-b061-a59f3672943c	5	15719241	15720488	10	-0.8104
649f01d6-19bc-427b-b061-a59f3672943c	5	15723237	21376735	3481	0.0103
649f01d6-19bc-427b-b061-a59f3672943c	5	21377730	21377744	2	-1.3328
649f01d6-19bc-427b-b061-a59f3672943c	5	21385957	21451168	46	-0.0616
649f01d6-19bc-427b-b061-a59f3672943c	5	21451855	21451889	2	-2.9189
649f01d6-19bc-427b-b061-a59f3672943c	5	21452329	27524345	3530	-0.0061
649f01d6-19bc-427b-b061-a59f3672943c	5	27525800	27525880	7	-1.3392
649f01d6-19bc-427b-b061-a59f3672943c	5	27525913	46271006	11416	0.0048
649f01d6-19bc-427b-b061-a59f3672943c	5	46271828	46273400	6	-2.3172
649f01d6-19bc-427b-b061-a59f3672943c	5	46278110	57620609	4768	0.0041
649f01d6-19bc-427b-b061-a59f3672943c	5	57621050	57621558	2	-1.5006
649f01d6-19bc-427b-b061-a59f3672943c	5	57621571	58025819	302	0.0104
649f01d6-19bc-427b-b061-a59f3672943c	5	58030200	58037706	32	1.3654
649f01d6-19bc-427b-b061-a59f3672943c	5	58042530	104515520	26834	0.0065
649f01d6-19bc-427b-b061-a59f3672943c	5	104524672	104524903	4	-1.1463
649f01d6-19bc-427b-b061-a59f3672943c	5	104525348	121793804	11843	0.0086
649f01d6-19bc-427b-b061-a59f3672943c	5	121797242	121797263	2	-1.2992
649f01d6-19bc-427b-b061-a59f3672943c	5	121799781	122585932	502	0.0044
649f01d6-19bc-427b-b061-a59f3672943c	5	122588886	122591623	5	-1.0554
649f01d6-19bc-427b-b061-a59f3672943c	5	122600492	156049762	21092	0.0051
649f01d6-19bc-427b-b061-a59f3672943c	5	156049910	156055719	13	-0.7184
649f01d6-19bc-427b-b061-a59f3672943c	5	156068240	180947523	16605	0.0035
649f01d6-19bc-427b-b061-a59f3672943c	5	180951710	180991103	19	-0.3787
649f01d6-19bc-427b-b061-a59f3672943c	5	181006225	181363319	170	0.0241
649f01d6-19bc-427b-b061-a59f3672943c	6	149661	260376	104	0.0079
649f01d6-19bc-427b-b061-a59f3672943c	6	264756	382559	99	0.2706
649f01d6-19bc-427b-b061-a59f3672943c	6	382897	29869295	21451	0.012
649f01d6-19bc-427b-b061-a59f3672943c	6	29869410	29881490	16	-0.9643
649f01d6-19bc-427b-b061-a59f3672943c	6	29882419	31313046	663	0.0366
649f01d6-19bc-427b-b061-a59f3672943c	6	31318499	31327629	7	-1.9133
649f01d6-19bc-427b-b061-a59f3672943c	6	31328176	73882142	24655	0.0125
649f01d6-19bc-427b-b061-a59f3672943c	6	73882509	73891694	10	0.9235
649f01d6-19bc-427b-b061-a59f3672943c	6	73893839	76726442	1770	0.0089
649f01d6-19bc-427b-b061-a59f3672943c	6	76726815	76751356	23	0.3967
649f01d6-19bc-427b-b061-a59f3672943c	6	76758214	78253157	975	-0.0133
649f01d6-19bc-427b-b061-a59f3672943c	6	78253172	78343128	127	0.2349
649f01d6-19bc-427b-b061-a59f3672943c	6	78343294	103286954	15457	0.0097
649f01d6-19bc-427b-b061-a59f3672943c	6	103290101	103314186	46	0.4472
649f01d6-19bc-427b-b061-a59f3672943c	6	103317795	115047731	7312	0.01
649f01d6-19bc-427b-b061-a59f3672943c	6	115057911	115086809	4	-1.1606
649f01d6-19bc-427b-b061-a59f3672943c	6	115087407	163971936	32251	0.0074
649f01d6-19bc-427b-b061-a59f3672943c	6	163972212	164074105	117	0.1617
649f01d6-19bc-427b-b061-a59f3672943c	6	164074410	167992526	2662	0.0126
649f01d6-19bc-427b-b061-a59f3672943c	6	167992606	169095239	857	0.0672
649f01d6-19bc-427b-b061-a59f3672943c	6	169095447	170741917	965	0.01
649f01d6-19bc-427b-b061-a59f3672943c	7	43355	15097772	10149	0.0233
