GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	62920	1710664	213	0.1088
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	1715891	1720956	6	-0.9171
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	1731499	10307151	4947	0.0392
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	10307286	10321714	20	-0.3805
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	10321730	10396090	50	0.0632
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	10398321	10398382	2	-0.8103
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	10408661	12792599	1256	0.0281
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	12797714	12868035	31	0.3017
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	12922922	15823420	1818	0.0284
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	15827002	15828471	9	0.622
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	15828515	16689764	335	0.0298
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	16718963	16721984	6	-0.7382
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	16766762	25256850	5335	0.0264
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	25266637	25320455	24	0.4232
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	25336819	34637053	4954	0.024
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	34637069	34638890	19	-0.5204
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	34648667	72542484	23938	0.018
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	72546237	72622475	49	-1.0927
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	72631417	104497098	20294	0.0104
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	104503262	104508392	4	-1.1674
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	104512295	104956399	213	-0.005
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	104957900	104963200	3	-0.9272
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	104963330	105476583	286	0.007
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	105476614	105486456	23	-0.392
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	105486697	112147704	4595	0.018
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	112153343	112154768	25	-0.5192
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	112163334	121573287	5153	0.0156
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	121573699	144442098	142	0.1841
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	144442342	152583051	2312	0.0213
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	152583230	152613762	31	-2.1729
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	152613802	152618018	5	-0.8613
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	152618089	158896783	3818	0.0217
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	158898711	158899969	2	-1.7385
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	158905028	167795598	6554	0.013
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	167796946	167797682	4	-0.9971
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	167799276	169247699	1112	0.0226
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	169264736	169272528	7	0.6938
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	169273163	178684145	6041	0.02
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	178684914	178702586	48	-0.1995
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	178702615	179354603	523	0.0275
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	179361393	179364180	4	-1.0807
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	179370071	196762956	11574	0.0102
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	196769493	196846661	57	-0.5824
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	196847600	212831113	10740	0.0128
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	212831670	212841111	8	-0.9953
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	212847437	215682652	1932	0.0069
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	215684851	215688763	14	-0.9726
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	215692667	222193326	4709	0.0137
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	222201492	222203662	2	-2.9709
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	222208792	235117260	8685	0.0196
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	235124437	235124487	2	-2.0734
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	235136069	241958718	5248	0.0076
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	241964690	241995035	14	-0.4324
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	241995550	245473108	2279	0.0232
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	245473737	245483602	11	-1.0221
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	1	245486349	248930189	2187	0.0175
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	2	12784	242147305	149596	0.0106
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	20930	176980	151	0.005
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	177449	191117	7	-0.7222
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	193194	6604856	5663	0.0093
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	6609441	6610392	11	-1.1732
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	6610426	6610904	5	-0.3316
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	6610989	6611645	7	-1.0935
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	6613391	52989195	29895	0.0125
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	52994359	53005100	37	-0.696
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	53005201	162794951	67035	0.0122
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	162795304	162807070	10	-2.8016
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	162810842	162898127	52	-1.3643
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	162906054	175362822	7662	0.003
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	175362958	175363437	4	-1.2693
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	175363536	184505604	5364	-0.001
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	184506142	184506885	3	-1.1624
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	184507296	186980310	1644	0.0169
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	186983049	186983135	2	-1.3603
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	186991016	193160113	4503	0.01
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	193160173	193165114	19	1.5178
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	193168646	193416581	176	-0.0026
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	193416596	193425547	3	-0.9884
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	193425591	195558822	1304	0.0197
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	195559056	195720051	26	-0.954
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	195728637	195934679	99	0.0076
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	195963975	195974292	4	-1.2313
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	195974457	198142659	1078	0.0279
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	3	198169114	198169247	4	0.8486
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	68929	9455251	5161	0.0256
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	9459504	9463248	3	-1.1213
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	9469529	10190726	503	0.0122
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	10191803	10203397	27	-0.6182
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	10207101	10208766	13	0.0706
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	10221792	10233644	35	1.3964
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	10234518	10389091	171	0.0186
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	10390730	10399044	16	-0.622
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	10401094	19067152	6530	0.0158
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	19070447	19073332	2	-1.7884
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	19077768	26021252	4831	0.0183
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	26026097	26026175	2	-1.2903
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	26026565	34764075	5418	0.0107
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	34764149	34823103	48	-0.5779
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	34828250	44963179	6600	0.0177
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	44964987	45004175	44	0.9378
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	45004295	45004318	2	-1.7116
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	45008952	60631418	8152	0.0188
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	60635111	60635552	2	-1.6103
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	60638258	69261926	5051	-0.0028
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	69261934	69366081	53	-0.5131
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	69366304	69523998	110	-0.0233
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	69524143	69525061	2	-2.1761
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	69526170	115244948	27862	0.0124
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	115251455	115254969	22	-0.7334
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	115259026	121360818	3708	0.0084
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	121361313	121363980	28	-0.6546
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	121369976	129141596	4356	0.0156
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	129146391	129147005	2	-3.2974
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	129151408	171448195	25941	0.0162
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	171453733	171456573	11	1.0853
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	171456625	172066706	397	-0.007
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	172066777	172068368	12	-1.1975
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	172068382	188300104	10943	0.0156
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	188300206	188300221	2	-1.6778
7a8c7cef-1a07-4297-9c4d-3b8c59d1dccc	4	188300270	190106768	1144	0.0143
