GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9ea10a6b-514e-46ea-b817-125b5976df48	1	62920	16864367	8700	0.0083
9ea10a6b-514e-46ea-b817-125b5976df48	1	16868660	16956580	57	-0.323
9ea10a6b-514e-46ea-b817-125b5976df48	1	16958425	23631293	4352	0.0026
9ea10a6b-514e-46ea-b817-125b5976df48	1	23632431	23633123	2	-1.2032
9ea10a6b-514e-46ea-b817-125b5976df48	1	23634378	103613180	49701	0.001
9ea10a6b-514e-46ea-b817-125b5976df48	1	103614539	103620877	7	-0.9158
9ea10a6b-514e-46ea-b817-125b5976df48	1	103621165	105470754	923	-0.0075
9ea10a6b-514e-46ea-b817-125b5976df48	1	105476583	105479753	17	-2.247
9ea10a6b-514e-46ea-b817-125b5976df48	1	105481433	109684893	2634	-0.0046
9ea10a6b-514e-46ea-b817-125b5976df48	1	109690352	109697556	13	-1.3723
9ea10a6b-514e-46ea-b817-125b5976df48	1	109702376	110881776	916	-0.0051
9ea10a6b-514e-46ea-b817-125b5976df48	1	110883765	110888010	6	-0.619
9ea10a6b-514e-46ea-b817-125b5976df48	1	110890071	112147704	1023	-0.0005
9ea10a6b-514e-46ea-b817-125b5976df48	1	112153343	112163596	38	-0.2481
9ea10a6b-514e-46ea-b817-125b5976df48	1	112166431	121593055	5141	-0.002
9ea10a6b-514e-46ea-b817-125b5976df48	1	121593930	143714703	101	0.1624
9ea10a6b-514e-46ea-b817-125b5976df48	1	143734438	143754062	17	0.5554
9ea10a6b-514e-46ea-b817-125b5976df48	1	143754077	144503864	30	0.1914
9ea10a6b-514e-46ea-b817-125b5976df48	1	144932423	151024735	1417	-0.0111
9ea10a6b-514e-46ea-b817-125b5976df48	1	151027232	151027261	2	-1.1568
9ea10a6b-514e-46ea-b817-125b5976df48	1	151031124	169247699	12388	0.0039
9ea10a6b-514e-46ea-b817-125b5976df48	1	169264736	169272528	7	0.6928
9ea10a6b-514e-46ea-b817-125b5976df48	1	169273163	196762480	18172	0.0009
9ea10a6b-514e-46ea-b817-125b5976df48	1	196762956	196772237	13	-2.0717
9ea10a6b-514e-46ea-b817-125b5976df48	1	196775006	218007188	14498	0.0015
9ea10a6b-514e-46ea-b817-125b5976df48	1	218008881	218008915	3	-1.3375
9ea10a6b-514e-46ea-b817-125b5976df48	1	218020173	230505931	8006	-0.0016
9ea10a6b-514e-46ea-b817-125b5976df48	1	230509663	230517036	11	-1.428
9ea10a6b-514e-46ea-b817-125b5976df48	1	230517204	248930189	13325	0.0015
9ea10a6b-514e-46ea-b817-125b5976df48	2	12784	1782750	1156	0.0142
9ea10a6b-514e-46ea-b817-125b5976df48	2	1784234	1784851	2	-1.2736
9ea10a6b-514e-46ea-b817-125b5976df48	2	1785632	3156438	1034	0.0059
9ea10a6b-514e-46ea-b817-125b5976df48	2	3157856	3216938	73	0.1789
9ea10a6b-514e-46ea-b817-125b5976df48	2	3220789	4155990	720	-0.0075
9ea10a6b-514e-46ea-b817-125b5976df48	2	4158097	4175577	37	-0.6279
9ea10a6b-514e-46ea-b817-125b5976df48	2	4175922	5522426	1112	0.0089
9ea10a6b-514e-46ea-b817-125b5976df48	2	5522506	5522524	2	-1.2549
9ea10a6b-514e-46ea-b817-125b5976df48	2	5522535	36108463	21150	0.0004
9ea10a6b-514e-46ea-b817-125b5976df48	2	36109476	36112411	13	-1.0747
9ea10a6b-514e-46ea-b817-125b5976df48	2	36123960	52531652	11847	-0.0055
9ea10a6b-514e-46ea-b817-125b5976df48	2	52531677	52554404	30	0.5062
9ea10a6b-514e-46ea-b817-125b5976df48	2	52560811	73306492	13385	-0.0005
9ea10a6b-514e-46ea-b817-125b5976df48	2	73312475	73312699	2	-1.4125
9ea10a6b-514e-46ea-b817-125b5976df48	2	73314705	146106875	39854	0.0004
9ea10a6b-514e-46ea-b817-125b5976df48	2	146106889	146109366	21	-1.5599
9ea10a6b-514e-46ea-b817-125b5976df48	2	146120238	207490231	36951	-0.0003
9ea10a6b-514e-46ea-b817-125b5976df48	2	207490454	207494752	17	-0.8439
9ea10a6b-514e-46ea-b817-125b5976df48	2	207494795	212316597	3039	-0.0003
9ea10a6b-514e-46ea-b817-125b5976df48	2	212321824	212327101	25	-0.8339
9ea10a6b-514e-46ea-b817-125b5976df48	2	212327402	230805462	12024	0.0055
9ea10a6b-514e-46ea-b817-125b5976df48	2	230806701	230808662	7	-1.2346
9ea10a6b-514e-46ea-b817-125b5976df48	2	230812028	242147305	6980	0.0101
9ea10a6b-514e-46ea-b817-125b5976df48	3	20930	10588096	8982	-0.0012
9ea10a6b-514e-46ea-b817-125b5976df48	3	10590621	10590627	2	-1.4143
9ea10a6b-514e-46ea-b817-125b5976df48	3	10590994	37935926	18634	-0.0025
9ea10a6b-514e-46ea-b817-125b5976df48	3	37940617	37945437	17	-0.8023
9ea10a6b-514e-46ea-b817-125b5976df48	3	37945615	68697013	20142	0.0014
9ea10a6b-514e-46ea-b817-125b5976df48	3	68697108	68698262	14	-1.3251
9ea10a6b-514e-46ea-b817-125b5976df48	3	68699607	75434094	4890	-0.0031
9ea10a6b-514e-46ea-b817-125b5976df48	3	75434122	75600083	48	0.1976
9ea10a6b-514e-46ea-b817-125b5976df48	3	75606920	76713597	585	-0.0118
9ea10a6b-514e-46ea-b817-125b5976df48	3	76725006	76728172	8	-1.1889
9ea10a6b-514e-46ea-b817-125b5976df48	3	76733646	82815398	3497	0.0006
9ea10a6b-514e-46ea-b817-125b5976df48	3	82823628	82823892	6	-0.6156
9ea10a6b-514e-46ea-b817-125b5976df48	3	82831894	84053071	567	-0.0108
9ea10a6b-514e-46ea-b817-125b5976df48	3	84056282	84057015	2	-2.6828
9ea10a6b-514e-46ea-b817-125b5976df48	3	84061816	84650642	303	-0.006
9ea10a6b-514e-46ea-b817-125b5976df48	3	84650720	84652985	11	-0.7438
9ea10a6b-514e-46ea-b817-125b5976df48	3	84653010	86212375	922	0.0038
9ea10a6b-514e-46ea-b817-125b5976df48	3	86216052	86216665	2	-1.3273
9ea10a6b-514e-46ea-b817-125b5976df48	3	86221012	99225788	5063	0.0046
9ea10a6b-514e-46ea-b817-125b5976df48	3	99225919	99230457	28	0.3164
9ea10a6b-514e-46ea-b817-125b5976df48	3	99230464	107982375	5214	-0.0011
