GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BR-8592-01A-11D-A789-36	chr1	17001	3741000	2772	-0.003403
TCGA-BR-8592-01A-11D-A789-36	chr1	3741001	8412000	4656	-0.000691
TCGA-BR-8592-01A-11D-A789-36	chr1	8412001	9264000	847	0.005410
TCGA-BR-8592-01A-11D-A789-36	chr1	9264001	9302000	38	0.485592
TCGA-BR-8592-01A-11D-A789-36	chr1	9302001	9341000	39	0.506124
TCGA-BR-8592-01A-11D-A789-36	chr1	9341001	9585000	244	0.008087
TCGA-BR-8592-01A-11D-A789-36	chr1	9585001	16506000	6510	0.004073
TCGA-BR-8592-01A-11D-A789-36	chr1	16506001	16611000	72	0.038319
TCGA-BR-8592-01A-11D-A789-36	chr1	16611001	16639000	28	-0.066111
TCGA-BR-8592-01A-11D-A789-36	chr1	16639001	16876000	98	-0.034263
TCGA-BR-8592-01A-11D-A789-36	chr1	16876001	16950000	73	-0.610919
TCGA-BR-8592-01A-11D-A789-36	chr1	16950001	120826000	101995	0.002330
TCGA-BR-8592-01A-11D-A789-36	chr1	120844001	120922000	23	-0.716153
TCGA-BR-8592-01A-11D-A789-36	chr1	120935001	143484000	908	0.008135
TCGA-BR-8592-01A-11D-A789-36	chr1	143498001	143938000	245	-0.842900
TCGA-BR-8592-01A-11D-A789-36	chr1	144101001	199141000	50899	0.005358
TCGA-BR-8592-01A-11D-A789-36	chr1	199141001	199145000	4	-29.803293
TCGA-BR-8592-01A-11D-A789-36	chr1	199145001	234776000	34982	0.004384
TCGA-BR-8592-01A-11D-A789-36	chr1	234776001	234784000	8	0.067532
TCGA-BR-8592-01A-11D-A789-36	chr1	234784001	248435000	13489	-0.000355
TCGA-BR-8592-01A-11D-A789-36	chr1	248436001	248483000	32	0.482979
TCGA-BR-8592-01A-11D-A789-36	chr1	248485001	248553000	14	0.017858
TCGA-BR-8592-01A-11D-A789-36	chr1	248562001	248650000	67	-0.912329
TCGA-BR-8592-01A-11D-A789-36	chr1	248659001	248931000	268	0.003687
TCGA-BR-8592-01A-11D-A789-36	chr2	11001	237645000	228491	-0.000670
TCGA-BR-8592-01A-11D-A789-36	chr2	237645001	237651000	6	-29.895491
TCGA-BR-8592-01A-11D-A789-36	chr2	237651001	241911000	4193	-0.003753
TCGA-BR-8592-01A-11D-A789-36	chr2	241911001	242093000	169	-1.014071
TCGA-BR-8592-01A-11D-A789-36	chr2	242093001	242159000	37	0.027561
TCGA-BR-8592-01A-11D-A789-36	chr3	12001	75375000	74984	0.002375
TCGA-BR-8592-01A-11D-A789-36	chr3	75375001	75593000	192	-0.960185
TCGA-BR-8592-01A-11D-A789-36	chr3	75593001	195686000	116352	0.003301
TCGA-BR-8592-01A-11D-A789-36	chr3	195686001	195744000	54	-0.226836
TCGA-BR-8592-01A-11D-A789-36	chr3	195744001	198115000	2306	0.009995
TCGA-BR-8592-01A-11D-A789-36	chr3	198115001	198124000	9	-8.322323
TCGA-BR-8592-01A-11D-A789-36	chr3	198124001	198175000	32	-0.025398
TCGA-BR-8592-01A-11D-A789-36	chr4	15001	43627000	42958	-0.001589
TCGA-BR-8592-01A-11D-A789-36	chr4	43627001	43670000	43	-0.981794
TCGA-BR-8592-01A-11D-A789-36	chr4	43670001	49095000	5390	-0.001364
TCGA-BR-8592-01A-11D-A789-36	chr4	49096001	49159000	56	-0.272855
TCGA-BR-8592-01A-11D-A789-36	chr4	49160001	49637000	216	0.108294
TCGA-BR-8592-01A-11D-A789-36	chr4	49637001	49658000	21	0.234164
TCGA-BR-8592-01A-11D-A789-36	chr4	49709001	119406000	66877	0.000929
TCGA-BR-8592-01A-11D-A789-36	chr4	119406001	119460000	31	-0.076363
TCGA-BR-8592-01A-11D-A789-36	chr4	119460001	190204000	69987	-0.002304
TCGA-BR-8592-01A-11D-A789-36	chr5	13001	181474000	173942	0.001484
TCGA-BR-8592-01A-11D-A789-36	chr6	148001	256000	108	-0.005449
TCGA-BR-8592-01A-11D-A789-36	chr6	256001	382000	126	-0.222197
TCGA-BR-8592-01A-11D-A789-36	chr6	382001	29883000	29192	0.005960
TCGA-BR-8592-01A-11D-A789-36	chr6	29883001	29938000	52	-0.875119
TCGA-BR-8592-01A-11D-A789-36	chr6	29938001	32483000	2468	0.010538
TCGA-BR-8592-01A-11D-A789-36	chr6	32483001	32589000	48	0.095530
TCGA-BR-8592-01A-11D-A789-36	chr6	32589001	57797000	25065	0.007741
TCGA-BR-8592-01A-11D-A789-36	chr6	57800001	57819000	18	-1.017934
TCGA-BR-8592-01A-11D-A789-36	chr6	57822001	66299000	6539	0.007462
TCGA-BR-8592-01A-11D-A789-36	chr6	66299001	66339000	38	-1.001703
TCGA-BR-8592-01A-11D-A789-36	chr6	66339001	78257000	11799	0.005109
TCGA-BR-8592-01A-11D-A789-36	chr6	78257001	78326000	69	-0.833981
TCGA-BR-8592-01A-11D-A789-36	chr6	78326001	104019000	25465	0.005154
TCGA-BR-8592-01A-11D-A789-36	chr6	104019001	104098000	78	-1.025301
TCGA-BR-8592-01A-11D-A789-36	chr6	104098001	170612000	65984	0.005929
TCGA-BR-8592-01A-11D-A789-36	chr7	35001	65505000	60360	0.001114
TCGA-BR-8592-01A-11D-A789-36	chr7	65505001	65519000	8	-4.389670
TCGA-BR-8592-01A-11D-A789-36	chr7	65558001	65815000	163	0.005814
TCGA-BR-8592-01A-11D-A789-36	chr7	65815001	65824000	9	0.451463
TCGA-BR-8592-01A-11D-A789-36	chr7	65824001	142066000	74375	0.002740
TCGA-BR-8592-01A-11D-A789-36	chr7	142066001	142094000	27	-0.864198
TCGA-BR-8592-01A-11D-A789-36	chr7	142094001	159335000	16476	0.000383
TCGA-BR-8592-01A-11D-A789-36	chr8	205001	7916000	6691	-0.011200
TCGA-BR-8592-01A-11D-A789-36	chr8	7921001	7941000	4	-5.852867
TCGA-BR-8592-01A-11D-A789-36	chr8	8049001	12124000	3809	0.001304
TCGA-BR-8592-01A-11D-A789-36	chr8	12126001	12151000	18	0.506475
TCGA-BR-8592-01A-11D-A789-36	chr8	12175001	12394000	28	-1.010222
TCGA-BR-8592-01A-11D-A789-36	chr8	12415001	145076000	129430	0.002658
TCGA-BR-8592-01A-11D-A789-36	chr9	10001	39003000	38448	0.013226
TCGA-BR-8592-01A-11D-A789-36	chr9	39003001	39047000	40	0.255387
TCGA-BR-8592-01A-11D-A789-36	chr9	39047001	41740000	603	0.022349
TCGA-BR-8592-01A-11D-A789-36	chr9	41754001	41812000	34	-0.578690
TCGA-BR-8592-01A-11D-A789-36	chr9	41917001	63816000	1123	0.033226
TCGA-BR-8592-01A-11D-A789-36	chr9	63816001	63824000	8	-0.039755
TCGA-BR-8592-01A-11D-A789-36	chr9	63824001	129425000	61199	0.013884
TCGA-BR-8592-01A-11D-A789-36	chr9	129425001	129444000	19	0.133309
TCGA-BR-8592-01A-11D-A789-36	chr9	129444001	138219000	8667	0.013532
TCGA-BR-8592-01A-11D-A789-36	chr10	47001	38775000	38406	0.009501
TCGA-BR-8592-01A-11D-A789-36	chr10	38775001	41916000	932	0.035958
TCGA-BR-8592-01A-11D-A789-36	chr10	42066001	42086000	18	-0.811558
TCGA-BR-8592-01A-11D-A789-36	chr10	42086001	133430000	89073	0.011367
TCGA-BR-8592-01A-11D-A789-36	chr10	133436001	133573000	126	0.546958
TCGA-BR-8592-01A-11D-A789-36	chr10	133573001	133623000	45	-0.001661
TCGA-BR-8592-01A-11D-A789-36	chr10	133632001	133787000	28	-1.056324
TCGA-BR-8592-01A-11D-A789-36	chr11	179001	49688000	48849	-0.002427
