GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6b688e59-a222-4068-8b2b-71494fdfde17	1	62920	16542868	8620	0.0127
6b688e59-a222-4068-8b2b-71494fdfde17	1	16544783	16636818	15	-0.8649
6b688e59-a222-4068-8b2b-71494fdfde17	1	16637050	16863509	42	-0.1426
6b688e59-a222-4068-8b2b-71494fdfde17	1	16864367	16898730	13	-1.0025
6b688e59-a222-4068-8b2b-71494fdfde17	1	16898872	16909203	5	-0.0102
6b688e59-a222-4068-8b2b-71494fdfde17	1	16909357	16935752	36	-0.8316
6b688e59-a222-4068-8b2b-71494fdfde17	1	16949746	54582425	21253	0.0161
6b688e59-a222-4068-8b2b-71494fdfde17	1	54582517	54585140	3	-1.4004
6b688e59-a222-4068-8b2b-71494fdfde17	1	54588923	56029448	1139	0.0046
6b688e59-a222-4068-8b2b-71494fdfde17	1	56029695	56030972	3	-1.7572
6b688e59-a222-4068-8b2b-71494fdfde17	1	56033778	72305460	11600	-0.0036
6b688e59-a222-4068-8b2b-71494fdfde17	1	72305684	72345450	42	-1.0473
6b688e59-a222-4068-8b2b-71494fdfde17	1	72345465	121601998	30726	-0.0077
6b688e59-a222-4068-8b2b-71494fdfde17	1	121705338	143928045	128	-0.7587
6b688e59-a222-4068-8b2b-71494fdfde17	1	143942271	152583230	2313	-0.0058
6b688e59-a222-4068-8b2b-71494fdfde17	1	152583291	152614118	34	-0.6255
6b688e59-a222-4068-8b2b-71494fdfde17	1	152618018	152787202	166	-0.0088
6b688e59-a222-4068-8b2b-71494fdfde17	1	152789447	152796224	37	-1.203
6b688e59-a222-4068-8b2b-71494fdfde17	1	152801429	169265291	11273	-0.0012
6b688e59-a222-4068-8b2b-71494fdfde17	1	169268642	169272528	5	1.1307
6b688e59-a222-4068-8b2b-71494fdfde17	1	169273163	174827267	3516	-0.0147
6b688e59-a222-4068-8b2b-71494fdfde17	1	174827418	174832702	16	-0.8965
6b688e59-a222-4068-8b2b-71494fdfde17	1	174832716	206766559	21032	-0.0091
6b688e59-a222-4068-8b2b-71494fdfde17	1	206769952	208695234	1463	0.2378
6b688e59-a222-4068-8b2b-71494fdfde17	1	208700415	234521138	17825	-0.0063
6b688e59-a222-4068-8b2b-71494fdfde17	1	234521174	234561006	28	-0.3712
6b688e59-a222-4068-8b2b-71494fdfde17	1	234561182	248930189	10135	-0.0091
6b688e59-a222-4068-8b2b-71494fdfde17	2	12784	737505	518	-0.0255
6b688e59-a222-4068-8b2b-71494fdfde17	2	742100	753378	5	-1.223
6b688e59-a222-4068-8b2b-71494fdfde17	2	753489	86878753	58564	0.0068
6b688e59-a222-4068-8b2b-71494fdfde17	2	86881088	87747102	145	-0.2595
6b688e59-a222-4068-8b2b-71494fdfde17	2	87835245	116727214	12987	-0.0047
6b688e59-a222-4068-8b2b-71494fdfde17	2	116727312	116727453	2	-1.8185
6b688e59-a222-4068-8b2b-71494fdfde17	2	116727503	117557615	508	0.0028
6b688e59-a222-4068-8b2b-71494fdfde17	2	117557656	117558733	2	-1.5772
6b688e59-a222-4068-8b2b-71494fdfde17	2	117563392	118183297	429	0.015
6b688e59-a222-4068-8b2b-71494fdfde17	2	118183633	118202104	16	-0.4157
6b688e59-a222-4068-8b2b-71494fdfde17	2	118203398	119487242	949	0.0204
6b688e59-a222-4068-8b2b-71494fdfde17	2	119488556	119490277	3	-1.4562
6b688e59-a222-4068-8b2b-71494fdfde17	2	119490335	130024177	6671	-0.0006
6b688e59-a222-4068-8b2b-71494fdfde17	2	130026123	130136424	20	-0.6724
6b688e59-a222-4068-8b2b-71494fdfde17	2	130147351	207490231	46490	-0.0065
6b688e59-a222-4068-8b2b-71494fdfde17	2	207490454	207494612	15	-0.8335
6b688e59-a222-4068-8b2b-71494fdfde17	2	207494752	228397576	13572	-0.0028
6b688e59-a222-4068-8b2b-71494fdfde17	2	228399698	228401658	2	-2.6408
6b688e59-a222-4068-8b2b-71494fdfde17	2	228404140	242147305	8494	0.0107
6b688e59-a222-4068-8b2b-71494fdfde17	3	20930	68697108	47741	-0.0032
6b688e59-a222-4068-8b2b-71494fdfde17	3	68697133	68698262	13	-1.0587
6b688e59-a222-4068-8b2b-71494fdfde17	3	68699607	75329202	4845	-0.0002
6b688e59-a222-4068-8b2b-71494fdfde17	3	75331295	75372019	18	-0.2928
6b688e59-a222-4068-8b2b-71494fdfde17	3	75377956	75590356	73	-0.9864
6b688e59-a222-4068-8b2b-71494fdfde17	3	75596233	75773308	37	-0.3866
6b688e59-a222-4068-8b2b-71494fdfde17	3	75774420	77543118	1097	0.0118
6b688e59-a222-4068-8b2b-71494fdfde17	3	77546983	98180575	9227	-0.03
6b688e59-a222-4068-8b2b-71494fdfde17	3	98189826	98195973	4	-1.0966
6b688e59-a222-4068-8b2b-71494fdfde17	3	98197104	120121512	13517	-0.0236
6b688e59-a222-4068-8b2b-71494fdfde17	3	120121562	130044855	5810	-0.0058
6b688e59-a222-4068-8b2b-71494fdfde17	3	130047743	130075163	29	0.2905
6b688e59-a222-4068-8b2b-71494fdfde17	3	130075961	130079938	3	0.9198
6b688e59-a222-4068-8b2b-71494fdfde17	3	130080170	140823697	6726	-0.0034
6b688e59-a222-4068-8b2b-71494fdfde17	3	140826859	140828142	2	-1.7775
6b688e59-a222-4068-8b2b-71494fdfde17	3	140841776	162788742	13522	-0.0175
6b688e59-a222-4068-8b2b-71494fdfde17	3	162790390	162807070	15	0.7173
6b688e59-a222-4068-8b2b-71494fdfde17	3	162810842	162822702	10	-0.3781
6b688e59-a222-4068-8b2b-71494fdfde17	3	162827928	162908207	48	0.5974
6b688e59-a222-4068-8b2b-71494fdfde17	3	162908784	193156018	19158	-0.0111
6b688e59-a222-4068-8b2b-71494fdfde17	3	193156958	193165114	21	-0.9606
6b688e59-a222-4068-8b2b-71494fdfde17	3	193168646	195656271	1484	0.0196
6b688e59-a222-4068-8b2b-71494fdfde17	3	195663809	195746925	41	-0.4877
6b688e59-a222-4068-8b2b-71494fdfde17	3	195747311	198169247	1167	-0.0076
6b688e59-a222-4068-8b2b-71494fdfde17	4	68929	3849457	1556	-0.003
6b688e59-a222-4068-8b2b-71494fdfde17	4	3850517	4174902	86	-0.2664
6b688e59-a222-4068-8b2b-71494fdfde17	4	4175446	10208766	4054	0.0037
6b688e59-a222-4068-8b2b-71494fdfde17	4	10212536	10229625	28	1.6717
6b688e59-a222-4068-8b2b-71494fdfde17	4	10229874	10391530	181	-0.02
6b688e59-a222-4068-8b2b-71494fdfde17	4	10396694	10401921	19	-0.5237
6b688e59-a222-4068-8b2b-71494fdfde17	4	10404588	34777353	16769	-0.0144
6b688e59-a222-4068-8b2b-71494fdfde17	4	34777382	34822561	41	-0.5182
6b688e59-a222-4068-8b2b-71494fdfde17	4	34823103	48107324	8339	-0.0125
6b688e59-a222-4068-8b2b-71494fdfde17	4	48109980	48323533	299	0.0959
6b688e59-a222-4068-8b2b-71494fdfde17	4	48323698	68352434	10787	-0.0231
6b688e59-a222-4068-8b2b-71494fdfde17	4	68354665	68726064	100	0.3903
6b688e59-a222-4068-8b2b-71494fdfde17	4	68729873	69266652	313	0.0023
6b688e59-a222-4068-8b2b-71494fdfde17	4	69268962	69362906	42	-0.4782
6b688e59-a222-4068-8b2b-71494fdfde17	4	69362938	114252544	27319	-0.0129
6b688e59-a222-4068-8b2b-71494fdfde17	4	114254167	114261019	23	0.7417
6b688e59-a222-4068-8b2b-71494fdfde17	4	114263073	154881396	24036	-0.0182
6b688e59-a222-4068-8b2b-71494fdfde17	4	154881853	154881926	3	-3.4219
6b688e59-a222-4068-8b2b-71494fdfde17	4	154882047	182773589	18244	-0.0209
6b688e59-a222-4068-8b2b-71494fdfde17	4	182773850	182778423	2	-1.9213
6b688e59-a222-4068-8b2b-71494fdfde17	4	182778524	185474865	1734	-0.0293
6b688e59-a222-4068-8b2b-71494fdfde17	4	185477075	185495300	11	-1.0346
6b688e59-a222-4068-8b2b-71494fdfde17	4	185495360	189543103	2915	-0.0008
6b688e59-a222-4068-8b2b-71494fdfde17	4	189550467	190106768	185	-0.2035
6b688e59-a222-4068-8b2b-71494fdfde17	5	15532	733497	322	-0.0368
6b688e59-a222-4068-8b2b-71494fdfde17	5	741924	825538	30	-0.8336
6b688e59-a222-4068-8b2b-71494fdfde17	5	833513	21451168	15351	-0.0101
6b688e59-a222-4068-8b2b-71494fdfde17	5	21451855	21451889	2	-2.423
6b688e59-a222-4068-8b2b-71494fdfde17	5	21452329	21519077	8	-0.0393
6b688e59-a222-4068-8b2b-71494fdfde17	5	21528695	21547047	4	-1.221
6b688e59-a222-4068-8b2b-71494fdfde17	5	21548260	26789387	3121	-0.0267
6b688e59-a222-4068-8b2b-71494fdfde17	5	26797651	26797735	2	-1.4985
6b688e59-a222-4068-8b2b-71494fdfde17	5	26803775	46271006	11811	-0.0117
6b688e59-a222-4068-8b2b-71494fdfde17	5	46271828	46273400	6	-2.1563
6b688e59-a222-4068-8b2b-71494fdfde17	5	46278110	180947523	81933	-0.0087
6b688e59-a222-4068-8b2b-71494fdfde17	5	180951710	181006225	20	0.6245
6b688e59-a222-4068-8b2b-71494fdfde17	5	181006264	181363319	169	-0.0351
6b688e59-a222-4068-8b2b-71494fdfde17	6	149661	323084	132	-0.0994
6b688e59-a222-4068-8b2b-71494fdfde17	6	323326	381149	66	-0.4327
6b688e59-a222-4068-8b2b-71494fdfde17	6	382559	16087003	12349	0.0001
6b688e59-a222-4068-8b2b-71494fdfde17	6	16087418	16088500	5	-1.1838
6b688e59-a222-4068-8b2b-71494fdfde17	6	16088820	29765965	9001	-0.0103
6b688e59-a222-4068-8b2b-71494fdfde17	6	29769704	29777949	10	-0.7122
6b688e59-a222-4068-8b2b-71494fdfde17	6	29777984	29866672	64	0.0139
6b688e59-a222-4068-8b2b-71494fdfde17	6	29866695	29882603	31	-0.3497
6b688e59-a222-4068-8b2b-71494fdfde17	6	29903859	29931120	11	-1.283
6b688e59-a222-4068-8b2b-71494fdfde17	6	29931900	29958684	24	-0.4942
6b688e59-a222-4068-8b2b-71494fdfde17	6	29968530	32463515	1126	-0.0199
6b688e59-a222-4068-8b2b-71494fdfde17	6	32463775	32606604	39	0.9739
6b688e59-a222-4068-8b2b-71494fdfde17	6	32610305	32826204	160	0.2115
6b688e59-a222-4068-8b2b-71494fdfde17	6	32827255	52759272	12570	0.0005
6b688e59-a222-4068-8b2b-71494fdfde17	6	52759800	52797873	35	-0.3871
6b688e59-a222-4068-8b2b-71494fdfde17	6	52797896	58383079	3147	-0.0101
6b688e59-a222-4068-8b2b-71494fdfde17	6	58383095	60467835	41	-0.3711
6b688e59-a222-4068-8b2b-71494fdfde17	6	60467852	66327661	3125	-0.017
6b688e59-a222-4068-8b2b-71494fdfde17	6	66328128	66333299	9	0.8402
6b688e59-a222-4068-8b2b-71494fdfde17	6	66333342	76730377	6793	-0.0156
6b688e59-a222-4068-8b2b-71494fdfde17	6	76731101	76742675	13	0.7411
6b688e59-a222-4068-8b2b-71494fdfde17	6	76742729	78259348	981	0.0055
6b688e59-a222-4068-8b2b-71494fdfde17	6	78259388	78325468	111	-2.0691
6b688e59-a222-4068-8b2b-71494fdfde17	6	78329517	78811345	314	-0.0537
6b688e59-a222-4068-8b2b-71494fdfde17	6	78811845	78818857	2	-3.1262
6b688e59-a222-4068-8b2b-71494fdfde17	6	78821538	115057911	22494	-0.0143
6b688e59-a222-4068-8b2b-71494fdfde17	6	115057996	115086809	3	-1.6658
6b688e59-a222-4068-8b2b-71494fdfde17	6	115087407	170741917	36820	-0.0131
6b688e59-a222-4068-8b2b-71494fdfde17	7	43355	56693807	40018	0.428
6b688e59-a222-4068-8b2b-71494fdfde17	7	56694420	56908389	56	0.2577
6b688e59-a222-4068-8b2b-71494fdfde17	7	56997653	57117180	14	-0.3141
6b688e59-a222-4068-8b2b-71494fdfde17	7	57117950	63804090	736	0.3212
6b688e59-a222-4068-8b2b-71494fdfde17	7	63806274	65452228	809	0.4178
6b688e59-a222-4068-8b2b-71494fdfde17	7	65452891	65728909	63	0.1493
6b688e59-a222-4068-8b2b-71494fdfde17	7	65732781	67127118	478	0.3896
6b688e59-a222-4068-8b2b-71494fdfde17	7	67127461	67320042	61	0.1614
6b688e59-a222-4068-8b2b-71494fdfde17	7	67321387	76445663	4482	0.4152
6b688e59-a222-4068-8b2b-71494fdfde17	7	76479444	76550397	18	-0.1529
6b688e59-a222-4068-8b2b-71494fdfde17	7	76568113	88558005	7611	0.4145
6b688e59-a222-4068-8b2b-71494fdfde17	7	88563524	90104790	1050	0.4859
6b688e59-a222-4068-8b2b-71494fdfde17	7	90105032	109793720	11491	0.4193
6b688e59-a222-4068-8b2b-71494fdfde17	7	109793728	109801187	27	-0.359
6b688e59-a222-4068-8b2b-71494fdfde17	7	109801572	109813853	10	-1.9327
6b688e59-a222-4068-8b2b-71494fdfde17	7	109813925	134093899	14737	0.4189
6b688e59-a222-4068-8b2b-71494fdfde17	7	134100424	134114093	34	-0.226
6b688e59-a222-4068-8b2b-71494fdfde17	7	134114401	143521765	6121	0.4319
6b688e59-a222-4068-8b2b-71494fdfde17	7	143529806	143728285	6	-0.5538
6b688e59-a222-4068-8b2b-71494fdfde17	7	143728623	147314296	2164	0.4156
6b688e59-a222-4068-8b2b-71494fdfde17	7	147314595	147314989	2	-1.3202
6b688e59-a222-4068-8b2b-71494fdfde17	7	147317906	159334314	7793	0.4356
6b688e59-a222-4068-8b2b-71494fdfde17	8	81254	643041	320	-0.7879
6b688e59-a222-4068-8b2b-71494fdfde17	8	644944	645908	10	0.9934
6b688e59-a222-4068-8b2b-71494fdfde17	8	656117	15548797	13345	-0.7175
6b688e59-a222-4068-8b2b-71494fdfde17	8	15550334	15554099	5	-3.0621
6b688e59-a222-4068-8b2b-71494fdfde17	8	15555938	25117062	7614	-0.7084
6b688e59-a222-4068-8b2b-71494fdfde17	8	25117985	25126735	22	-1.9897
6b688e59-a222-4068-8b2b-71494fdfde17	8	25126818	30245711	3630	-0.7058
6b688e59-a222-4068-8b2b-71494fdfde17	8	30251219	30412108	99	0.0072
6b688e59-a222-4068-8b2b-71494fdfde17	8	30413513	31136129	396	0.9891
6b688e59-a222-4068-8b2b-71494fdfde17	8	31136972	31257725	87	0.7183
6b688e59-a222-4068-8b2b-71494fdfde17	8	31257824	31777419	315	0.0013
6b688e59-a222-4068-8b2b-71494fdfde17	8	31778154	31807178	32	0.4333
6b688e59-a222-4068-8b2b-71494fdfde17	8	31813831	33040890	981	-0.0142
6b688e59-a222-4068-8b2b-71494fdfde17	8	33048131	33516919	281	-0.6867
6b688e59-a222-4068-8b2b-71494fdfde17	8	33518681	34514775	541	0.9635
6b688e59-a222-4068-8b2b-71494fdfde17	8	34514897	35286701	436	2.0016
6b688e59-a222-4068-8b2b-71494fdfde17	8	35292591	35715270	257	0.9527
6b688e59-a222-4068-8b2b-71494fdfde17	8	35716150	35835767	58	1.3478
6b688e59-a222-4068-8b2b-71494fdfde17	8	35836668	36505639	324	1.5125
6b688e59-a222-4068-8b2b-71494fdfde17	8	36506091	36520051	7	2.1154
6b688e59-a222-4068-8b2b-71494fdfde17	8	36520303	36603354	44	1.5806
6b688e59-a222-4068-8b2b-71494fdfde17	8	36606756	36770459	84	1.9087
6b688e59-a222-4068-8b2b-71494fdfde17	8	36770783	37000965	132	1.7376
6b688e59-a222-4068-8b2b-71494fdfde17	8	37003788	37189552	141	2.0375
6b688e59-a222-4068-8b2b-71494fdfde17	8	37189638	37189709	2	0.3133
6b688e59-a222-4068-8b2b-71494fdfde17	8	37190115	37503617	237	1.9972
6b688e59-a222-4068-8b2b-71494fdfde17	8	37503905	37918013	169	2.385
6b688e59-a222-4068-8b2b-71494fdfde17	8	37921369	38855095	485	1.8023
6b688e59-a222-4068-8b2b-71494fdfde17	8	38857769	39373140	244	1.2076
6b688e59-a222-4068-8b2b-71494fdfde17	8	39378084	39529446	58	-1.6206
6b688e59-a222-4068-8b2b-71494fdfde17	8	39530780	39611300	56	1.1658
6b688e59-a222-4068-8b2b-71494fdfde17	8	39615460	39677370	41	0.7043
6b688e59-a222-4068-8b2b-71494fdfde17	8	39682804	40625302	770	1.1975
6b688e59-a222-4068-8b2b-71494fdfde17	8	40625573	42112130	921	1.913
6b688e59-a222-4068-8b2b-71494fdfde17	8	42112252	43038751	541	1.7828
6b688e59-a222-4068-8b2b-71494fdfde17	8	43042692	43766749	223	0.7426
6b688e59-a222-4068-8b2b-71494fdfde17	8	43769752	84864641	23618	0.4142
6b688e59-a222-4068-8b2b-71494fdfde17	8	84868160	85127671	113	-0.0243
6b688e59-a222-4068-8b2b-71494fdfde17	8	85128081	85133155	3	-0.6964
6b688e59-a222-4068-8b2b-71494fdfde17	8	85134706	85209234	32	-0.0433
6b688e59-a222-4068-8b2b-71494fdfde17	8	85212474	102676374	10503	0.4148
6b688e59-a222-4068-8b2b-71494fdfde17	8	102679240	103018796	208	0.0252
6b688e59-a222-4068-8b2b-71494fdfde17	8	103019945	136669376	22718	0.4326
6b688e59-a222-4068-8b2b-71494fdfde17	8	136670116	136849952	172	-0.8583
6b688e59-a222-4068-8b2b-71494fdfde17	8	136850173	141560745	3533	0.434
6b688e59-a222-4068-8b2b-71494fdfde17	8	141560942	141561074	2	-1.6457
6b688e59-a222-4068-8b2b-71494fdfde17	8	141561123	145072769	1460	0.4106
6b688e59-a222-4068-8b2b-71494fdfde17	9	46587	2064563	2197	-0.0072
6b688e59-a222-4068-8b2b-71494fdfde17	9	2064795	2064884	2	-1.8596
6b688e59-a222-4068-8b2b-71494fdfde17	9	2066837	11275227	8487	0.0049
6b688e59-a222-4068-8b2b-71494fdfde17	9	11276172	12356936	847	0.097
6b688e59-a222-4068-8b2b-71494fdfde17	9	12357045	23361807	8863	-0.0069
6b688e59-a222-4068-8b2b-71494fdfde17	9	23363117	23373486	8	1.0599
6b688e59-a222-4068-8b2b-71494fdfde17	9	23378490	38989381	10682	-0.0027
6b688e59-a222-4068-8b2b-71494fdfde17	9	38996106	39053795	6	-0.8811
6b688e59-a222-4068-8b2b-71494fdfde17	9	39057367	39138124	14	-0.0379
6b688e59-a222-4068-8b2b-71494fdfde17	9	39140235	39140250	2	-1.8151
6b688e59-a222-4068-8b2b-71494fdfde17	9	39140318	39588611	39	0.111
6b688e59-a222-4068-8b2b-71494fdfde17	9	39747848	41741096	104	-0.5358
6b688e59-a222-4068-8b2b-71494fdfde17	9	41741113	63580401	161	-0.1185
6b688e59-a222-4068-8b2b-71494fdfde17	9	63580418	63592813	8	1.1211
6b688e59-a222-4068-8b2b-71494fdfde17	9	63614182	64672853	66	-0.1097
6b688e59-a222-4068-8b2b-71494fdfde17	9	64794598	66881239	28	-0.6493
6b688e59-a222-4068-8b2b-71494fdfde17	9	66883464	110262162	29905	0.0015
6b688e59-a222-4068-8b2b-71494fdfde17	9	110262509	110270151	3	-2.0362
6b688e59-a222-4068-8b2b-71494fdfde17	9	110270398	138200944	17985	0.01
6b688e59-a222-4068-8b2b-71494fdfde17	10	45792	2512121	1911	-0.0002
6b688e59-a222-4068-8b2b-71494fdfde17	10	2520075	2520450	3	-2.2465
6b688e59-a222-4068-8b2b-71494fdfde17	10	2520561	22638023	16294	0.0056
6b688e59-a222-4068-8b2b-71494fdfde17	10	22638045	22638641	2	-1.6195
6b688e59-a222-4068-8b2b-71494fdfde17	10	22639134	24086334	954	-0.0004
6b688e59-a222-4068-8b2b-71494fdfde17	10	24088745	24089125	11	-2.0384
6b688e59-a222-4068-8b2b-71494fdfde17	10	24089979	27323765	2196	-0.0103
6b688e59-a222-4068-8b2b-71494fdfde17	10	27323779	27329640	3	-1.155
6b688e59-a222-4068-8b2b-71494fdfde17	10	27329693	42141019	7678	0.0048
6b688e59-a222-4068-8b2b-71494fdfde17	10	42144107	42264605	19	-0.7609
6b688e59-a222-4068-8b2b-71494fdfde17	10	42267782	46130381	2385	0.0012
6b688e59-a222-4068-8b2b-71494fdfde17	10	46146395	46559870	212	0.3945
6b688e59-a222-4068-8b2b-71494fdfde17	10	46560066	65548178	12695	-0.0076
6b688e59-a222-4068-8b2b-71494fdfde17	10	65548193	65554672	25	-1.7616
6b688e59-a222-4068-8b2b-71494fdfde17	10	65554688	83289725	11720	0.008
6b688e59-a222-4068-8b2b-71494fdfde17	10	83290163	83290540	4	-1.1354
6b688e59-a222-4068-8b2b-71494fdfde17	10	83293178	87118074	2667	-0.0193
6b688e59-a222-4068-8b2b-71494fdfde17	10	87136681	87154153	5	-1.0555
6b688e59-a222-4068-8b2b-71494fdfde17	10	87162547	131728762	30866	0.0004
6b688e59-a222-4068-8b2b-71494fdfde17	10	131728918	131731010	3	-1.3856
