GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ed765f34-db5d-49ab-8435-91d237e431fc	1	62920	86341	11	-0.9208
ed765f34-db5d-49ab-8435-91d237e431fc	1	98588	16785682	8687	0.0098
ed765f34-db5d-49ab-8435-91d237e431fc	1	16787932	16949746	59	-0.4448
ed765f34-db5d-49ab-8435-91d237e431fc	1	16951445	25256850	5261	0.0184
ed765f34-db5d-49ab-8435-91d237e431fc	1	25266637	25319167	20	0.5061
ed765f34-db5d-49ab-8435-91d237e431fc	1	25319693	72284670	28737	0.0149
ed765f34-db5d-49ab-8435-91d237e431fc	1	72290430	72297687	9	-0.7801
ed765f34-db5d-49ab-8435-91d237e431fc	1	72302735	75585159	1979	0.0071
ed765f34-db5d-49ab-8435-91d237e431fc	1	75589078	75589169	2	-2.1786
ed765f34-db5d-49ab-8435-91d237e431fc	1	75593824	103560608	18073	0.0155
ed765f34-db5d-49ab-8435-91d237e431fc	1	103566616	103760781	34	0.4907
ed765f34-db5d-49ab-8435-91d237e431fc	1	103760879	105458950	912	0.0224
ed765f34-db5d-49ab-8435-91d237e431fc	1	105458984	105479753	22	0.4787
ed765f34-db5d-49ab-8435-91d237e431fc	1	105481433	109684893	2636	0.0183
ed765f34-db5d-49ab-8435-91d237e431fc	1	109690352	109697556	13	-0.7728
ed765f34-db5d-49ab-8435-91d237e431fc	1	109702376	110834746	837	0.0012
ed765f34-db5d-49ab-8435-91d237e431fc	1	110834943	110834953	4	-1.9639
ed765f34-db5d-49ab-8435-91d237e431fc	1	110836273	110836933	11	-3.5808
ed765f34-db5d-49ab-8435-91d237e431fc	1	110836951	110845604	23	-2.0108
ed765f34-db5d-49ab-8435-91d237e431fc	1	110849445	112449058	1346	0.0144
ed765f34-db5d-49ab-8435-91d237e431fc	1	112449193	112449259	3	-0.9842
ed765f34-db5d-49ab-8435-91d237e431fc	1	112452243	152789570	7557	0.0144
ed765f34-db5d-49ab-8435-91d237e431fc	1	152789781	152795388	22	0.4817
ed765f34-db5d-49ab-8435-91d237e431fc	1	152795408	169247699	11296	0.0196
ed765f34-db5d-49ab-8435-91d237e431fc	1	169264736	169269507	6	-4.122
ed765f34-db5d-49ab-8435-91d237e431fc	1	169272528	196762956	18185	0.0185
ed765f34-db5d-49ab-8435-91d237e431fc	1	196769493	196792690	36	-0.477
ed765f34-db5d-49ab-8435-91d237e431fc	1	196798282	248930189	35834	0.0156
ed765f34-db5d-49ab-8435-91d237e431fc	2	12784	4158097	2988	0.0149
ed765f34-db5d-49ab-8435-91d237e431fc	2	4166274	4176429	42	-0.5331
ed765f34-db5d-49ab-8435-91d237e431fc	2	4182472	34295406	20967	0.0192
ed765f34-db5d-49ab-8435-91d237e431fc	2	34298911	34300513	2	-1.7884
ed765f34-db5d-49ab-8435-91d237e431fc	2	34300900	34466002	95	0.0408
ed765f34-db5d-49ab-8435-91d237e431fc	2	34474248	34511990	46	-0.4489
ed765f34-db5d-49ab-8435-91d237e431fc	2	34512096	52537117	13021	0.0198
ed765f34-db5d-49ab-8435-91d237e431fc	2	52537337	52554404	22	0.4481
ed765f34-db5d-49ab-8435-91d237e431fc	2	52560811	76859730	15722	0.0192
ed765f34-db5d-49ab-8435-91d237e431fc	2	76863586	76864322	2	-1.178
ed765f34-db5d-49ab-8435-91d237e431fc	2	76865338	86901078	6258	0.0189
ed765f34-db5d-49ab-8435-91d237e431fc	2	86902080	86910262	2	-1.2895
ed765f34-db5d-49ab-8435-91d237e431fc	2	86934730	87528459	109	-0.0517
ed765f34-db5d-49ab-8435-91d237e431fc	2	87542032	87674944	23	-0.6796
ed765f34-db5d-49ab-8435-91d237e431fc	2	87695122	89305244	658	0.0064
ed765f34-db5d-49ab-8435-91d237e431fc	2	89896149	90262403	130	-0.7113
ed765f34-db5d-49ab-8435-91d237e431fc	2	90281849	107397825	7261	0.0202
ed765f34-db5d-49ab-8435-91d237e431fc	2	107401544	107403066	3	-1.7901
ed765f34-db5d-49ab-8435-91d237e431fc	2	107403638	107824280	260	0.0089
ed765f34-db5d-49ab-8435-91d237e431fc	2	107830513	107891596	7	-0.4636
ed765f34-db5d-49ab-8435-91d237e431fc	2	107903920	111294522	1582	0.0206
ed765f34-db5d-49ab-8435-91d237e431fc	2	111298710	111392018	22	0.5186
ed765f34-db5d-49ab-8435-91d237e431fc	2	111395273	127463980	9971	0.0192
ed765f34-db5d-49ab-8435-91d237e431fc	2	127464504	127469132	4	-0.8072
ed765f34-db5d-49ab-8435-91d237e431fc	2	127469535	146104517	11239	0.019
ed765f34-db5d-49ab-8435-91d237e431fc	2	146106836	146109366	24	0.9084
ed765f34-db5d-49ab-8435-91d237e431fc	2	146120238	149271434	1642	0.029
ed765f34-db5d-49ab-8435-91d237e431fc	2	149273774	149277549	2	-1.0931
ed765f34-db5d-49ab-8435-91d237e431fc	2	149277564	150174288	621	0.0316
ed765f34-db5d-49ab-8435-91d237e431fc	2	150174937	150181218	5	-0.9905
