GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fe24faf9-2238-488b-bde4-d1d66782cd10	1	62920	6743687	3147	0.0057
fe24faf9-2238-488b-bde4-d1d66782cd10	1	6748294	6750728	5	-1.9369
fe24faf9-2238-488b-bde4-d1d66782cd10	1	6756629	10186596	1939	0.0124
fe24faf9-2238-488b-bde4-d1d66782cd10	1	10189904	10189905	2	-2.1963
fe24faf9-2238-488b-bde4-d1d66782cd10	1	10189919	10311780	83	-0.0539
fe24faf9-2238-488b-bde4-d1d66782cd10	1	10314212	10317925	7	-1.0348
fe24faf9-2238-488b-bde4-d1d66782cd10	1	10321714	16489595	3452	0.0016
fe24faf9-2238-488b-bde4-d1d66782cd10	1	16493138	16898730	78	-0.3979
fe24faf9-2238-488b-bde4-d1d66782cd10	1	16898872	16909189	4	0.954
fe24faf9-2238-488b-bde4-d1d66782cd10	1	16909203	16965399	45	-0.5131
fe24faf9-2238-488b-bde4-d1d66782cd10	1	16968717	21295043	2921	0.0166
fe24faf9-2238-488b-bde4-d1d66782cd10	1	21295676	21424751	87	-0.1758
fe24faf9-2238-488b-bde4-d1d66782cd10	1	21433302	21433632	2	-1.5596
fe24faf9-2238-488b-bde4-d1d66782cd10	1	21443394	25256850	2240	0.0107
fe24faf9-2238-488b-bde4-d1d66782cd10	1	25266637	25284961	14	-0.7327
fe24faf9-2238-488b-bde4-d1d66782cd10	1	25289805	55025942	16334	0.008
fe24faf9-2238-488b-bde4-d1d66782cd10	1	55030071	55030503	5	-0.9973
fe24faf9-2238-488b-bde4-d1d66782cd10	1	55031629	60511630	4245	0.0256
fe24faf9-2238-488b-bde4-d1d66782cd10	1	60517529	60518110	4	-0.9935
fe24faf9-2238-488b-bde4-d1d66782cd10	1	60519714	72284670	8141	0.0137
fe24faf9-2238-488b-bde4-d1d66782cd10	1	72290430	72297687	9	-0.7842
fe24faf9-2238-488b-bde4-d1d66782cd10	1	72302735	72345393	46	0.4041
fe24faf9-2238-488b-bde4-d1d66782cd10	1	72345450	102221147	19295	0.0145
fe24faf9-2238-488b-bde4-d1d66782cd10	1	102222016	102266885	29	0.4453
fe24faf9-2238-488b-bde4-d1d66782cd10	1	102267134	103616762	709	0.0287
fe24faf9-2238-488b-bde4-d1d66782cd10	1	103620877	103697364	4	-1.0716
fe24faf9-2238-488b-bde4-d1d66782cd10	1	103717410	109684893	3571	0.0208
fe24faf9-2238-488b-bde4-d1d66782cd10	1	109690352	109697556	13	1.9147
fe24faf9-2238-488b-bde4-d1d66782cd10	1	109702376	110852785	884	0.0156
fe24faf9-2238-488b-bde4-d1d66782cd10	1	110853446	110857543	2	-1.5068
fe24faf9-2238-488b-bde4-d1d66782cd10	1	110858171	112147704	1063	0.0079
fe24faf9-2238-488b-bde4-d1d66782cd10	1	112153343	112154768	25	-1.7969
fe24faf9-2238-488b-bde4-d1d66782cd10	1	112163334	196742057	37302	0.0106
fe24faf9-2238-488b-bde4-d1d66782cd10	1	196745692	196832312	58	-0.5427
fe24faf9-2238-488b-bde4-d1d66782cd10	1	196832525	242976935	32078	0.0098
fe24faf9-2238-488b-bde4-d1d66782cd10	1	242979007	243119182	23	-0.4761
fe24faf9-2238-488b-bde4-d1d66782cd10	1	243129825	248930189	3723	0.0084
fe24faf9-2238-488b-bde4-d1d66782cd10	2	12784	14565932	11037	0.0171
fe24faf9-2238-488b-bde4-d1d66782cd10	2	14566145	14569897	9	-0.9663
fe24faf9-2238-488b-bde4-d1d66782cd10	2	14569968	26010616	7695	0.0053
fe24faf9-2238-488b-bde4-d1d66782cd10	2	26015352	26016414	2	-1.4355
fe24faf9-2238-488b-bde4-d1d66782cd10	2	26016711	34721279	5520	-0.0039
fe24faf9-2238-488b-bde4-d1d66782cd10	2	34721612	36140420	1040	0.08
fe24faf9-2238-488b-bde4-d1d66782cd10	2	36143141	50661516	10549	0.0133
fe24faf9-2238-488b-bde4-d1d66782cd10	2	50662958	51110458	317	0.1439
fe24faf9-2238-488b-bde4-d1d66782cd10	2	51110914	52527330	959	0.0378
fe24faf9-2238-488b-bde4-d1d66782cd10	2	52527342	52554404	39	-2.351
fe24faf9-2238-488b-bde4-d1d66782cd10	2	52560811	79861367	17809	0.0165
fe24faf9-2238-488b-bde4-d1d66782cd10	2	79861814	79862693	7	-0.7518
fe24faf9-2238-488b-bde4-d1d66782cd10	2	79864348	86710564	4099	0.0147
fe24faf9-2238-488b-bde4-d1d66782cd10	2	86725947	86744622	4	-1.603
fe24faf9-2238-488b-bde4-d1d66782cd10	2	86745723	87487629	159	-0.1289
fe24faf9-2238-488b-bde4-d1d66782cd10	2	87489160	87542032	14	-0.7394
fe24faf9-2238-488b-bde4-d1d66782cd10	2	87546272	89248581	666	0.0008
fe24faf9-2238-488b-bde4-d1d66782cd10	2	89249362	89253753	4	-1.0918
fe24faf9-2238-488b-bde4-d1d66782cd10	2	89254398	97168345	1045	-0.0379
fe24faf9-2238-488b-bde4-d1d66782cd10	2	97168383	97624729	62	-0.3737
fe24faf9-2238-488b-bde4-d1d66782cd10	2	97627711	113604438	9343	0.0107
fe24faf9-2238-488b-bde4-d1d66782cd10	2	113604837	113604839	2	-1.8789
fe24faf9-2238-488b-bde4-d1d66782cd10	2	113623244	146106875	20033	0.0158
fe24faf9-2238-488b-bde4-d1d66782cd10	2	146106889	146122856	34	0.6914
fe24faf9-2238-488b-bde4-d1d66782cd10	2	146123485	151261266	3042	0.0071
fe24faf9-2238-488b-bde4-d1d66782cd10	2	151261965	151274400	2	1.2805
fe24faf9-2238-488b-bde4-d1d66782cd10	2	151274814	153630391	1580	0.0116
fe24faf9-2238-488b-bde4-d1d66782cd10	2	153631207	153635647	3	-1.0394
fe24faf9-2238-488b-bde4-d1d66782cd10	2	153636625	156503014	1618	0.0342
fe24faf9-2238-488b-bde4-d1d66782cd10	2	156504456	156506704	2	2.184
fe24faf9-2238-488b-bde4-d1d66782cd10	2	156507516	183206853	16575	0.0085
fe24faf9-2238-488b-bde4-d1d66782cd10	2	183209675	183224996	13	-0.7733
fe24faf9-2238-488b-bde4-d1d66782cd10	2	183229270	207490231	14110	0.0145
fe24faf9-2238-488b-bde4-d1d66782cd10	2	207490454	207494795	17	-0.6183
fe24faf9-2238-488b-bde4-d1d66782cd10	2	207494836	242147305	22075	0.0092
fe24faf9-2238-488b-bde4-d1d66782cd10	3	20930	788743	642	0.0738
fe24faf9-2238-488b-bde4-d1d66782cd10	3	790906	797883	4	-1.1676
fe24faf9-2238-488b-bde4-d1d66782cd10	3	800431	2780268	1762	0.076
fe24faf9-2238-488b-bde4-d1d66782cd10	3	2780466	21838075	13995	0.0126
fe24faf9-2238-488b-bde4-d1d66782cd10	3	21838102	22172202	335	0.1338
fe24faf9-2238-488b-bde4-d1d66782cd10	3	22176672	41937981	13531	0.0182
fe24faf9-2238-488b-bde4-d1d66782cd10	3	41939998	42146297	107	-0.2702
fe24faf9-2238-488b-bde4-d1d66782cd10	3	42146917	60165546	10502	0.0121
fe24faf9-2238-488b-bde4-d1d66782cd10	3	60166224	60588813	441	0.109
fe24faf9-2238-488b-bde4-d1d66782cd10	3	60588988	65202778	3992	0.0223
fe24faf9-2238-488b-bde4-d1d66782cd10	3	65203560	65224777	52	-0.54
fe24faf9-2238-488b-bde4-d1d66782cd10	3	65230674	68697295	2426	0.0193
fe24faf9-2238-488b-bde4-d1d66782cd10	3	68697557	68697672	4	-1.1135
fe24faf9-2238-488b-bde4-d1d66782cd10	3	68697689	75413665	4894	0.0208
fe24faf9-2238-488b-bde4-d1d66782cd10	3	75413745	75793727	98	-0.3908
fe24faf9-2238-488b-bde4-d1d66782cd10	3	75794356	91390926	8073	0.0284
fe24faf9-2238-488b-bde4-d1d66782cd10	3	91462299	93824162	11	-0.5134
fe24faf9-2238-488b-bde4-d1d66782cd10	3	93824358	99225614	2837	0.0127
fe24faf9-2238-488b-bde4-d1d66782cd10	3	99225632	99230470	36	-0.5162
fe24faf9-2238-488b-bde4-d1d66782cd10	3	99230577	107314617	4768	0.0208
fe24faf9-2238-488b-bde4-d1d66782cd10	3	107316951	107317337	2	-2.3803
fe24faf9-2238-488b-bde4-d1d66782cd10	3	107320614	125688845	11462	0.0084
fe24faf9-2238-488b-bde4-d1d66782cd10	3	125705628	125739919	16	-0.5572
fe24faf9-2238-488b-bde4-d1d66782cd10	3	125743486	129985309	2431	0.0012
fe24faf9-2238-488b-bde4-d1d66782cd10	3	129985555	130141782	87	-0.2418
fe24faf9-2238-488b-bde4-d1d66782cd10	3	130149891	136672353	4130	0.0075
fe24faf9-2238-488b-bde4-d1d66782cd10	3	136672522	136673382	2	2.7691
fe24faf9-2238-488b-bde4-d1d66782cd10	3	136676699	137314218	345	-0.0167
fe24faf9-2238-488b-bde4-d1d66782cd10	3	137314418	137314421	3	1.2025
fe24faf9-2238-488b-bde4-d1d66782cd10	3	137314580	162815162	15779	0.0159
fe24faf9-2238-488b-bde4-d1d66782cd10	3	162816942	162822702	6	-1.4933
fe24faf9-2238-488b-bde4-d1d66782cd10	3	162827928	183878527	12769	0.0205
fe24faf9-2238-488b-bde4-d1d66782cd10	3	183878574	184143962	131	-0.1777
fe24faf9-2238-488b-bde4-d1d66782cd10	3	184145917	193155915	6311	0.018
fe24faf9-2238-488b-bde4-d1d66782cd10	3	193156018	193165114	22	0.9663
fe24faf9-2238-488b-bde4-d1d66782cd10	3	193168646	195704028	1498	-0.0004
fe24faf9-2238-488b-bde4-d1d66782cd10	3	195706899	195737444	24	-0.5755
fe24faf9-2238-488b-bde4-d1d66782cd10	3	195737636	198142659	1166	-0.0466
fe24faf9-2238-488b-bde4-d1d66782cd10	3	198169114	198169247	4	1.1909
fe24faf9-2238-488b-bde4-d1d66782cd10	4	68929	117100	34	0.0465
fe24faf9-2238-488b-bde4-d1d66782cd10	4	121227	121235	2	-1.865
fe24faf9-2238-488b-bde4-d1d66782cd10	4	121682	3901987	1537	-0.004
fe24faf9-2238-488b-bde4-d1d66782cd10	4	3905987	4174887	70	-0.4259
fe24faf9-2238-488b-bde4-d1d66782cd10	4	4174902	9403220	3484	0.0167
fe24faf9-2238-488b-bde4-d1d66782cd10	4	9403314	9415909	10	-0.7081
fe24faf9-2238-488b-bde4-d1d66782cd10	4	9415994	9455251	23	-0.1079
fe24faf9-2238-488b-bde4-d1d66782cd10	4	9459504	9477699	6	-1.6441
fe24faf9-2238-488b-bde4-d1d66782cd10	4	9484440	9617513	38	-0.38
fe24faf9-2238-488b-bde4-d1d66782cd10	4	9624789	10208766	500	0.008
fe24faf9-2238-488b-bde4-d1d66782cd10	4	10221792	10232642	30	1.6339
fe24faf9-2238-488b-bde4-d1d66782cd10	4	10232984	10389091	176	0.0228
fe24faf9-2238-488b-bde4-d1d66782cd10	4	10390730	10399044	16	-0.5694
fe24faf9-2238-488b-bde4-d1d66782cd10	4	10401094	32392452	15440	0.0142
