GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	17001	6744000	5762	-0.368094
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	6744001	6754000	10	-2.139687
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	6754001	10133000	3372	-0.353076
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	10133001	14996000	4458	-0.361138
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	14996001	15099000	103	-0.364473
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	15099001	15724000	624	-0.360069
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	15724001	16367000	639	-0.349772
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	16367001	16880000	340	-0.410313
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	16880001	16965000	83	-0.977482
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	16965001	17274000	308	-0.364957
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	17274001	19462000	2186	-0.368062
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	19462001	20409000	947	-0.369956
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	20409001	22012000	1584	-0.356556
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	22015001	25390000	3284	-0.354637
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	25390001	26580000	1179	-0.354180
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	26580001	29754000	3161	-0.349046
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	29754001	30696000	936	-0.377179
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	30696001	33452000	2749	-0.357012
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	33452001	34914000	1446	-0.371913
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	34914001	49556000	14545	-0.357357
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	49556001	49564000	8	-2.251650
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	49564001	51015000	1444	-0.369639
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	51015001	76016000	24819	-0.368201
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	76016001	76304000	288	-0.381403
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	76304001	89038000	12593	-0.368905
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	89038001	89237000	199	-0.365653
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	89237001	92908000	3642	-0.369617
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	92908001	94648000	1732	-0.365470
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	94648001	94723000	75	-0.366027
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	94723001	99927000	5182	-0.366608
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	99927001	102070000	2138	-0.363382
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	102070001	108824000	6360	-0.372978
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	108824001	113276000	4395	-0.358376
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	113276001	114917000	1630	-0.361844
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	114917001	115137000	220	0.225890
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	115137001	116321000	1176	-0.365930
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	116321001	116508000	187	-0.360166
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	116508001	118211000	1699	0.252108
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	118211001	119381000	1162	0.665501
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	119381001	119752000	371	0.239015
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	119752001	121569000	587	0.631717
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	121569001	123647000	170	0.242600
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	123648001	124271000	71	-1.618861
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	124279001	124803000	117	-0.223530
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	124820001	143736000	517	0.948419
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	143736001	150543000	2885	0.981050
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	150543001	157822000	7177	0.983374
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	157822001	158473000	650	0.956795
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	158473001	160993000	2502	0.969637
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	160993001	171894000	10751	0.969200
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	171894001	179256000	7300	0.969292
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	179256001	179547000	291	0.975453
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	179547001	182435000	2874	0.965554
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	182435001	198876000	16257	0.967352
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	198876001	204480000	5586	0.977137
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	204480001	219081000	14271	0.968616
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	219081001	224064000	4821	0.971136
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	224064001	235102000	10876	0.969399
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	235102001	240276000	5143	0.966031
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	240276001	240401000	125	0.948358
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	240401001	244373000	3929	0.964194
TCGA-BH-A0C1-01B-12D-A75X-36	chr1	244373001	248931000	4375	0.968157
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	11001	649000	625	-0.056633
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	649001	8555000	7812	-0.042900
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	8555001	13267000	4690	-0.030069
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	13267001	15328000	2046	-0.041822
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	15328001	15584000	256	-0.035507
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	15584001	18159000	2552	-0.040947
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	18159001	23678000	5501	-0.042354
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	23678001	28628000	4934	-0.021815
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	28628001	28759000	131	-0.026111
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	28759001	35845000	6991	-0.035196
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	35845001	37190000	1335	-0.035092
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	37190001	37756000	563	-0.025698
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	37756001	38835000	1079	-0.024958
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	38835001	53618000	14684	-0.030964
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	53618001	67835000	14165	-0.032665
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	67835001	67931000	96	-0.044047
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	67931001	69949000	2015	-0.028999
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	69949001	77130000	7115	-0.031466
TCGA-BH-A0C1-01B-12D-A75X-36	chr2	77130001	77141000	11	-1.346579
