GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-05-4396-01A-21D-A92M-36	chr1	17001	1071000	292	-0.454075
TCGA-05-4396-01A-21D-A92M-36	chr1	1071001	2280000	1147	-0.424924
TCGA-05-4396-01A-21D-A92M-36	chr1	2282001	2464000	181	-0.354446
TCGA-05-4396-01A-21D-A92M-36	chr1	2464001	2584000	120	-0.411891
TCGA-05-4396-01A-21D-A92M-36	chr1	2584001	3495000	789	-0.492338
TCGA-05-4396-01A-21D-A92M-36	chr1	3495001	3918000	419	-0.484823
TCGA-05-4396-01A-21D-A92M-36	chr1	3918001	5811000	1883	-0.567930
TCGA-05-4396-01A-21D-A92M-36	chr1	5811001	6176000	363	-0.504746
TCGA-05-4396-01A-21D-A92M-36	chr1	6176001	6772000	596	-0.466799
TCGA-05-4396-01A-21D-A92M-36	chr1	6772001	8068000	1294	-0.536994
TCGA-05-4396-01A-21D-A92M-36	chr1	8068001	8324000	256	-0.480214
TCGA-05-4396-01A-21D-A92M-36	chr1	8324001	8850000	524	-0.521958
TCGA-05-4396-01A-21D-A92M-36	chr1	8850001	9021000	171	-0.475635
TCGA-05-4396-01A-21D-A92M-36	chr1	9021001	9187000	163	-0.498879
TCGA-05-4396-01A-21D-A92M-36	chr1	9187001	11985000	2797	-0.478884
TCGA-05-4396-01A-21D-A92M-36	chr1	11985001	12775000	790	-0.513221
TCGA-05-4396-01A-21D-A92M-36	chr1	12775001	13485000	309	-0.447760
TCGA-05-4396-01A-21D-A92M-36	chr1	13485001	14181000	695	-0.552947
TCGA-05-4396-01A-21D-A92M-36	chr1	14181001	14922000	739	-0.576614
TCGA-05-4396-01A-21D-A92M-36	chr1	14922001	15481000	558	-0.528481
TCGA-05-4396-01A-21D-A92M-36	chr1	15481001	15752000	271	-0.483316
TCGA-05-4396-01A-21D-A92M-36	chr1	15752001	16576000	794	-0.472619
TCGA-05-4396-01A-21D-A92M-36	chr1	16576001	17760000	1033	-0.513241
TCGA-05-4396-01A-21D-A92M-36	chr1	17760001	19229000	1468	-0.548607
TCGA-05-4396-01A-21D-A92M-36	chr1	19229001	19647000	418	-0.502673
TCGA-05-4396-01A-21D-A92M-36	chr1	19647001	20117000	470	-0.530654
