GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9f261fea-0f91-45f3-aada-89b5a183f072	1	62920	877652	51	0.0216
9f261fea-0f91-45f3-aada-89b5a183f072	1	877938	3301765	687	0.3838
9f261fea-0f91-45f3-aada-89b5a183f072	1	3302046	5963169	2055	0.0002
9f261fea-0f91-45f3-aada-89b5a183f072	1	5964520	5996669	19	0.5966
9f261fea-0f91-45f3-aada-89b5a183f072	1	5997665	9247978	1850	0.0144
9f261fea-0f91-45f3-aada-89b5a183f072	1	9255788	9329159	51	0.3104
9f261fea-0f91-45f3-aada-89b5a183f072	1	9329483	12775725	1776	0.0088
9f261fea-0f91-45f3-aada-89b5a183f072	1	12777697	13468981	70	0.2435
9f261fea-0f91-45f3-aada-89b5a183f072	1	13471025	16470247	2071	0.0217
9f261fea-0f91-45f3-aada-89b5a183f072	1	16471261	16525019	18	0.319
9f261fea-0f91-45f3-aada-89b5a183f072	1	16542868	16570326	4	-0.3039
9f261fea-0f91-45f3-aada-89b5a183f072	1	16583114	16721984	39	0.3212
9f261fea-0f91-45f3-aada-89b5a183f072	1	16766762	16935752	69	-0.1917
9f261fea-0f91-45f3-aada-89b5a183f072	1	16949746	16999460	23	0.5438
9f261fea-0f91-45f3-aada-89b5a183f072	1	17003142	21970933	3313	0.0003
9f261fea-0f91-45f3-aada-89b5a183f072	1	21971792	22108654	73	0.2924
9f261fea-0f91-45f3-aada-89b5a183f072	1	22109230	25129556	1775	0.0113
9f261fea-0f91-45f3-aada-89b5a183f072	1	25132208	25256850	81	0.2358
9f261fea-0f91-45f3-aada-89b5a183f072	1	25266637	25320455	24	0.627
9f261fea-0f91-45f3-aada-89b5a183f072	1	25336819	25361785	16	0.2561
9f261fea-0f91-45f3-aada-89b5a183f072	1	25371978	26477915	525	0.0005
9f261fea-0f91-45f3-aada-89b5a183f072	1	26477986	26546754	29	0.3785
9f261fea-0f91-45f3-aada-89b5a183f072	1	26549798	27022452	152	-0.054
9f261fea-0f91-45f3-aada-89b5a183f072	1	27034728	27072223	21	0.494
9f261fea-0f91-45f3-aada-89b5a183f072	1	27072293	30670351	1990	0.0198
9f261fea-0f91-45f3-aada-89b5a183f072	1	30670681	30778851	81	0.3363
9f261fea-0f91-45f3-aada-89b5a183f072	1	30789158	34626073	2137	-0.0053
9f261fea-0f91-45f3-aada-89b5a183f072	1	34637053	34638890	20	-2.861
9f261fea-0f91-45f3-aada-89b5a183f072	1	34648667	37379639	1461	0.0112
9f261fea-0f91-45f3-aada-89b5a183f072	1	37383192	37455442	47	0.3194
9f261fea-0f91-45f3-aada-89b5a183f072	1	37457798	39638789	1192	0.0029
9f261fea-0f91-45f3-aada-89b5a183f072	1	39638912	39689516	28	0.6491
9f261fea-0f91-45f3-aada-89b5a183f072	1	39693156	40878947	639	0.0149
9f261fea-0f91-45f3-aada-89b5a183f072	1	40880756	40918052	20	0.3658
9f261fea-0f91-45f3-aada-89b5a183f072	1	40918166	44136534	1983	-0.0089
9f261fea-0f91-45f3-aada-89b5a183f072	1	44136710	44149504	8	0.599
9f261fea-0f91-45f3-aada-89b5a183f072	1	44153540	54624527	5658	0.0024
9f261fea-0f91-45f3-aada-89b5a183f072	1	54627618	54628716	2	1.3472
9f261fea-0f91-45f3-aada-89b5a183f072	1	54630777	54693819	51	0.0104
9f261fea-0f91-45f3-aada-89b5a183f072	1	54696201	54808979	85	0.1686
9f261fea-0f91-45f3-aada-89b5a183f072	1	54809137	70777796	11676	-0.0019
9f261fea-0f91-45f3-aada-89b5a183f072	1	70779147	70780985	5	-1.1059
9f261fea-0f91-45f3-aada-89b5a183f072	1	70785071	72284670	907	-0.022
9f261fea-0f91-45f3-aada-89b5a183f072	1	72290430	72297687	9	-1.0351
9f261fea-0f91-45f3-aada-89b5a183f072	1	72302735	78880386	4154	-0.0046
9f261fea-0f91-45f3-aada-89b5a183f072	1	78882821	78935774	28	-0.3346
9f261fea-0f91-45f3-aada-89b5a183f072	1	78936673	102192618	15140	-0.0024
9f261fea-0f91-45f3-aada-89b5a183f072	1	102194292	102365133	129	-0.2534
9f261fea-0f91-45f3-aada-89b5a183f072	1	102365144	105454705	1540	0.004
9f261fea-0f91-45f3-aada-89b5a183f072	1	105457248	105479738	26	-0.3675
9f261fea-0f91-45f3-aada-89b5a183f072	1	105479753	105674158	149	-0.0815
9f261fea-0f91-45f3-aada-89b5a183f072	1	105676494	105677607	6	-0.8652
9f261fea-0f91-45f3-aada-89b5a183f072	1	105677645	109690352	2483	0.0054
9f261fea-0f91-45f3-aada-89b5a183f072	1	109690415	109697556	12	1.9637
9f261fea-0f91-45f3-aada-89b5a183f072	1	109702376	111509683	1411	-0.0133
9f261fea-0f91-45f3-aada-89b5a183f072	1	111515217	111521169	7	0.6391
9f261fea-0f91-45f3-aada-89b5a183f072	1	111525182	111633262	91	0.0016
9f261fea-0f91-45f3-aada-89b5a183f072	1	111633377	111633854	2	-1.2306
