GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BA-6871-01A-11D-A853-36	chr1	17001	16605000	15172	-0.275751
TCGA-BA-6871-01A-11D-A853-36	chr1	16605001	16950000	205	-0.148165
TCGA-BA-6871-01A-11D-A853-36	chr1	16950001	38621000	21498	-0.276596
TCGA-BA-6871-01A-11D-A853-36	chr1	38621001	119444000	79853	-0.296724
TCGA-BA-6871-01A-11D-A853-36	chr1	119444001	124926000	1258	-0.089620
TCGA-BA-6871-01A-11D-A853-36	chr1	124940001	143268000	302	-0.216223
TCGA-BA-6871-01A-11D-A853-36	chr1	143270001	143915000	258	0.767970
TCGA-BA-6871-01A-11D-A853-36	chr1	143935001	145880000	450	0.821744
TCGA-BA-6871-01A-11D-A853-36	chr1	145880001	146059000	173	0.853453
TCGA-BA-6871-01A-11D-A853-36	chr1	146059001	147448000	607	0.777420
TCGA-BA-6871-01A-11D-A853-36	chr1	147448001	147698000	250	0.790562
TCGA-BA-6871-01A-11D-A853-36	chr1	147698001	147876000	178	0.776921
TCGA-BA-6871-01A-11D-A853-36	chr1	147876001	150559000	1195	0.818272
TCGA-BA-6871-01A-11D-A853-36	chr1	150559001	152502000	1921	0.842808
TCGA-BA-6871-01A-11D-A853-36	chr1	152502001	152914000	368	0.776557
TCGA-BA-6871-01A-11D-A853-36	chr1	152914001	153336000	419	0.818200
TCGA-BA-6871-01A-11D-A853-36	chr1	153336001	153699000	362	0.867735
TCGA-BA-6871-01A-11D-A853-36	chr1	153699001	153850000	151	0.813489
TCGA-BA-6871-01A-11D-A853-36	chr1	153850001	155059000	1209	0.732478
TCGA-BA-6871-01A-11D-A853-36	chr1	155059001	157185000	2094	0.753851
TCGA-BA-6871-01A-11D-A853-36	chr1	157185001	157360000	175	0.712223
TCGA-BA-6871-01A-11D-A853-36	chr1	157360001	157381000	21	0.713889
TCGA-BA-6871-01A-11D-A853-36	chr1	157381001	157842000	461	0.662513
TCGA-BA-6871-01A-11D-A853-36	chr1	157842001	158039000	197	0.617827
TCGA-BA-6871-01A-11D-A853-36	chr1	158039001	158396000	356	0.608799
TCGA-BA-6871-01A-11D-A853-36	chr1	158396001	158942000	539	0.653632
TCGA-BA-6871-01A-11D-A853-36	chr1	158942001	159594000	644	0.679537
TCGA-BA-6871-01A-11D-A853-36	chr1	159594001	159678000	84	0.709827
TCGA-BA-6871-01A-11D-A853-36	chr1	159678001	159764000	84	0.728332
TCGA-BA-6871-01A-11D-A853-36	chr1	159764001	162631000	2777	0.715353
TCGA-BA-6871-01A-11D-A853-36	chr1	162631001	162798000	164	0.712078
TCGA-BA-6871-01A-11D-A853-36	chr1	162798001	165510000	2702	0.698683
TCGA-BA-6871-01A-11D-A853-36	chr1	165510001	166081000	568	0.696057
TCGA-BA-6871-01A-11D-A853-36	chr1	166081001	166332000	245	0.638218
TCGA-BA-6871-01A-11D-A853-36	chr1	166332001	166400000	68	0.641226
TCGA-BA-6871-01A-11D-A853-36	chr1	166400001	166928000	527	0.649416
TCGA-BA-6871-01A-11D-A853-36	chr1	166928001	167739000	811	0.711300
TCGA-BA-6871-01A-11D-A853-36	chr1	167739001	168863000	1118	0.737347
TCGA-BA-6871-01A-11D-A853-36	chr1	168863001	168932000	69	0.697996
TCGA-BA-6871-01A-11D-A853-36	chr1	168932001	169041000	109	0.687365
TCGA-BA-6871-01A-11D-A853-36	chr1	169041001	169123000	82	0.710880
TCGA-BA-6871-01A-11D-A853-36	chr1	169123001	169893000	745	0.703629
TCGA-BA-6871-01A-11D-A853-36	chr1	169893001	170670000	774	0.758591
TCGA-BA-6871-01A-11D-A853-36	chr1	170670001	171255000	584	0.757705
