GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	62920	146250588	73838	-0.3967
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	146716041	152583051	2130	0.3134
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	152583230	152614100	34	-1.1509
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	152614118	196745743	29672	0.2783
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	196758720	196832525	57	-1.0904
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	196832720	199142235	1377	0.2721
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	199142298	199143343	5	-1.857
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	199143396	208664109	6400	0.2735
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	208664298	208664564	2	-1.8565
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	208664621	209897717	1006	0.3201
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	209908268	209908720	2	-1.054
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	209910639	214471428	3102	0.2877
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	214471704	214471952	4	-1.3701
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	214471964	229675422	9937	0.2858
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	229681109	229684449	3	-2.2883
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	229684709	229686006	7	-0.2073
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	229686151	245814579	12040	0.286
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	245822626	245825705	3	-0.7405
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	245825909	245859410	44	-3.7412
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	1	245861534	248930189	1879	0.3137
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	12784	4158097	2988	0.1986
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	4166274	4175922	37	-0.2978
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	4175977	7499242	2899	0.1958
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	7502934	7506841	2	1.8115
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	7506876	12953840	4017	0.1965
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	12954574	23750733	7703	0.244
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	23751862	28783004	2502	0.1961
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	28785926	34466002	3945	0.2613
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	34474248	34486407	16	-1.5497
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	34491703	34492416	9	-0.0661
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	34492601	34511990	21	-1.8996
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	34512096	35750907	872	0.2363
c8327f7a-6624-4df6-83e6-7f5d7dffdfb1	2	35752724	35762881	7	-1.3336
