GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	62920	72302815	42720	-0.0001
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	72303233	72343068	36	-0.8009
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	72343085	89012275	10933	0.0021
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	89012522	89019615	4	-1.3632
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	89021974	105288906	9886	0.0106
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	105290239	105297490	7	-0.9349
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	105303872	112154576	4727	0.0135
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	112154591	112154768	4	1.2094
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	112163334	188867069	31967	0.002
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	188867643	188894574	14	-0.9297
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	188899006	189354974	304	-0.0141
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	189357207	189567882	126	-0.9608
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	189568003	194479104	3364	0.0064
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	194482281	194485888	2	-2.2519
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	194487886	209897717	10280	0.0062
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	209908268	209908720	2	-1.7987
69f830ea-d4c0-4291-a29b-51b80a6a462b	1	209910639	248930189	26974	0.0011
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	12784	35750907	24973	0.0055
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	35752724	35762850	6	-1.6287
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	35762881	36108462	273	0.0242
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	36108463	36112411	14	-0.9417
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	36123960	40699589	3370	0.0023
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	40700235	40722466	34	-0.7678
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	40724376	52531615	8412	0.0057
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	52531630	52554188	25	-0.4419
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	52554236	86901078	21963	0.01
69f830ea-d4c0-4291-a29b-51b80a6a462b	2	86902080	86910262	2	-1.9988
