GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	62920	86341	11	-0.0126
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	98588	777165	12	0.6996
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	783283	10976177	5511	0.0276
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	10976840	12778601	955	-0.0628
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	12779433	13383455	46	0.319
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	13388993	15823420	1801	-0.0525
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	15827002	15828471	9	0.6965
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	15828515	16525019	296	-0.0376
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	16542868	16679239	32	1.182
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	16679281	16788139	24	-0.1806
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	16855942	16949746	57	0.1919
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	16951445	20909268	2761	-0.056
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	20912566	21372846	219	-0.2783
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	21376715	21464766	43	0.1381
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	21467568	21815733	219	-0.3082
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	21820584	21825701	4	0.4918
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	21833618	21970933	81	-0.362
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	21971792	25256850	1927	-0.0593
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	25266637	25319693	21	0.5362
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	25320198	34626073	4951	-0.0512
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	34637053	34638890	20	-0.5616
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	34648667	72303233	23737	-0.0473
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	72303253	72345450	44	-0.92
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	72345465	74219309	1111	-0.0493
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	74220380	83705276	6183	0.0184
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	83705284	87215601	2341	0.1968
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	87218154	99953916	8149	0.0081
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	99954227	101232950	740	-0.1043
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	101233359	105491310	2433	0.0158
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	105491593	105492316	2	-2.185
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	105492430	112147704	4581	0.0041
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	112153343	112154754	24	0.4432
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	112154768	119566637	4722	0.0108
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	119567888	119802594	196	0.1407
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	119802658	119984772	123	-0.014
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	120002553	121389102	42	0.3055
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	121413668	121573699	68	0.0257
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	121580012	144503864	152	0.3721
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	144932423	149904595	902	0.0816
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	149906351	153366548	2094	0.0213
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	153368173	153371898	3	-1.2582
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	153373787	161770103	4898	0.0064
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	161770624	161995227	158	-0.1506
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	161997370	162534536	462	0.0144
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	162535706	164977498	1904	-0.1308
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	164979042	171785296	5121	0.0078
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	171786349	171972568	148	-0.2077
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	171973348	171973643	2	-3.1635
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	171975278	173224021	813	-0.2316
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	173230047	174826737	822	0.0817
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	174826800	174835884	36	0.3703
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	174835901	175366415	324	0.0898
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	175366523	175370886	3	-1.275
0ddf77d7-a2f7-4784-b327-1242fc43828d	1	175370922	196742057	14279	0.0772
