GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	62920	826738	36	0.6618
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	833413	2342007	384	-0.0448
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	2348984	2350915	3	1.7658
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	2351678	12850124	6065	-0.0024
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	12850744	12867264	5	-1.5062
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	12868035	34637053	12410	-0.0018
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	34637069	34638890	19	-0.7819
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	34648667	44136710	5339	0.0011
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	44136750	44138521	5	1.0836
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	44148619	49448451	3013	0.0044
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	49449260	49543139	32	0.3929
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	49546399	65432268	10785	-0.0027
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	65432318	65440582	3	1.5222
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	65441079	72284670	4463	0.0011
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	72290430	72297687	9	-1.1804
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	72302735	72351072	51	0.4874
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	72351338	103616762	19922	0.0025
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	103620877	103717410	5	1.5782
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	103717617	105470754	917	0.0046
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	105476583	105479753	17	0.9077
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	105481433	108203129	1948	-0.0125
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	108203740	108310972	10	0.8563
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	108311187	109684893	673	-0.0198
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	109690352	109703508	15	-0.6578
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	109707613	112147704	1928	0.0144
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	112153343	112154165	12	-0.9395
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	112154204	143541857	5159	0.0119
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	143545399	143754062	110	-0.7896
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	143754077	152583291	2319	0.0368
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	152583319	152614118	33	-1.8481
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	152618018	152789447	166	-0.0179
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	152789463	152796224	36	-1.5775
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	152801429	161968102	5464	0.0029
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	161972701	161972719	2	1.7732
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	161973268	169028126	5575	0.0033
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	169033687	169038604	2	-1.9781
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	169039274	169247699	178	0.02
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	169264736	169272528	7	-2.152
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	169273163	174827267	3504	0.0037
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	174827418	174828177	6	-1.1353
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	174828195	196740630	14600	0.0062
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	196741937	196846661	65	0.8444
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	196847600	234023715	25092	0.0025
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	234024360	234024532	2	-2.7883
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	234025053	240227947	4682	0.001
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	240228440	240232805	8	0.8905
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	240234728	241042133	618	0.0101
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	241042311	241042374	2	2.1771
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	241045696	243143622	1516	0.0082
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	243144364	243187175	14	0.9614
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	1	243189078	248930189	3680	0.0376
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	12784	4158097	2977	0.0004
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	4166274	4175922	37	-0.7614
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	4175977	7499242	2891	0.0059
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	7502934	7506841	2	1.6959
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	7506876	9037075	1117	0.0082
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	9045183	9045247	2	-2.298
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	9048359	34466002	16966	0.0078
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	34474248	34498023	34	0.5271
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	34498136	37687787	2394	0.0048
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	37688780	37688917	2	2.2393
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	37689362	75606187	25364	0.0107
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	75607167	75654032	57	0.4341
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	75654151	86897011	7063	0.0078
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	86901078	87892388	143	0.5356
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	87894092	89897956	650	-0.0101
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	89920951	89960252	6	1.0916
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	89963133	97115122	1007	0.0149
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	97115744	97662587	100	0.2694
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	97665171	106263639	5507	0.0064
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	106264257	106268901	11	-1.7473
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	106270799	128881442	13348	0.0085
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	128881478	128881496	2	2.4139
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	128881653	133175612	2258	0.015
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	133175890	133177476	4	1.7317
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	133179336	152881026	12278	0.0038
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	152881384	152885805	2	-1.7724
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	152886244	179548644	16268	0.0051
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	179553484	179557410	30	-1.0099
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	179560916	184451949	3154	0.0051
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	184452153	184455332	4	1.6595
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	184460792	208189585	13625	0.007
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	208190524	208195839	3	1.809
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	2	208198537	242147305	21584	-0.0031
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	20930	26570158	19904	0.0153
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	26570176	26570394	4	-2.4109
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	26570407	26570675	7	0.6833
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	26571710	46751887	13110	0.004
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	46760327	46808099	40	-0.9351
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	46817989	68697013	14500	0.0062
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	68697108	68698262	14	0.8008
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	68699607	84053071	9586	-0.003
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	84056282	84057015	2	-3.8485
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	84061816	89336737	3000	-0.0037
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	89337324	89360887	34	0.4428
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	89360979	130067366	21911	0.0009
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	130067443	130087393	31	-1.9568
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	130088081	133306023	2116	-0.0127
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	133306038	133306189	4	1.7487
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	133306330	161797809	17383	0.0074
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	161797839	161797861	2	2.0741
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	161798156	172285320	6246	0.0016
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	172285336	172286880	3	1.757
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	172287255	172555565	210	0.0092
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	172556726	172557750	3	-1.0563
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	172558106	172594657	24	0.0542
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	172594988	172599832	9	0.5201
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	172600018	173536694	592	0.0001
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	173540076	173571809	15	0.8267
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	173571890	193162798	12739	0.0075
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	193162937	193165114	11	1.8419
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	3	193168646	198169247	2674	0.0123
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	68929	721147	246	-0.0153
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	729225	888855	66	-0.3146
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	895149	9455251	4807	-0.0127
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	9459504	9477699	6	-1.4325
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	9484440	10208766	538	-0.0194
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	10212536	10233542	34	1.3072
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	10233558	10390730	173	-0.0459
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	10391530	10399044	15	-2.5579
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	10401094	10954948	422	0.0082
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	10954965	10956339	2	-1.4805
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	10957630	17534237	5130	-0.0006
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	17535247	17535416	2	2.107
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	17535448	20561062	1839	-0.0014
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	20561077	20567066	18	0.5185
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	20567270	26287196	4082	-0.0002
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	26290363	26293044	2	-3.937
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	26293552	63828222	21742	0.003
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	63831751	63842490	26	0.6585
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	63842505	68478894	2859	0.0046
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	68494770	68671434	73	0.6996
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	68674307	69166653	271	0.0083
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	69167082	69376311	98	0.2982
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	69377178	95325355	15854	-0.0048
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	95325587	95327944	16	-0.6935
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	95330552	103294549	4690	0.0113
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	103296943	103296945	3	1.8725
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	103298947	103824414	363	-0.0049
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	103830473	103830480	5	1.703
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	103830487	137171041	19480	0.0016
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	137171085	137173804	15	-0.9158
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	137173818	160120152	14003	-0.0059
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	160131622	160149615	38	-1.0646
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	160149637	169925229	6279	0.0055
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	169925402	169925890	2	-1.8761
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	169926381	171448195	967	0.0041
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	171453733	171456307	9	2.054
73d11a28-8b9d-4d7b-a637-77e19fd3b0a0	4	171456559	186893455	10388	0.0078
