GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-44-2661-01A-01D-1103-02	chr1	17001	807000	43	-1.483207
TCGA-44-2661-01A-01D-1103-02	chr1	809001	3656000	2645	-0.255383
TCGA-44-2661-01A-01D-1103-02	chr1	3656001	7412000	3741	0.012115
TCGA-44-2661-01A-01D-1103-02	chr1	7412001	7417000	5	-29.918665
TCGA-44-2661-01A-01D-1103-02	chr1	7417001	12901000	5450	-0.072833
TCGA-44-2661-01A-01D-1103-02	chr1	12907001	12910000	2	-29.044316
TCGA-44-2661-01A-01D-1103-02	chr1	12910001	13332000	67	-0.295014
TCGA-44-2661-01A-01D-1103-02	chr1	13333001	13356000	16	-2.047788
TCGA-44-2661-01A-01D-1103-02	chr1	13356001	16577000	3183	-0.041190
TCGA-44-2661-01A-01D-1103-02	chr1	16577001	16589000	12	-3.541516
TCGA-44-2661-01A-01D-1103-02	chr1	16589001	16603000	7	-30.174555
TCGA-44-2661-01A-01D-1103-02	chr1	16604001	16730000	86	-0.618203
TCGA-44-2661-01A-01D-1103-02	chr1	16730001	16761000	6	-2.445465
TCGA-44-2661-01A-01D-1103-02	chr1	16764001	16783000	17	-0.741936
TCGA-44-2661-01A-01D-1103-02	chr1	16783001	16784000	1	-30.257858
TCGA-44-2661-01A-01D-1103-02	chr1	16786001	16952000	98	-1.789819
TCGA-44-2661-01A-01D-1103-02	chr1	16952001	33672000	16566	-0.051021
TCGA-44-2661-01A-01D-1103-02	chr1	33672001	33678000	6	-2.862364
TCGA-44-2661-01A-01D-1103-02	chr1	33678001	45284000	11536	-0.022170
TCGA-44-2661-01A-01D-1103-02	chr1	45284001	46992000	1690	-0.274245
TCGA-44-2661-01A-01D-1103-02	chr1	46992001	46994000	2	-30.247695
TCGA-44-2661-01A-01D-1103-02	chr1	46994001	47052000	58	-0.122342
TCGA-44-2661-01A-01D-1103-02	chr1	47052001	47057000	5	-1.616673
TCGA-44-2661-01A-01D-1103-02	chr1	47057001	49007000	1930	-0.193217
TCGA-44-2661-01A-01D-1103-02	chr1	49009001	49012000	2	-29.368896
TCGA-44-2661-01A-01D-1103-02	chr1	49012001	49387000	373	-0.142767
TCGA-44-2661-01A-01D-1103-02	chr1	49387001	49789000	402	0.077268
TCGA-44-2661-01A-01D-1103-02	chr1	49789001	49795000	6	-0.930681
TCGA-44-2661-01A-01D-1103-02	chr1	49795001	50766000	966	-0.173815
TCGA-44-2661-01A-01D-1103-02	chr1	50766001	50888000	121	0.169690
TCGA-44-2661-01A-01D-1103-02	chr1	50888001	50890000	2	-29.012004
TCGA-44-2661-01A-01D-1103-02	chr1	50890001	52169000	1278	-0.281374
TCGA-44-2661-01A-01D-1103-02	chr1	52169001	52177000	8	-1.708522
TCGA-44-2661-01A-01D-1103-02	chr1	52177001	56613000	4418	-0.263565
TCGA-44-2661-01A-01D-1103-02	chr1	56613001	60511000	3872	-0.199026
TCGA-44-2661-01A-01D-1103-02	chr1	60511001	60514000	3	-29.194081
TCGA-44-2661-01A-01D-1103-02	chr1	60514001	62833000	2315	-0.247235
TCGA-44-2661-01A-01D-1103-02	chr1	62833001	62839000	6	-0.594675
TCGA-44-2661-01A-01D-1103-02	chr1	62839001	64274000	1428	-0.275305
TCGA-44-2661-01A-01D-1103-02	chr1	64274001	64280000	6	-28.838014
TCGA-44-2661-01A-01D-1103-02	chr1	64280001	65542000	1257	-0.237343
TCGA-44-2661-01A-01D-1103-02	chr1	65542001	65550000	8	-2.404202
TCGA-44-2661-01A-01D-1103-02	chr1	65550001	65886000	327	-0.178739
TCGA-44-2661-01A-01D-1103-02	chr1	65886001	66779000	888	-0.174806
TCGA-44-2661-01A-01D-1103-02	chr1	66779001	66790000	11	-1.318313
TCGA-44-2661-01A-01D-1103-02	chr1	66790001	66832000	39	-0.067414
TCGA-44-2661-01A-01D-1103-02	chr1	66832001	66836000	4	-0.530404
TCGA-44-2661-01A-01D-1103-02	chr1	66836001	68924000	2075	-0.201361
TCGA-44-2661-01A-01D-1103-02	chr1	68924001	68931000	7	-28.339896
TCGA-44-2661-01A-01D-1103-02	chr1	68931001	69019000	88	-0.092817
TCGA-44-2661-01A-01D-1103-02	chr1	69019001	69020000	1	-28.773488
TCGA-44-2661-01A-01D-1103-02	chr1	69020001	69856000	834	-0.042710
TCGA-44-2661-01A-01D-1103-02	chr1	69856001	69858000	2	-29.575360
TCGA-44-2661-01A-01D-1103-02	chr1	69858001	69923000	60	0.000606
TCGA-44-2661-01A-01D-1103-02	chr1	69923001	69925000	2	-28.701521
TCGA-44-2661-01A-01D-1103-02	chr1	69925001	70596000	670	-0.188517
TCGA-44-2661-01A-01D-1103-02	chr1	70597001	70602000	4	-29.440504
TCGA-44-2661-01A-01D-1103-02	chr1	70602001	71216000	611	-0.131971
TCGA-44-2661-01A-01D-1103-02	chr1	71216001	71222000	6	-29.092288
TCGA-44-2661-01A-01D-1103-02	chr1	71222001	72039000	804	0.022768
TCGA-44-2661-01A-01D-1103-02	chr1	72039001	72044000	5	-28.557356
TCGA-44-2661-01A-01D-1103-02	chr1	72044001	72054000	10	1.291275
TCGA-44-2661-01A-01D-1103-02	chr1	72054001	72057000	3	-28.107160
TCGA-44-2661-01A-01D-1103-02	chr1	72057001	72388000	286	0.273017
TCGA-44-2661-01A-01D-1103-02	chr1	72388001	72392000	4	-1.300568
TCGA-44-2661-01A-01D-1103-02	chr1	72392001	73239000	843	0.130355
TCGA-44-2661-01A-01D-1103-02	chr1	73239001	73241000	2	-28.703867
