GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CG-4476-01A-01D-1154-02	chr1	17001	817000	49	-1.139770
TCGA-CG-4476-01A-01D-1154-02	chr1	818001	901000	79	-0.116654
TCGA-CG-4476-01A-01D-1154-02	chr1	901001	1753000	786	0.235564
TCGA-CG-4476-01A-01D-1154-02	chr1	1753001	4859000	2967	0.363756
TCGA-CG-4476-01A-01D-1154-02	chr1	4859001	4867000	8	-1.002412
TCGA-CG-4476-01A-01D-1154-02	chr1	4867001	5045000	178	0.395450
TCGA-CG-4476-01A-01D-1154-02	chr1	5045001	5053000	8	-0.709252
TCGA-CG-4476-01A-01D-1154-02	chr1	5053001	6161000	1104	0.431207
TCGA-CG-4476-01A-01D-1154-02	chr1	6161001	12780000	6611	0.386296
TCGA-CG-4476-01A-01D-1154-02	chr1	12780001	13057000	99	-0.656516
TCGA-CG-4476-01A-01D-1154-02	chr1	13057001	13312000	50	-0.349240
TCGA-CG-4476-01A-01D-1154-02	chr1	13313001	13345000	22	-2.109047
TCGA-CG-4476-01A-01D-1154-02	chr1	13345001	13366000	14	-1.593180
TCGA-CG-4476-01A-01D-1154-02	chr1	13366001	14062000	695	-0.114819
TCGA-CG-4476-01A-01D-1154-02	chr1	14062001	14382000	319	-0.037372
TCGA-CG-4476-01A-01D-1154-02	chr1	14382001	14389000	7	-2.587237
TCGA-CG-4476-01A-01D-1154-02	chr1	14389001	16507000	2111	-0.095069
TCGA-CG-4476-01A-01D-1154-02	chr1	16507001	16541000	32	-1.187781
TCGA-CG-4476-01A-01D-1154-02	chr1	16541001	16602000	31	-5.172299
TCGA-CG-4476-01A-01D-1154-02	chr1	16602001	16653000	50	-0.686488
TCGA-CG-4476-01A-01D-1154-02	chr1	16653001	16676000	3	-2.418426
TCGA-CG-4476-01A-01D-1154-02	chr1	16676001	16729000	33	-0.825463
TCGA-CG-4476-01A-01D-1154-02	chr1	16729001	16761000	7	-3.721380
TCGA-CG-4476-01A-01D-1154-02	chr1	16764001	16799000	25	-1.296779
TCGA-CG-4476-01A-01D-1154-02	chr1	16850001	16879000	19	-2.651792
TCGA-CG-4476-01A-01D-1154-02	chr1	16879001	16949000	69	-1.617271
TCGA-CG-4476-01A-01D-1154-02	chr1	16949001	25382000	8316	-0.082391
TCGA-CG-4476-01A-01D-1154-02	chr1	25382001	25424000	35	-0.827460
TCGA-CG-4476-01A-01D-1154-02	chr1	25424001	30577000	5130	-0.086029
TCGA-CG-4476-01A-01D-1154-02	chr1	30577001	30583000	6	-1.265414
TCGA-CG-4476-01A-01D-1154-02	chr1	30583001	33679000	3089	-0.071944
TCGA-CG-4476-01A-01D-1154-02	chr1	33679001	34093000	411	-0.023734
TCGA-CG-4476-01A-01D-1154-02	chr1	34093001	34096000	3	-29.426953
TCGA-CG-4476-01A-01D-1154-02	chr1	34098001	37208000	3096	-0.065708
TCGA-CG-4476-01A-01D-1154-02	chr1	37208001	37216000	8	-0.184929
TCGA-CG-4476-01A-01D-1154-02	chr1	37216001	38768000	1552	-0.066372
TCGA-CG-4476-01A-01D-1154-02	chr1	38768001	38771000	3	-3.231650
TCGA-CG-4476-01A-01D-1154-02	chr1	38771001	42058000	3250	-0.065503
TCGA-CG-4476-01A-01D-1154-02	chr1	42058001	42066000	8	-0.915175
TCGA-CG-4476-01A-01D-1154-02	chr1	42066001	43113000	1042	-0.028480
