GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d6bc958c-588a-4891-8bac-dec856238cc0	1	62920	777165	23	-0.3056
d6bc958c-588a-4891-8bac-dec856238cc0	1	783283	817186	9	0.7928
d6bc958c-588a-4891-8bac-dec856238cc0	1	822089	9255788	4608	-0.0066
d6bc958c-588a-4891-8bac-dec856238cc0	1	9266599	9344921	58	0.4582
d6bc958c-588a-4891-8bac-dec856238cc0	1	9346920	15823420	3599	0.001
d6bc958c-588a-4891-8bac-dec856238cc0	1	15827002	15828515	10	-1.1166
d6bc958c-588a-4891-8bac-dec856238cc0	1	15839166	16689764	333	0.021
d6bc958c-588a-4891-8bac-dec856238cc0	1	16718963	16721984	6	-0.6965
d6bc958c-588a-4891-8bac-dec856238cc0	1	16766762	16785682	11	0.2018
d6bc958c-588a-4891-8bac-dec856238cc0	1	16787932	16935737	57	-0.434
d6bc958c-588a-4891-8bac-dec856238cc0	1	16935752	25088630	5118	0.0106
d6bc958c-588a-4891-8bac-dec856238cc0	1	25089191	25090270	2	-1.64
d6bc958c-588a-4891-8bac-dec856238cc0	1	25092208	61648334	21454	0.0035
d6bc958c-588a-4891-8bac-dec856238cc0	1	61648509	61654306	5	-1.0558
d6bc958c-588a-4891-8bac-dec856238cc0	1	61654892	72297687	7222	0.0069
d6bc958c-588a-4891-8bac-dec856238cc0	1	72302735	72346221	48	-0.6747
d6bc958c-588a-4891-8bac-dec856238cc0	1	72346757	75585159	1916	-0.0115
d6bc958c-588a-4891-8bac-dec856238cc0	1	75589078	75589169	2	-2.3855
d6bc958c-588a-4891-8bac-dec856238cc0	1	75593824	109679105	21471	0
d6bc958c-588a-4891-8bac-dec856238cc0	1	109684695	109697556	14	-0.7017
d6bc958c-588a-4891-8bac-dec856238cc0	1	109702376	118526874	5966	0.0021
d6bc958c-588a-4891-8bac-dec856238cc0	1	118527257	118758124	150	-0.1588
d6bc958c-588a-4891-8bac-dec856238cc0	1	118758194	121601998	971	0.0048
d6bc958c-588a-4891-8bac-dec856238cc0	1	121705338	143942271	129	-0.7345
d6bc958c-588a-4891-8bac-dec856238cc0	1	144432083	146062439	179	0.002
d6bc958c-588a-4891-8bac-dec856238cc0	1	146150530	146250588	4	-1.0162
d6bc958c-588a-4891-8bac-dec856238cc0	1	146716041	152583051	2112	0.0115
d6bc958c-588a-4891-8bac-dec856238cc0	1	152583230	152614118	35	-1.9394
d6bc958c-588a-4891-8bac-dec856238cc0	1	152618018	152784062	161	-0.0041
d6bc958c-588a-4891-8bac-dec856238cc0	1	152784298	152805967	44	-0.4363
d6bc958c-588a-4891-8bac-dec856238cc0	1	152806050	193186662	26856	0.0025
d6bc958c-588a-4891-8bac-dec856238cc0	1	193187149	193187218	4	-1.3356
d6bc958c-588a-4891-8bac-dec856238cc0	1	193190593	196745743	2371	-0.0036
d6bc958c-588a-4891-8bac-dec856238cc0	1	196758720	196769638	7	0.6769
d6bc958c-588a-4891-8bac-dec856238cc0	1	196769652	196843377	52	0.0783
d6bc958c-588a-4891-8bac-dec856238cc0	1	196843400	196846661	2	-3.555
d6bc958c-588a-4891-8bac-dec856238cc0	1	196847600	199138525	1358	-0.0098
d6bc958c-588a-4891-8bac-dec856238cc0	1	199138574	199142393	4	-0.8781
d6bc958c-588a-4891-8bac-dec856238cc0	1	199142562	199143883	5	-2.7479
d6bc958c-588a-4891-8bac-dec856238cc0	1	199144712	248546369	33984	0.0025
d6bc958c-588a-4891-8bac-dec856238cc0	1	248550567	248645563	36	-0.7247
d6bc958c-588a-4891-8bac-dec856238cc0	1	248645808	248930189	139	0.0004
d6bc958c-588a-4891-8bac-dec856238cc0	2	12784	24376335	17807	-0.0009
d6bc958c-588a-4891-8bac-dec856238cc0	2	24376374	24388259	21	-0.605
d6bc958c-588a-4891-8bac-dec856238cc0	2	24388858	36108463	7283	-0.0003
d6bc958c-588a-4891-8bac-dec856238cc0	2	36109476	36112411	13	-0.7823
d6bc958c-588a-4891-8bac-dec856238cc0	2	36123960	41011095	3607	0.0035
d6bc958c-588a-4891-8bac-dec856238cc0	2	41011303	41018747	22	-0.532
d6bc958c-588a-4891-8bac-dec856238cc0	2	41024093	52527330	8125	0.0007
d6bc958c-588a-4891-8bac-dec856238cc0	2	52527342	52554404	39	0.8129
d6bc958c-588a-4891-8bac-dec856238cc0	2	52560811	55382715	2141	-0.0122
d6bc958c-588a-4891-8bac-dec856238cc0	2	55387390	55389140	2	-1.4471
d6bc958c-588a-4891-8bac-dec856238cc0	2	55391677	76618047	13294	0.0025
d6bc958c-588a-4891-8bac-dec856238cc0	2	76618155	76618300	4	-3.3514
d6bc958c-588a-4891-8bac-dec856238cc0	2	76620460	82835710	4096	-0.0012
d6bc958c-588a-4891-8bac-dec856238cc0	2	82837047	82838736	3	-1.108
d6bc958c-588a-4891-8bac-dec856238cc0	2	82841297	86710564	2214	0.006
d6bc958c-588a-4891-8bac-dec856238cc0	2	86725947	86726731	2	-1.7372
d6bc958c-588a-4891-8bac-dec856238cc0	2	86743283	88844255	677	-0.0067
d6bc958c-588a-4891-8bac-dec856238cc0	2	88844392	89253753	168	-0.1717
d6bc958c-588a-4891-8bac-dec856238cc0	2	89254398	130036283	20841	0
d6bc958c-588a-4891-8bac-dec856238cc0	2	130036310	130116915	13	0.6268
d6bc958c-588a-4891-8bac-dec856238cc0	2	130117303	146104517	9450	-0.001
d6bc958c-588a-4891-8bac-dec856238cc0	2	146106836	146109366	24	0.6278
d6bc958c-588a-4891-8bac-dec856238cc0	2	146120238	193823021	28625	-0.0012
d6bc958c-588a-4891-8bac-dec856238cc0	2	193825580	193829074	2	2.3116
