GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	17001	10434000	9444	-0.036386
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	10434001	16603000	5727	-0.021618
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	16604001	16647000	43	-0.218149
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	16647001	16868000	82	0.213359
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	16868001	16949000	80	-0.081620
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	16949001	24477000	7499	-0.013716
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	24477001	24482000	5	-0.066563
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	24482001	83564000	58567	-0.008741
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	83564001	83652000	88	0.091648
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	83652001	89009000	5304	0.016227
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	89009001	89014000	5	-0.050598
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	89014001	120574000	30524	0.002684
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	120671001	120911000	26	-0.814715
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	120921001	143227000	863	-0.073176
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	143227001	143237000	7	1.471928
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	143237001	161567000	13988	-0.100407
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	161567001	161573000	5	-0.286493
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	161591001	188868000	27057	-0.096781
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	188868001	188895000	27	-1.125360
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	188895001	189357000	462	-0.117712
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	189357001	189575000	216	-1.111425
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	189575001	223941000	33751	-0.099226
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	223942001	224015000	53	-0.276777
TCGA-CC-A7IJ-01A-41D-A915-36	chr1	224015001	248931000	24488	-0.107884
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	11001	649000	625	0.080681
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	649001	2946000	2240	0.050420
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	2946001	6256000	3278	0.086387
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	6256001	6262000	6	0.073688
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	6262001	8400000	2133	0.104029
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	8400001	9848000	1447	0.129943
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	9848001	10021000	172	0.166563
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	10021001	10996000	971	0.113085
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	11002001	12046000	1042	0.135893
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	12046001	13414000	1357	0.144665
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	13414001	18427000	4975	0.112885
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	18427001	20050000	1619	0.146011
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	20050001	25046000	4982	0.127375
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	25046001	27882000	2826	0.137297
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	27882001	29544000	1656	0.147299
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	29544001	37045000	7399	0.112837
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	37045001	40700000	3650	0.140399
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	40700001	40722000	22	-0.753574
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	40722001	41001000	279	0.115216
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	41001001	48433000	7389	0.141002
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	48433001	53941000	5454	0.097607
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	53941001	56392000	2447	0.135113
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	56392001	61005000	4581	0.097671
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	61005001	65970000	4956	0.132331
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	65970001	68123000	2146	0.096181
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	68123001	68788000	662	0.137616
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	68788001	75808000	6969	0.139171
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	75808001	78388000	2543	0.089549
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	78388001	83701000	5289	0.074757
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	83701001	92082000	5459	0.113071
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	92197001	93673000	27	0.506898
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	93810001	97547000	2638	0.107581
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	97547001	97552000	5	1.214519
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	97552001	100900000	3302	0.112342
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	100900001	102478000	1574	0.127361
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	102478001	112042000	8280	0.109925
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	112042001	113488000	1336	0.134165
TCGA-CC-A7IJ-01A-41D-A915-36	chr2	113488001	113505000	8	-1.951614
