GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	62920	10482064	5253	0.0254
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	10483779	10484989	5	-1.3425
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	10488805	12778601	1214	0.0113
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	12779433	13012913	35	0.3364
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	13110913	15162689	1384	0.0122
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	15163114	15167414	13	-0.719
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	15169338	16766922	766	0.0181
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	16767520	16788139	11	-0.8891
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	16855942	16921350	35	0.0877
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	16921391	16935302	18	0.4673
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	16935393	25266637	5265	0.0227
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	25269390	25320455	23	0.4641
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	25336819	59290269	19780	0.0172
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	59290420	71287145	8286	-0.0068
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	71288927	72297687	619	0.0218
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	72302735	72345465	48	-0.9043
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	72346221	99564325	17482	0.0011
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	99569993	99573694	8	-0.9167
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	99575903	104507740	2919	0.011
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	104507794	104512453	4	-1.1013
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	104512552	105470754	497	0.0148
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	105476583	105479753	17	-1.8199
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	105481433	109684893	2632	0.0047
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	109690352	109697556	13	0.7256
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	109702376	110833598	836	0.0029
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	110834746	110845604	39	-0.697
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	110849445	143582192	6283	0.0047
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	143586758	143708229	51	0.2678
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	143709115	152588065	2370	0.0097
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	152588392	152588407	2	-2.3428
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	152598693	152784298	188	0.0786
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	152784330	152806100	46	-0.3429
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	152806341	166579136	9199	0.0076
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	166582964	166583858	6	-1.055
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	166584258	179764660	8917	0.0012
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	179764724	179764774	2	-1.9221
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	179765669	189323104	6317	0.0091
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	189323178	189323664	2	-1.8534
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	189333884	190395090	777	0.0125
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	190399453	190400839	5	-1.2539
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	190402172	193186662	1791	-0.0035
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	193187149	193187187	2	-1.3347
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	193187202	196762956	2399	0.0057
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	196769493	196846661	57	-0.4588
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	196847600	198907465	1214	0.0029
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	198907683	198907729	2	-2.0766
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	198909218	199138096	152	-0.014
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	199138424	199145262	15	-0.5816
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	199145619	248572774	34188	0.0065
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	248574146	248645808	35	-0.5623
14e67c23-80c4-4193-887f-5c57d5aaf1b9	1	248646068	248930189	139	0.0326
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	12784	40381231	28375	0.0088
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	40385644	40386349	3	-1.4818
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	40387528	44144582	2772	0.0016
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	44144674	44145770	2	-1.8764
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	44150623	52531615	5914	0.0052
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	52531630	52554236	26	0.4044
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	52554259	56490309	2877	-0.0111
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	56493751	56519389	32	0.5198
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	56522766	77746919	13358	0.005
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	77749572	77750100	7	-1.2189
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	77759556	86710564	5605	0.0127
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	86725947	86726731	2	2.0515
14e67c23-80c4-4193-887f-5c57d5aaf1b9	2	86743283	242147305	90279	0.0043
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	20930	24738775	18418	0.0033
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	24740154	24743916	7	-1.0166
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	24747413	26547373	1546	0.0129
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	26549797	26573486	24	-0.4868
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	26574458	60854729	21528	0.007
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	60855786	60857549	6	-0.9819
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	60858067	62685619	1525	0.0054
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	62686039	62709238	49	-1.0134
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	62712575	68697108	4608	0.0069
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	68697133	68698262	13	0.6996
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	68699607	137309121	39117	0.004
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	137311987	137324378	28	-0.7352
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	137328545	162790480	15738	0.001
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	162794869	162908784	71	-0.3896
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	162908815	195729177	20676	0.002
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	195730018	195747892	11	0.6494
14e67c23-80c4-4193-887f-5c57d5aaf1b9	3	195751823	198169247	1164	0.0027
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	68929	8722817	5087	0.0238
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	9370577	9508238	72	0.5273
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	9516340	23278352	10057	0.003
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	23278490	23278497	2	-2.4625
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	23278812	33377514	6678	0.0158
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	33383283	33384564	10	-0.8086
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	33386731	34777432	762	0.0168
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	34784878	34823103	38	0.4799
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	34828250	44321815	6179	-0.0021
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	44324250	44328954	9	-1.1439
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	44329876	68378716	13219	0.0062
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	68389352	68674307	94	0.4391
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	68686026	69072107	200	0.0121
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	69074404	69074528	3	-1.4374
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	69075436	69257792	104	-0.1094
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	69261926	69366081	54	-1.941
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	69366304	69436657	41	-0.2787
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	69436722	71079443	971	0.0249
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	71080237	71082747	5	-0.9576
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	71084739	76872219	3595	0.0041
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	76872222	76872625	3	-1.6755
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	76872676	79894207	2005	0.0103
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	79895196	79930322	26	0.6094
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	79933096	89655812	6011	-0.0062
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	89664279	89666416	2	-2.7719
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	89666820	114258287	14634	-0.0042
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	114258300	114261019	10	0.6931
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	114263073	135587242	12315	0.0009
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	135587460	135590764	3	-1.372
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	135590867	143857763	5332	0.0037
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	143857899	143979436	36	-0.7243
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	143980290	150955157	3891	-0.007
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	150955173	150963154	25	-0.5547
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	150963158	171448195	12997	-0.0014
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	171453733	171456625	12	1.2923
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	171459220	178318447	4179	0.0045
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	178320828	178324622	2	-3.5513
14e67c23-80c4-4193-887f-5c57d5aaf1b9	4	178325820	190106768	8284	0.0072
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	15532	1894165	923	0.104
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	1897256	9331736	6574	0.0145
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	9332282	9345549	10	-0.5814
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	9345651	15719113	4652	0.0031
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	15719241	15720488	10	-0.8209
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	15723237	34559070	11601	0.0117
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	34562831	34577764	21	0.4566
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	34578497	55643243	10254	0.0026
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	55648434	55648442	2	-2.1651
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	55652905	58025819	1658	-0.0065
14e67c23-80c4-4193-887f-5c57d5aaf1b9	5	58030200	58037466	30	-0.5023
