GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dcb7775c-ac58-4dda-a650-7520af95ecca	1	62920	462894	19	0.461
dcb7775c-ac58-4dda-a650-7520af95ecca	1	599171	3225052	688	-0.0145
dcb7775c-ac58-4dda-a650-7520af95ecca	1	3226231	12797714	5784	-0.3053
dcb7775c-ac58-4dda-a650-7520af95ecca	1	12797904	13383455	43	0.0139
dcb7775c-ac58-4dda-a650-7520af95ecca	1	13388993	15827002	1805	-0.3075
dcb7775c-ac58-4dda-a650-7520af95ecca	1	15827041	15828515	9	0.4858
dcb7775c-ac58-4dda-a650-7520af95ecca	1	15839166	16477846	282	-0.2765
dcb7775c-ac58-4dda-a650-7520af95ecca	1	16480031	17014383	154	-0.0596
dcb7775c-ac58-4dda-a650-7520af95ecca	1	17014743	25256850	5238	-0.2968
dcb7775c-ac58-4dda-a650-7520af95ecca	1	25266637	25320455	24	0.529
dcb7775c-ac58-4dda-a650-7520af95ecca	1	25336819	34638226	4962	-0.3028
dcb7775c-ac58-4dda-a650-7520af95ecca	1	34638263	34638890	9	-1.1353
dcb7775c-ac58-4dda-a650-7520af95ecca	1	34648667	72303233	23774	-0.2892
dcb7775c-ac58-4dda-a650-7520af95ecca	1	72303253	72346757	47	-1.3607
dcb7775c-ac58-4dda-a650-7520af95ecca	1	72351072	85934070	8860	-0.291
dcb7775c-ac58-4dda-a650-7520af95ecca	1	85934130	89009572	2076	-0.0667
dcb7775c-ac58-4dda-a650-7520af95ecca	1	89012275	89012522	2	-3.0355
dcb7775c-ac58-4dda-a650-7520af95ecca	1	89015841	94142051	3094	-0.0757
dcb7775c-ac58-4dda-a650-7520af95ecca	1	94143690	94144631	6	-0.9794
dcb7775c-ac58-4dda-a650-7520af95ecca	1	94144839	105458950	6909	-0.0939
dcb7775c-ac58-4dda-a650-7520af95ecca	1	105458984	105481433	23	-0.5615
dcb7775c-ac58-4dda-a650-7520af95ecca	1	105481448	109684893	2636	-0.0834
dcb7775c-ac58-4dda-a650-7520af95ecca	1	109690352	109697556	13	-1.034
dcb7775c-ac58-4dda-a650-7520af95ecca	1	109702376	110833598	836	-0.1022
dcb7775c-ac58-4dda-a650-7520af95ecca	1	110834746	110845604	39	-0.9516
dcb7775c-ac58-4dda-a650-7520af95ecca	1	110849445	112153651	1080	-0.0915
dcb7775c-ac58-4dda-a650-7520af95ecca	1	112153686	112154768	21	0.3304
dcb7775c-ac58-4dda-a650-7520af95ecca	1	112163334	113968536	1055	-0.1092
dcb7775c-ac58-4dda-a650-7520af95ecca	1	113970317	144442342	4240	0.0538
dcb7775c-ac58-4dda-a650-7520af95ecca	1	144445555	152787202	2511	-0.0995
dcb7775c-ac58-4dda-a650-7520af95ecca	1	152789447	152796224	37	0.5493
dcb7775c-ac58-4dda-a650-7520af95ecca	1	152801429	153219036	326	-0.1179
dcb7775c-ac58-4dda-a650-7520af95ecca	1	153219601	165940352	8455	0.0597
dcb7775c-ac58-4dda-a650-7520af95ecca	1	165940929	172608537	4814	0.1485
dcb7775c-ac58-4dda-a650-7520af95ecca	1	172617264	179470495	4387	0.1056
dcb7775c-ac58-4dda-a650-7520af95ecca	1	179476998	188931250	6252	0.1423
dcb7775c-ac58-4dda-a650-7520af95ecca	1	188931760	196832720	5297	0.0971
dcb7775c-ac58-4dda-a650-7520af95ecca	1	196843377	196854187	5	1.0775
dcb7775c-ac58-4dda-a650-7520af95ecca	1	196854483	199525316	1661	0.0953
dcb7775c-ac58-4dda-a650-7520af95ecca	1	199525442	208359416	5860	0.0398
dcb7775c-ac58-4dda-a650-7520af95ecca	1	208360316	211121537	2157	0.0834
dcb7775c-ac58-4dda-a650-7520af95ecca	1	211126722	214428906	2165	0.0254
dcb7775c-ac58-4dda-a650-7520af95ecca	1	214428956	215367220	716	0.0932
dcb7775c-ac58-4dda-a650-7520af95ecca	1	215368173	222607088	5051	0.0307
dcb7775c-ac58-4dda-a650-7520af95ecca	1	222607921	225201788	1587	0.1463
dcb7775c-ac58-4dda-a650-7520af95ecca	1	225203231	225488628	195	0.2189
dcb7775c-ac58-4dda-a650-7520af95ecca	1	225488869	225489612	8	0.5847
dcb7775c-ac58-4dda-a650-7520af95ecca	1	225496273	225812220	174	0.1641
dcb7775c-ac58-4dda-a650-7520af95ecca	1	225812277	225903464	57	0.3388
dcb7775c-ac58-4dda-a650-7520af95ecca	1	225906627	232395807	4244	0.1481
dcb7775c-ac58-4dda-a650-7520af95ecca	1	232396030	235315493	2286	0.0187
dcb7775c-ac58-4dda-a650-7520af95ecca	1	235319177	240516326	4059	-0.0085
dcb7775c-ac58-4dda-a650-7520af95ecca	1	240516370	242637069	1617	-0.0635
dcb7775c-ac58-4dda-a650-7520af95ecca	1	242637492	244850505	1367	-0.0091
dcb7775c-ac58-4dda-a650-7520af95ecca	1	244851912	248930189	2618	-0.1616
dcb7775c-ac58-4dda-a650-7520af95ecca	2	12784	29443	8	-0.0063
dcb7775c-ac58-4dda-a650-7520af95ecca	2	29630	5346077	3957	0.1896
dcb7775c-ac58-4dda-a650-7520af95ecca	2	5346176	7111920	1631	0.1426
dcb7775c-ac58-4dda-a650-7520af95ecca	2	7112078	12886948	4297	0.1957
dcb7775c-ac58-4dda-a650-7520af95ecca	2	12887006	13844585	588	0.3772
dcb7775c-ac58-4dda-a650-7520af95ecca	2	13846099	13846179	2	-1.1507
dcb7775c-ac58-4dda-a650-7520af95ecca	2	13847748	15713498	1397	0.376
dcb7775c-ac58-4dda-a650-7520af95ecca	2	15714476	16824773	819	0.2709
dcb7775c-ac58-4dda-a650-7520af95ecca	2	16827091	19167925	1795	0.3572
dcb7775c-ac58-4dda-a650-7520af95ecca	2	19168317	23056173	2640	0.3879
dcb7775c-ac58-4dda-a650-7520af95ecca	2	23056889	30665480	4451	0.3498
dcb7775c-ac58-4dda-a650-7520af95ecca	2	30666295	34458223	2506	0.289
dcb7775c-ac58-4dda-a650-7520af95ecca	2	34460213	34511990	48	-0.0034
dcb7775c-ac58-4dda-a650-7520af95ecca	2	34512096	36206545	1243	0.2921
dcb7775c-ac58-4dda-a650-7520af95ecca	2	36207539	38252195	1645	0.3302
dcb7775c-ac58-4dda-a650-7520af95ecca	2	38255782	52527330	10119	0.2815
dcb7775c-ac58-4dda-a650-7520af95ecca	2	52527342	52527743	6	-1.367
dcb7775c-ac58-4dda-a650-7520af95ecca	2	52531615	52554404	33	-0.5617
dcb7775c-ac58-4dda-a650-7520af95ecca	2	52560811	85858022	21407	0.2979
dcb7775c-ac58-4dda-a650-7520af95ecca	2	85863363	97357159	2449	0.1963
dcb7775c-ac58-4dda-a650-7520af95ecca	2	97359380	97560849	17	-0.3862
dcb7775c-ac58-4dda-a650-7520af95ecca	2	97562741	98115472	252	0.1407
dcb7775c-ac58-4dda-a650-7520af95ecca	2	98115768	100450532	1397	0.3319
