GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2bf70b0a-c775-44ca-a691-0ac745d95553	1	62920	914637	58	0.4052
2bf70b0a-c775-44ca-a691-0ac745d95553	1	915307	3301765	680	-0.1484
2bf70b0a-c775-44ca-a691-0ac745d95553	1	3302046	15823420	7596	-0.0126
2bf70b0a-c775-44ca-a691-0ac745d95553	1	15827002	15828515	10	-0.6239
2bf70b0a-c775-44ca-a691-0ac745d95553	1	15839166	16459673	272	-0.0238
2bf70b0a-c775-44ca-a691-0ac745d95553	1	16467652	16679483	58	-0.2217
2bf70b0a-c775-44ca-a691-0ac745d95553	1	16685961	16721984	9	0.229
2bf70b0a-c775-44ca-a691-0ac745d95553	1	16766762	16863509	15	-0.3661
2bf70b0a-c775-44ca-a691-0ac745d95553	1	16864367	24675860	4927	-0.0022
2bf70b0a-c775-44ca-a691-0ac745d95553	1	24677200	24696559	19	-1.0721
2bf70b0a-c775-44ca-a691-0ac745d95553	1	24701576	25361785	409	-0.0409
2bf70b0a-c775-44ca-a691-0ac745d95553	1	25371978	25407761	12	0.5282
2bf70b0a-c775-44ca-a691-0ac745d95553	1	25419576	72284670	28697	0.0031
2bf70b0a-c775-44ca-a691-0ac745d95553	1	72290430	72297687	9	-0.7499
2bf70b0a-c775-44ca-a691-0ac745d95553	1	72302735	72346221	49	0.3295
2bf70b0a-c775-44ca-a691-0ac745d95553	1	72346757	82224461	6338	0.0088
2bf70b0a-c775-44ca-a691-0ac745d95553	1	82226232	82228239	2	-1.2756
2bf70b0a-c775-44ca-a691-0ac745d95553	1	82231454	87853317	3805	0.0063
2bf70b0a-c775-44ca-a691-0ac745d95553	1	87853334	87854900	2	-1.8266
2bf70b0a-c775-44ca-a691-0ac745d95553	1	87855060	89009452	785	0.0045
2bf70b0a-c775-44ca-a691-0ac745d95553	1	89009547	89015841	5	0.8525
2bf70b0a-c775-44ca-a691-0ac745d95553	1	89017933	105476614	10012	0.0094
