GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
93921098-d323-48a0-aa2e-db7825091564	1	62920	9529354	4819	0.0082
93921098-d323-48a0-aa2e-db7825091564	1	9536422	9536806	2	-2.2674
93921098-d323-48a0-aa2e-db7825091564	1	9542315	16637050	3843	0.0152
93921098-d323-48a0-aa2e-db7825091564	1	16637228	16863509	41	0.4289
93921098-d323-48a0-aa2e-db7825091564	1	16864367	47599666	17492	0.0103
93921098-d323-48a0-aa2e-db7825091564	1	47605484	47605505	2	-2.314
93921098-d323-48a0-aa2e-db7825091564	1	47605676	65415774	12080	0.0174
93921098-d323-48a0-aa2e-db7825091564	1	65419674	65459666	22	-0.3618
93921098-d323-48a0-aa2e-db7825091564	1	65460164	72293826	4480	0.0252
93921098-d323-48a0-aa2e-db7825091564	1	72293841	72345465	52	0.5509
93921098-d323-48a0-aa2e-db7825091564	1	72346221	93646157	13664	0.0178
93921098-d323-48a0-aa2e-db7825091564	1	93651867	93651876	2	-3.2084
93921098-d323-48a0-aa2e-db7825091564	1	93651916	109690352	9946	0.0161
93921098-d323-48a0-aa2e-db7825091564	1	109690415	109697556	12	-0.73
93921098-d323-48a0-aa2e-db7825091564	1	109702376	110823480	825	0.014
93921098-d323-48a0-aa2e-db7825091564	1	110827750	110828115	6	0.7453
93921098-d323-48a0-aa2e-db7825091564	1	110831471	112154375	1135	0.0096
93921098-d323-48a0-aa2e-db7825091564	1	112154390	112154619	6	0.8894
93921098-d323-48a0-aa2e-db7825091564	1	112154754	143710242	5247	0.0178
93921098-d323-48a0-aa2e-db7825091564	1	143710767	143921397	38	0.438
93921098-d323-48a0-aa2e-db7825091564	1	143927536	146062439	183	0.0162
93921098-d323-48a0-aa2e-db7825091564	1	146150530	146250588	4	-1.1293
93921098-d323-48a0-aa2e-db7825091564	1	146716041	152583230	2133	0.0182
93921098-d323-48a0-aa2e-db7825091564	1	152583291	152613762	30	-1.48
93921098-d323-48a0-aa2e-db7825091564	1	152613802	152789962	179	0.0252
93921098-d323-48a0-aa2e-db7825091564	1	152789978	152790414	6	0.4432
93921098-d323-48a0-aa2e-db7825091564	1	152790427	152794991	6	1.0504
93921098-d323-48a0-aa2e-db7825091564	1	152795006	152806050	20	0.3812
93921098-d323-48a0-aa2e-db7825091564	1	152806082	161533104	5253	0.0209
93921098-d323-48a0-aa2e-db7825091564	1	161539001	161686708	21	0.4762
93921098-d323-48a0-aa2e-db7825091564	1	161688868	174827267	9526	0.0133
93921098-d323-48a0-aa2e-db7825091564	1	174827418	174828177	6	-1.0036
93921098-d323-48a0-aa2e-db7825091564	1	174828195	175051170	123	-0.0283
93921098-d323-48a0-aa2e-db7825091564	1	175051406	175061984	10	-0.592
93921098-d323-48a0-aa2e-db7825091564	1	175069235	190006008	10052	0.0164
93921098-d323-48a0-aa2e-db7825091564	1	190006347	190006368	3	1.1895
93921098-d323-48a0-aa2e-db7825091564	1	190006394	196729112	4439	0.0213
93921098-d323-48a0-aa2e-db7825091564	1	196729142	196780051	44	0.3739
93921098-d323-48a0-aa2e-db7825091564	1	196780087	196843377	34	0.7141
93921098-d323-48a0-aa2e-db7825091564	1	196843400	196846661	2	-2.625
93921098-d323-48a0-aa2e-db7825091564	1	196847600	196980132	88	0.5266
93921098-d323-48a0-aa2e-db7825091564	1	196981143	248930189	35717	0.0139
93921098-d323-48a0-aa2e-db7825091564	2	12784	34295406	23993	0.0084
93921098-d323-48a0-aa2e-db7825091564	2	34298911	34300513	2	-2.2223
93921098-d323-48a0-aa2e-db7825091564	2	34300900	40699589	4685	0.0203
93921098-d323-48a0-aa2e-db7825091564	2	40700235	40724376	35	-0.9009
93921098-d323-48a0-aa2e-db7825091564	2	40724527	52516787	8423	0.0143
93921098-d323-48a0-aa2e-db7825091564	2	52527330	52531630	9	0.9129
93921098-d323-48a0-aa2e-db7825091564	2	52531652	52537091	8	0.4517
93921098-d323-48a0-aa2e-db7825091564	2	52537117	52554404	23	0.9466
93921098-d323-48a0-aa2e-db7825091564	2	52560811	87117615	22002	0.0101
93921098-d323-48a0-aa2e-db7825091564	2	87134049	87835245	118	-0.634
93921098-d323-48a0-aa2e-db7825091564	2	87853065	97359885	1727	0.0258
93921098-d323-48a0-aa2e-db7825091564	2	97524284	97545726	9	0.9119
93921098-d323-48a0-aa2e-db7825091564	2	97550415	114756023	10067	0.0062
93921098-d323-48a0-aa2e-db7825091564	2	114769331	114778899	20	-0.8826
93921098-d323-48a0-aa2e-db7825091564	2	114781479	114781818	7	0.0135
93921098-d323-48a0-aa2e-db7825091564	2	114782002	114785021	16	0.7665
93921098-d323-48a0-aa2e-db7825091564	2	114785037	128881408	8864	0.0158
93921098-d323-48a0-aa2e-db7825091564	2	128881423	128882741	8	-0.9234
