GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CV-7568-01A-11D-A858-36	chr1	17001	968000	192	-0.242606
TCGA-CV-7568-01A-11D-A858-36	chr1	968001	1646000	650	-0.214976
TCGA-CV-7568-01A-11D-A858-36	chr1	1646001	1697000	43	-1.193874
TCGA-CV-7568-01A-11D-A858-36	chr1	1697001	2005000	281	-0.215782
TCGA-CV-7568-01A-11D-A858-36	chr1	2005001	2053000	48	-0.210487
TCGA-CV-7568-01A-11D-A858-36	chr1	2053001	2290000	233	-0.219522
TCGA-CV-7568-01A-11D-A858-36	chr1	2290001	2430000	139	-0.169121
TCGA-CV-7568-01A-11D-A858-36	chr1	2430001	4737000	2173	-0.233154
TCGA-CV-7568-01A-11D-A858-36	chr1	4737001	4778000	41	-0.282166
TCGA-CV-7568-01A-11D-A858-36	chr1	4778001	4839000	61	-0.248883
TCGA-CV-7568-01A-11D-A858-36	chr1	4839001	4877000	38	-0.257117
TCGA-CV-7568-01A-11D-A858-36	chr1	4877001	5164000	286	-0.244785
TCGA-CV-7568-01A-11D-A858-36	chr1	5164001	5258000	94	-0.226269
TCGA-CV-7568-01A-11D-A858-36	chr1	5258001	6276000	1015	-0.231674
TCGA-CV-7568-01A-11D-A858-36	chr1	6276001	6977000	701	-0.223612
TCGA-CV-7568-01A-11D-A858-36	chr1	6977001	7075000	98	-0.221559
TCGA-CV-7568-01A-11D-A858-36	chr1	7075001	7557000	481	-0.230168
TCGA-CV-7568-01A-11D-A858-36	chr1	7557001	7589000	32	-0.238114
TCGA-CV-7568-01A-11D-A858-36	chr1	7589001	7865000	276	-0.231739
TCGA-CV-7568-01A-11D-A858-36	chr1	7866001	7889000	23	-0.224408
TCGA-CV-7568-01A-11D-A858-36	chr1	7889001	8145000	256	-0.228976
TCGA-CV-7568-01A-11D-A858-36	chr1	8145001	8605000	458	-0.210095
TCGA-CV-7568-01A-11D-A858-36	chr1	8605001	9007000	402	-0.209855
TCGA-CV-7568-01A-11D-A858-36	chr1	9007001	9188000	178	-0.233869
TCGA-CV-7568-01A-11D-A858-36	chr1	9188001	11472000	2283	-0.220905
TCGA-CV-7568-01A-11D-A858-36	chr1	11472001	11614000	142	-0.223130
TCGA-CV-7568-01A-11D-A858-36	chr1	11614001	12088000	474	-0.217355
TCGA-CV-7568-01A-11D-A858-36	chr1	12088001	12123000	35	-0.200149
TCGA-CV-7568-01A-11D-A858-36	chr1	12123001	12885000	747	-0.223329
TCGA-CV-7568-01A-11D-A858-36	chr1	12885001	13122000	29	-0.219456
TCGA-CV-7568-01A-11D-A858-36	chr1	13170001	13173000	3	-29.674165
TCGA-CV-7568-01A-11D-A858-36	chr1	13224001	13878000	575	-0.234575
TCGA-CV-7568-01A-11D-A858-36	chr1	13878001	14027000	149	-0.231893
TCGA-CV-7568-01A-11D-A858-36	chr1	14027001	14073000	45	-0.235480
TCGA-CV-7568-01A-11D-A858-36	chr1	14073001	14467000	393	-0.224153
TCGA-CV-7568-01A-11D-A858-36	chr1	14467001	14518000	50	-0.225815
TCGA-CV-7568-01A-11D-A858-36	chr1	14518001	14653000	135	-0.253113
TCGA-CV-7568-01A-11D-A858-36	chr1	14653001	14735000	82	-0.245511
TCGA-CV-7568-01A-11D-A858-36	chr1	14735001	15022000	287	-0.238718
TCGA-CV-7568-01A-11D-A858-36	chr1	15022001	15096000	74	-0.249751
TCGA-CV-7568-01A-11D-A858-36	chr1	15096001	15456000	359	-0.228102
TCGA-CV-7568-01A-11D-A858-36	chr1	15456001	15669000	213	-0.223225
TCGA-CV-7568-01A-11D-A858-36	chr1	15669001	16367000	694	-0.211181
TCGA-CV-7568-01A-11D-A858-36	chr1	16367001	16652000	251	-0.135303
TCGA-CV-7568-01A-11D-A858-36	chr1	16652001	17104000	310	-0.139516
TCGA-CV-7568-01A-11D-A858-36	chr1	17104001	17203000	99	-0.207681
TCGA-CV-7568-01A-11D-A858-36	chr1	17203001	17232000	29	-0.200634
TCGA-CV-7568-01A-11D-A858-36	chr1	17232001	17348000	116	-0.198327
TCGA-CV-7568-01A-11D-A858-36	chr1	17348001	17380000	31	-0.196350
TCGA-CV-7568-01A-11D-A858-36	chr1	17380001	17841000	461	-0.244503
TCGA-CV-7568-01A-11D-A858-36	chr1	17841001	17939000	98	-0.254891
TCGA-CV-7568-01A-11D-A858-36	chr1	17939001	18489000	550	-0.239965
TCGA-CV-7568-01A-11D-A858-36	chr1	18489001	19007000	517	-0.216845
TCGA-CV-7568-01A-11D-A858-36	chr1	19007001	19660000	653	-0.213440
TCGA-CV-7568-01A-11D-A858-36	chr1	19660001	19725000	65	-0.236091
TCGA-CV-7568-01A-11D-A858-36	chr1	19725001	19903000	178	-0.228672
TCGA-CV-7568-01A-11D-A858-36	chr1	19903001	19949000	46	-0.230559
TCGA-CV-7568-01A-11D-A858-36	chr1	19949001	21497000	1531	-0.210565
TCGA-CV-7568-01A-11D-A858-36	chr1	21497001	21527000	30	-0.159463
TCGA-CV-7568-01A-11D-A858-36	chr1	21527001	22410000	878	-0.216037
