GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	62920	86341	11	-0.8436
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	98588	25256850	13997	-0.0207
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	25266637	25320198	22	0.6029
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	25320253	72297687	28726	-0.0126
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	72302735	72345465	47	-0.6148
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	72346221	103560608	19992	0.0068
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	103566616	103613109	20	0.5533
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	103613180	105470754	930	-0.0031
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	105476583	105479722	15	0.7038
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	105479738	109679105	2634	0.0129
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	109684695	109697533	14	-0.8131
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	109697556	112147704	1951	0.0247
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	112153343	112154768	25	0.3863
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	112163334	152784298	7795	-0.0094
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	152784330	152796224	40	-0.5176
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	152801429	196762956	29457	0.0094
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	196769493	196847600	58	-0.4162
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	1	196854187	248930189	35793	0.0089
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	12784	2013177	1322	-0.016
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	2018334	2020438	3	1.6241
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	2022814	4158097	1662	0.016
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	4166274	4175577	36	-0.9055
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	4175922	52527743	34104	-0.0015
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	52531615	52554404	33	-0.652
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	52560811	55512298	2223	0.0011
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	55512710	55514566	2	2.9599
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	55522465	107824280	28188	-0.0005
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	107830513	107864451	2	-1.9579
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	107875632	146104517	22811	0.0043
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	146106836	146109366	24	0.9767
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	2	146120238	242147305	59044	-0.0059
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	20930	37935926	27609	0.0051
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	37940617	37945615	19	-0.9763
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	37945651	41619085	2479	-0.0063
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	41622111	41622838	2	1.2782
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	41628256	46776750	3071	-0.0175
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	46790347	46790560	5	-0.9365
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	46790591	64442620	11354	-0.015
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	64446470	64449675	2	1.814
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	64451478	68697108	3216	-0.0128
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	68697133	68698178	11	-0.9181
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	68698213	75519398	4927	0.0115
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	75523398	75537654	6	0.8201
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	75546030	99218940	10965	-0.0003
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	99225614	99230457	35	-0.7155
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	99230464	100607461	747	0.0157
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	100621224	100723665	58	1.0006
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	100727772	119632551	11812	0.0076
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	119632739	119635091	4	-1.4205
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	119636564	120422996	456	0.0235
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	120426692	120426698	2	-1.2682
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	120426800	130067097	5630	0.0048
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	130067366	130079892	26	0.6171
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	130079938	149245189	11903	0.011
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	149245608	149250334	25	-0.9554
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	149253293	152973568	2414	0.0063
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	152973866	152975315	2	1.5045
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	152975675	162794951	5913	0.0045
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	162795304	162915819	86	-0.2234
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	162916357	192670445	18806	-0.0028
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	192670476	192672988	3	-1.4253
ea2ce3f2-d587-4a22-ac29-e1c1b1d17d1b	3	192674578	193155702	333	-0.006
