GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-CV-7406-01A-11D-2078-08	chr1	17001	187000	5	-1.382555
TCGA-CV-7406-01A-11D-2078-08	chr1	190001	771000	11	-0.386601
TCGA-CV-7406-01A-11D-2078-08	chr1	777001	1632000	821	0.495877
TCGA-CV-7406-01A-11D-2078-08	chr1	1636001	1731000	63	0.239342
TCGA-CV-7406-01A-11D-2078-08	chr1	1731001	3490000	1624	0.496202
TCGA-CV-7406-01A-11D-2078-08	chr1	3490001	4749000	1247	0.551709
TCGA-CV-7406-01A-11D-2078-08	chr1	4749001	7789000	3035	0.565967
TCGA-CV-7406-01A-11D-2078-08	chr1	7789001	7896000	106	-0.102539
TCGA-CV-7406-01A-11D-2078-08	chr1	7896001	8154000	258	-0.088322
TCGA-CV-7406-01A-11D-2078-08	chr1	8154001	8405000	251	-0.107787
TCGA-CV-7406-01A-11D-2078-08	chr1	8405001	8956000	549	-0.068980
TCGA-CV-7406-01A-11D-2078-08	chr1	8956001	8970000	14	-0.141956
TCGA-CV-7406-01A-11D-2078-08	chr1	8970001	8990000	20	-0.107078
TCGA-CV-7406-01A-11D-2078-08	chr1	8990001	9000000	10	-0.077067
TCGA-CV-7406-01A-11D-2078-08	chr1	9000001	9015000	15	-0.199212
TCGA-CV-7406-01A-11D-2078-08	chr1	9015001	9032000	17	-0.058944
TCGA-CV-7406-01A-11D-2078-08	chr1	9032001	9415000	380	-0.100957
TCGA-CV-7406-01A-11D-2078-08	chr1	9415001	9435000	20	-0.064251
TCGA-CV-7406-01A-11D-2078-08	chr1	9435001	9629000	194	-0.096241
TCGA-CV-7406-01A-11D-2078-08	chr1	9629001	10219000	589	-0.087400
TCGA-CV-7406-01A-11D-2078-08	chr1	10219001	10575000	356	-0.077247
TCGA-CV-7406-01A-11D-2078-08	chr1	10575001	10755000	180	-0.158438
TCGA-CV-7406-01A-11D-2078-08	chr1	10755001	11028000	273	-0.090726
TCGA-CV-7406-01A-11D-2078-08	chr1	11028001	11035000	7	-0.147891
TCGA-CV-7406-01A-11D-2078-08	chr1	11035001	11305000	270	-0.070328
TCGA-CV-7406-01A-11D-2078-08	chr1	11305001	11497000	192	-0.041352
TCGA-CV-7406-01A-11D-2078-08	chr1	11497001	11651000	154	-0.013347
TCGA-CV-7406-01A-11D-2078-08	chr1	11651001	11715000	64	-0.149070
TCGA-CV-7406-01A-11D-2078-08	chr1	11715001	11879000	164	-0.100753
TCGA-CV-7406-01A-11D-2078-08	chr1	11879001	12036000	157	-0.178931
TCGA-CV-7406-01A-11D-2078-08	chr1	12036001	12088000	52	-0.074142
TCGA-CV-7406-01A-11D-2078-08	chr1	12088001	12569000	481	-0.060211
TCGA-CV-7406-01A-11D-2078-08	chr1	12569001	12691000	122	-0.102685
TCGA-CV-7406-01A-11D-2078-08	chr1	12691001	12720000	29	0.035009
TCGA-CV-7406-01A-11D-2078-08	chr1	12720001	12814000	93	-0.059735
TCGA-CV-7406-01A-11D-2078-08	chr1	12814001	12839000	23	-0.229754
TCGA-CV-7406-01A-11D-2078-08	chr1	12839001	13105000	46	-0.532026
TCGA-CV-7406-01A-11D-2078-08	chr1	13105001	13122000	17	-0.016815
TCGA-CV-7406-01A-11D-2078-08	chr1	13170001	13248000	27	-0.747451
TCGA-CV-7406-01A-11D-2078-08	chr1	13300001	13347000	27	-3.093338
TCGA-CV-7406-01A-11D-2078-08	chr1	13349001	13485000	131	-0.173491
TCGA-CV-7406-01A-11D-2078-08	chr1	13485001	13509000	24	-0.113408
TCGA-CV-7406-01A-11D-2078-08	chr1	13509001	13544000	35	-0.217108
TCGA-CV-7406-01A-11D-2078-08	chr1	13544001	13619000	75	-0.100968
TCGA-CV-7406-01A-11D-2078-08	chr1	13619001	13663000	44	-0.191452
TCGA-CV-7406-01A-11D-2078-08	chr1	13663001	13841000	178	-0.048543
TCGA-CV-7406-01A-11D-2078-08	chr1	13841001	13877000	36	-0.038517
TCGA-CV-7406-01A-11D-2078-08	chr1	13877001	13898000	21	-0.000593
TCGA-CV-7406-01A-11D-2078-08	chr1	13898001	14119000	220	-0.047563
TCGA-CV-7406-01A-11D-2078-08	chr1	14119001	14145000	26	0.066705
TCGA-CV-7406-01A-11D-2078-08	chr1	14145001	14340000	194	0.013734
TCGA-CV-7406-01A-11D-2078-08	chr1	14340001	14822000	481	-0.043026
TCGA-CV-7406-01A-11D-2078-08	chr1	14822001	14855000	33	-0.040665
TCGA-CV-7406-01A-11D-2078-08	chr1	14855001	15299000	443	-0.081966
TCGA-CV-7406-01A-11D-2078-08	chr1	15299001	15373000	74	-0.034998
TCGA-CV-7406-01A-11D-2078-08	chr1	15373001	15426000	53	-0.109865
TCGA-CV-7406-01A-11D-2078-08	chr1	15426001	15683000	257	-0.077140
TCGA-CV-7406-01A-11D-2078-08	chr1	15683001	15704000	21	-0.130595
