GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	17001	16602000	15170	-0.106343
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	16602001	16652000	49	-0.009568
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	16652001	16864000	75	-0.048494
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	16864001	16949000	82	-0.683597
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	16949001	21988000	5017	-0.100555
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	21988001	22012000	23	-1.064873
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	22015001	29348000	7221	-0.110508
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	29348001	47151000	17689	-0.089866
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	47151001	62298000	15077	-0.073303
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	62298001	67779000	5445	-0.052042
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	67779001	72907000	5048	0.031091
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	72907001	72923000	16	-0.759598
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	72923001	74425000	1500	0.036356
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	74425001	76089000	1648	-0.762317
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	76089001	76226000	137	-0.747580
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	76226001	77678000	1443	-0.761051
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	77678001	78257000	573	-0.796509
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	78257001	79271000	1007	-0.753759
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	79271001	79336000	64	-0.722287
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	79336001	79348000	12	-0.821981
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	79348001	80747000	1392	-0.749667
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	80747001	80789000	42	-0.761687
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	80789001	81024000	225	-0.747667
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	81024001	81144000	120	-0.759067
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	81144001	81222000	78	-0.754039
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	81222001	81230000	8	-0.762377
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	81230001	81374000	144	-0.753679
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	81374001	81387000	13	-0.809722
TCGA-ZG-A9L0-01A-11D-A719-36	chr1	81387001	82371000	975	-0.762597
