GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	62920	3178267	678	-0.0743
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	3178562	3260916	46	-0.5457
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	3262734	12807820	5787	-0.1155
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	12807830	12855993	11	-0.7095
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	12867264	16679483	2159	-0.1145
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	16685961	16935752	78	0.2991
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	16949746	21298294	2934	-0.1121
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	21304987	21307474	2	-2.6874
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	21310303	25256850	2325	-0.1142
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	25266637	25318693	19	-1.948
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	25319167	25320455	5	-0.8794
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	25336819	30264526	2386	-0.1132
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	30265508	30268809	9	-1.2276
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	30269103	67841964	23629	-0.119
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	67842351	67844721	3	-1.2837
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	67845305	69485326	1003	-0.1188
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	69485782	69486105	2	-1.3068
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	69494453	72290430	1695	-0.1245
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	72290459	72351338	60	0.2804
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	72352916	112147704	25570	-0.1243
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	112153343	112154591	22	0.4415
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	112154619	112163591	15	0.0644
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	112163596	119575681	4723	-0.1262
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	119579180	119579315	2	0.96
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	119579520	121580012	417	-0.0671
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	121580531	143577488	34	0.2498
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	143582192	143748012	72	0.4151
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	143748074	143754062	15	1.1922
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	143754077	149913375	936	0.6135
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	149914031	152583051	1394	0.5385
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	152583230	152614118	35	-1.8615
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	152618018	152687773	80	0.6216
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	152688270	152787202	87	0.4885
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	152789447	152796224	37	-0.4055
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	152801429	156622710	1988	0.5319
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	156626307	158544724	1297	0.6921
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	158544739	158545295	9	0.1049
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	158547206	162129673	2340	0.6973
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	162132039	164510242	1870	0.5564
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	164510508	169247699	3782	0.6947
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	169264736	169272528	7	1.6194
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	169273163	171319538	1435	0.7088
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	171321081	171972568	442	0.639
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	171973348	171973643	2	-0.4389
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	171975278	172389027	266	0.6979
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	172393057	172396016	3	2.7463
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	172396190	244312527	48990	0.7097
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	244312832	244313453	2	-1.2708
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	244314592	248546369	2756	0.7077
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	248550567	248585893	4	-0.4351
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	248585918	248645808	33	1.017
a0e7baba-2986-4cce-97a0-747c0dba58a2	1	248646068	248930189	139	0.7871
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	12784	22688855	16853	-0.1406
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	22689630	22690202	3	-1.5041
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	22697714	34466002	7235	-0.1295
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	34474248	34511990	46	0.4982
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	34512096	44034862	7003	-0.1306
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	44038772	44082570	36	0.3397
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	44083370	50604596	4644	-0.1383
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	50610356	50610570	2	-2.016
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	50612068	52516787	1318	-0.1366
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	52527330	52554404	40	0.2819
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	52560811	52650878	61	-0.1374
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	52653613	52656459	3	-1.2723
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	52656571	68271786	10292	-0.1406
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	68274055	68335048	54	0.3912
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	68337518	69007514	466	-0.1203
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	69007779	114339213	22789	0.1497
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	114339222	116497271	1307	-0.1402
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	116497555	116755919	164	0.166
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	116758058	116780667	10	-0.53
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	116793371	125269998	5490	0.1563
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	125270257	125270457	2	-1.7398
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	125270889	135705261	6068	0.1422
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	135707248	135707572	3	-1.8979
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	135708286	143404165	5024	0.1414
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	143408041	143408358	2	-2.4383
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	143408657	146104517	1528	0.1183
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	146106836	146109366	24	0.7879
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	146120238	153368002	4476	0.1507
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	153368137	153568701	118	-0.1306
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	153568964	155715990	1259	0.162
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	155724196	155724217	2	-1.441
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	155724737	158071694	1284	0.1501
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	158073212	184324040	16438	-0.1521
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	184324724	222201966	22933	0.1352
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	222208049	235369257	8507	-0.1617
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	235375839	235376371	2	-1.8182
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	235376570	235887688	342	-0.178
a0e7baba-2986-4cce-97a0-747c0dba58a2	2	235892779	242147305	3722	0.143
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	20930	734952	609	-0.1434
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	735968	736560	2	-1.7219
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	738461	915277	120	-0.15
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	915718	916413	2	-1.6539
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	916917	5393278	4014	-0.1563
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	5394391	5394603	2	-1.958
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	5398438	20271633	10514	-0.1359
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	20273630	20286589	3	-1.478
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	20294420	26384700	4628	-0.1347
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	26392633	26397852	5	-1.3386
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	26404482	60151828	20973	-0.1314
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	60152164	60719457	605	0.4102
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	60723255	68697013	6329	-0.1274
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	68697108	68698262	14	-1.1552
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	68699607	70937857	1731	-0.1258
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	70939584	70984380	30	-1.1436
a0e7baba-2986-4cce-97a0-747c0dba58a2	3	70992538	131987852	34104	-0.129
