GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B0-5088-01A-01D-A97A-36	chr1	17001	16541000	15139	-0.017514
TCGA-B0-5088-01A-01D-A97A-36	chr1	16541001	16650000	78	0.523411
TCGA-B0-5088-01A-01D-A97A-36	chr1	16650001	16950000	160	-0.048034
TCGA-B0-5088-01A-01D-A97A-36	chr1	16950001	30265000	13173	-0.011383
TCGA-B0-5088-01A-01D-A97A-36	chr1	30265001	30272000	7	-0.127788
TCGA-B0-5088-01A-01D-A97A-36	chr1	30272001	122914000	89154	-0.003437
TCGA-B0-5088-01A-01D-A97A-36	chr1	122922001	122923000	1	-8.120151
TCGA-B0-5088-01A-01D-A97A-36	chr1	122925001	122937000	4	1.254400
TCGA-B0-5088-01A-01D-A97A-36	chr1	122948001	122949000	1	-4.910093
TCGA-B0-5088-01A-01D-A97A-36	chr1	122998001	143536000	592	-0.076709
TCGA-B0-5088-01A-01D-A97A-36	chr1	143536001	143938000	239	-0.856285
TCGA-B0-5088-01A-01D-A97A-36	chr1	144101001	203715000	55459	-0.002896
TCGA-B0-5088-01A-01D-A97A-36	chr1	203715001	203717000	2	-2.960229
TCGA-B0-5088-01A-01D-A97A-36	chr1	203717001	248931000	44302	-0.004713
TCGA-B0-5088-01A-01D-A97A-36	chr2	11001	4165000	4071	-0.017630
TCGA-B0-5088-01A-01D-A97A-36	chr2	4165001	4176000	11	-0.946501
TCGA-B0-5088-01A-01D-A97A-36	chr2	4176001	87401000	82290	-0.001823
TCGA-B0-5088-01A-01D-A97A-36	chr2	87401001	87405000	4	-0.080933
TCGA-B0-5088-01A-01D-A97A-36	chr2	87405001	190025000	94791	0.000420
TCGA-B0-5088-01A-01D-A97A-36	chr2	190025001	190951000	926	0.341656
TCGA-B0-5088-01A-01D-A97A-36	chr2	190951001	191340000	389	0.015399
TCGA-B0-5088-01A-01D-A97A-36	chr2	191340001	192774000	1422	0.342408
TCGA-B0-5088-01A-01D-A97A-36	chr2	192774001	193273000	491	0.060724
