GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5d07e7cd-558a-41ac-b066-b4f234522a96	1	62920	98602	13	-0.9411
5d07e7cd-558a-41ac-b066-b4f234522a96	1	259407	462894	6	1.0466
5d07e7cd-558a-41ac-b066-b4f234522a96	1	599171	2871142	529	0.1496
5d07e7cd-558a-41ac-b066-b4f234522a96	1	2872530	9529354	4272	-0.0776
5d07e7cd-558a-41ac-b066-b4f234522a96	1	9536422	9536806	2	1.072
5d07e7cd-558a-41ac-b066-b4f234522a96	1	9542315	12778601	1670	-0.0675
5d07e7cd-558a-41ac-b066-b4f234522a96	1	12779433	12868035	33	0.3404
5d07e7cd-558a-41ac-b066-b4f234522a96	1	12922922	15443212	1612	-0.0899
5d07e7cd-558a-41ac-b066-b4f234522a96	1	15450480	15823420	204	0.0113
5d07e7cd-558a-41ac-b066-b4f234522a96	1	15827002	15827430	6	-0.7426
5d07e7cd-558a-41ac-b066-b4f234522a96	1	15827706	16721984	344	-0.0412
5d07e7cd-558a-41ac-b066-b4f234522a96	1	16766762	16785682	11	-0.7718
5d07e7cd-558a-41ac-b066-b4f234522a96	1	16787932	16868660	6	-0.0291
5d07e7cd-558a-41ac-b066-b4f234522a96	1	16877002	16935752	52	0.2974
5d07e7cd-558a-41ac-b066-b4f234522a96	1	16949746	24284094	4640	-0.0825
5d07e7cd-558a-41ac-b066-b4f234522a96	1	24284451	28956884	2148	-0.0384
5d07e7cd-558a-41ac-b066-b4f234522a96	1	28957052	30662823	1222	-0.1148
5d07e7cd-558a-41ac-b066-b4f234522a96	1	30663301	31218730	303	-0.0273
5d07e7cd-558a-41ac-b066-b4f234522a96	1	31219188	56029448	14104	0.1419
5d07e7cd-558a-41ac-b066-b4f234522a96	1	56029695	56030972	3	-0.9054
5d07e7cd-558a-41ac-b066-b4f234522a96	1	56033778	59779744	2993	0.1399
5d07e7cd-558a-41ac-b066-b4f234522a96	1	59787459	72303233	8608	0.0351
5d07e7cd-558a-41ac-b066-b4f234522a96	1	72303253	72345465	45	-1.2329
5d07e7cd-558a-41ac-b066-b4f234522a96	1	72346221	75648636	1977	0.0198
5d07e7cd-558a-41ac-b066-b4f234522a96	1	75648979	75650578	3	-1.0335
5d07e7cd-558a-41ac-b066-b4f234522a96	1	75650920	87980017	8293	0.0338
5d07e7cd-558a-41ac-b066-b4f234522a96	1	87981643	103090503	9559	0.1231
5d07e7cd-558a-41ac-b066-b4f234522a96	1	103097546	105476583	1111	0.0329
5d07e7cd-558a-41ac-b066-b4f234522a96	1	105476614	105479753	16	0.5934
5d07e7cd-558a-41ac-b066-b4f234522a96	1	105481433	109684893	2635	0.0485
5d07e7cd-558a-41ac-b066-b4f234522a96	1	109690352	109692006	10	1.0525
5d07e7cd-558a-41ac-b066-b4f234522a96	1	109696900	112147704	1954	0.0412
5d07e7cd-558a-41ac-b066-b4f234522a96	1	112153343	112154768	25	0.4465
5d07e7cd-558a-41ac-b066-b4f234522a96	1	112163334	121170716	5079	0.0444
5d07e7cd-558a-41ac-b066-b4f234522a96	1	121201569	121561051	70	0.2915
5d07e7cd-558a-41ac-b066-b4f234522a96	1	121562160	143748012	111	0.0936
5d07e7cd-558a-41ac-b066-b4f234522a96	1	143748074	143796140	22	0.6611
5d07e7cd-558a-41ac-b066-b4f234522a96	1	143811517	151661435	1763	-0.0033
5d07e7cd-558a-41ac-b066-b4f234522a96	1	151661878	152583051	559	-0.0425
5d07e7cd-558a-41ac-b066-b4f234522a96	1	152583230	152613762	31	-1.5825
5d07e7cd-558a-41ac-b066-b4f234522a96	1	152613802	152787202	171	-0.046
5d07e7cd-558a-41ac-b066-b4f234522a96	1	152789447	152796224	37	-1.7323
5d07e7cd-558a-41ac-b066-b4f234522a96	1	152801429	160001606	4345	-0.0427
5d07e7cd-558a-41ac-b066-b4f234522a96	1	160001994	196745743	25109	-0.1707
5d07e7cd-558a-41ac-b066-b4f234522a96	1	196758720	196843377	59	0.2444
5d07e7cd-558a-41ac-b066-b4f234522a96	1	196843400	196846661	2	4.2357
5d07e7cd-558a-41ac-b066-b4f234522a96	1	196847600	223324015	18005	-0.172
5d07e7cd-558a-41ac-b066-b4f234522a96	1	223324803	223326430	3	-1.2816
5d07e7cd-558a-41ac-b066-b4f234522a96	1	223328916	225827415	1566	-0.1693
5d07e7cd-558a-41ac-b066-b4f234522a96	1	225827598	225877045	26	0.1487
5d07e7cd-558a-41ac-b066-b4f234522a96	1	225877146	240228440	10331	-0.1723
5d07e7cd-558a-41ac-b066-b4f234522a96	1	240230715	240230824	5	-1.9253
5d07e7cd-558a-41ac-b066-b4f234522a96	1	240230839	248457862	5661	-0.1717
5d07e7cd-558a-41ac-b066-b4f234522a96	1	248458096	248930189	197	-0.0988
5d07e7cd-558a-41ac-b066-b4f234522a96	2	12784	737505	518	0.0638
5d07e7cd-558a-41ac-b066-b4f234522a96	2	742100	747161	3	-1.3776
