GDC_Aliquot_ID	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-B6-A0RH-01A-21D-A892-36	chr1	17001	191000	6	0.161016
TCGA-B6-A0RH-01A-21D-A892-36	chr1	191001	778000	11	-0.384612
TCGA-B6-A0RH-01A-21D-A892-36	chr1	778001	12791000	11783	0.016996
TCGA-B6-A0RH-01A-21D-A892-36	chr1	12791001	13007000	88	0.626534
TCGA-B6-A0RH-01A-21D-A892-36	chr1	13056001	16541000	3251	0.020013
TCGA-B6-A0RH-01A-21D-A892-36	chr1	16541001	16949000	237	-0.124078
TCGA-B6-A0RH-01A-21D-A892-36	chr1	16949001	46854000	29674	0.018492
TCGA-B6-A0RH-01A-21D-A892-36	chr1	46854001	47132000	257	-0.576537
TCGA-B6-A0RH-01A-21D-A892-36	chr1	47132001	59580000	12388	0.027244
TCGA-B6-A0RH-01A-21D-A892-36	chr1	59580001	59585000	5	-4.602257
TCGA-B6-A0RH-01A-21D-A892-36	chr1	59585001	120672000	59669	0.025665
TCGA-B6-A0RH-01A-21D-A892-36	chr1	120805001	120860000	8	-0.929428
TCGA-B6-A0RH-01A-21D-A892-36	chr1	120878001	121604000	281	0.013403
TCGA-B6-A0RH-01A-21D-A892-36	chr1	121735001	121743000	2	-1.615957
TCGA-B6-A0RH-01A-21D-A892-36	chr1	121743001	123981000	173	-0.236241
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124005001	124070000	8	-0.708207
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124096001	124206000	16	0.246282
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124206001	124407000	31	-0.443193
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124407001	124563000	31	0.242950
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124564001	124591000	6	-1.090961
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124591001	124906000	59	0.047557
TCGA-B6-A0RH-01A-21D-A892-36	chr1	124908001	143538000	327	0.747457
TCGA-B6-A0RH-01A-21D-A892-36	chr1	143538001	143936000	236	0.855834
TCGA-B6-A0RH-01A-21D-A892-36	chr1	143937001	152223000	4504	0.764691
TCGA-B6-A0RH-01A-21D-A892-36	chr1	152223001	152340000	110	0.800765
TCGA-B6-A0RH-01A-21D-A892-36	chr1	152340001	153629000	1238	0.784923
TCGA-B6-A0RH-01A-21D-A892-36	chr1	153629001	154532000	903	0.751572
TCGA-B6-A0RH-01A-21D-A892-36	chr1	154532001	162381000	7709	0.772901
TCGA-B6-A0RH-01A-21D-A892-36	chr1	162381001	162471000	90	0.778538
TCGA-B6-A0RH-01A-21D-A892-36	chr1	162471001	162921000	447	0.779789
TCGA-B6-A0RH-01A-21D-A892-36	chr1	162921001	166351000	3411	0.778358
TCGA-B6-A0RH-01A-21D-A892-36	chr1	166351001	166398000	47	0.768224
TCGA-B6-A0RH-01A-21D-A892-36	chr1	166398001	168337000	1937	0.771012
TCGA-B6-A0RH-01A-21D-A892-36	chr1	168337001	168383000	42	0.775670
TCGA-B6-A0RH-01A-21D-A892-36	chr1	168383001	183147000	14652	0.778810
TCGA-B6-A0RH-01A-21D-A892-36	chr1	183147001	183184000	36	0.747476
TCGA-B6-A0RH-01A-21D-A892-36	chr1	183184001	189016000	5789	0.775867
TCGA-B6-A0RH-01A-21D-A892-36	chr1	189016001	189032000	16	0.830212
TCGA-B6-A0RH-01A-21D-A892-36	chr1	189032001	189421000	389	0.780549
TCGA-B6-A0RH-01A-21D-A892-36	chr1	189421001	194426000	4979	0.776230
TCGA-B6-A0RH-01A-21D-A892-36	chr1	194426001	194632000	202	0.773133
TCGA-B6-A0RH-01A-21D-A892-36	chr1	194632001	194726000	94	0.764490
TCGA-B6-A0RH-01A-21D-A892-36	chr1	194726001	194938000	212	0.768121
TCGA-B6-A0RH-01A-21D-A892-36	chr1	194938001	206816000	11521	0.774132
TCGA-B6-A0RH-01A-21D-A892-36	chr1	206816001	224739000	17661	0.774095
TCGA-B6-A0RH-01A-21D-A892-36	chr1	224739001	226059000	1317	0.775650
TCGA-B6-A0RH-01A-21D-A892-36	chr1	226059001	227034000	973	0.765098
TCGA-B6-A0RH-01A-21D-A892-36	chr1	227034001	231827000	4668	0.775386
TCGA-B6-A0RH-01A-21D-A892-36	chr1	231827001	234426000	2589	0.778619
TCGA-B6-A0RH-01A-21D-A892-36	chr1	234426001	234464000	38	0.750380
TCGA-B6-A0RH-01A-21D-A892-36	chr1	234464001	237855000	3351	0.759466
TCGA-B6-A0RH-01A-21D-A892-36	chr1	237855001	237881000	26	0.738438
TCGA-B6-A0RH-01A-21D-A892-36	chr1	237881001	238904000	1021	0.748776
TCGA-B6-A0RH-01A-21D-A892-36	chr1	238904001	243104000	4152	0.756198
TCGA-B6-A0RH-01A-21D-A892-36	chr1	243104001	245155000	2041	0.766616
TCGA-B6-A0RH-01A-21D-A892-36	chr1	245155001	247008000	1831	0.770506
TCGA-B6-A0RH-01A-21D-A892-36	chr1	247008001	248414000	1366	0.767226
TCGA-B6-A0RH-01A-21D-A892-36	chr1	248414001	248553000	67	0.889576
TCGA-B6-A0RH-01A-21D-A892-36	chr1	248562001	248670000	78	0.486241
TCGA-B6-A0RH-01A-21D-A892-36	chr1	248670001	248931000	257	0.740663
TCGA-B6-A0RH-01A-21D-A892-36	chr2	11001	38726000	38406	-0.006041
TCGA-B6-A0RH-01A-21D-A892-36	chr2	38726001	38745000	19	0.505159
TCGA-B6-A0RH-01A-21D-A892-36	chr2	38745001	56502000	17651	0.000021
TCGA-B6-A0RH-01A-21D-A892-36	chr2	56502001	56521000	19	0.606821
TCGA-B6-A0RH-01A-21D-A892-36	chr2	56521001	90380000	32039	-0.000796
