GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	62920	855169	43	0.0516
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	855630	3402413	763	-0.16
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	3408473	16604834	7845	-0.0336
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	16605031	16977349	123	-0.2385
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	16981663	21992508	3328	-0.0273
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	21996664	22010750	5	-1.3292
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	22011632	30265508	4327	-0.0257
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	30265585	30266949	6	-1.0835
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	30268649	72284670	26336	-0.0263
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	72290430	72297687	9	-2.7146
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	72302735	72345465	48	0.797
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	72346221	79180195	4295	-0.0467
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	79180396	83494298	2854	-0.0737
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	83497640	94669875	7277	-0.0187
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	94669891	107103139	7625	-0.0501
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	107105006	146150530	9021	-0.0307
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	146161924	146174153	2	-1.3238
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	146250588	152583051	2132	-0.0191
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	152583230	152613762	31	2.3471
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	152613802	152614118	4	0.9807
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	152618018	167736395	10332	-0.0302
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	167743841	167746160	5	-1.0212
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	167746504	169247699	1156	-0.0146
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	169264736	169272528	7	0.7866
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	169273163	186296944	11273	-0.0296
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	186297161	189679027	2170	-0.0724
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	189679353	189679397	2	-1.3112
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	189682917	191695184	1324	-0.0795
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	191700054	195418457	2547	-0.0388
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	195418852	195421516	4	-0.8516
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	195422872	196745743	865	-0.0516
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	196758720	196832525	57	-0.5818
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	196832720	209897717	8794	-0.0361
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	209908268	209910639	3	-1.6523
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	209913207	212831113	1948	-0.0208
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	212831670	212841111	8	-0.6961
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	212847437	229675422	11092	-0.0389
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	229681109	229684383	2	-2.5945
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	229684449	237113755	5587	-0.0294
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	237113798	244319820	5475	-0.0601
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	244320883	245473108	722	0.0026
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	245473737	245483048	10	-0.9119
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	245483602	247133582	1153	-0.0282
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	247138880	247176077	22	0.377
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	247176466	248589915	845	-0.0183
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	248590063	248631988	26	0.304
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	1	248633821	248930189	143	-0.0589
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	12784	1227545	821	-0.0908
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	1227822	1234887	4	-1.6826
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	1241192	8002428	5484	-0.0833
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	8002814	11751343	2615	-0.0323
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	11755438	14563570	2113	-0.0683
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	14564825	14569968	12	-4.2882
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	14570240	27538133	8415	-0.0532
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	27542441	27556651	9	-2.0656
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	27561561	31917451	2925	-0.0452
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	31918398	32824455	400	0.0368
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	32825749	34466002	1293	-0.0672
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	34474248	34511990	46	-1.2901
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	34512096	35742970	871	-0.0372
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	35750907	35762850	7	0.7926
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	35762881	52514599	12127	-0.0406
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	52516787	52554404	41	0.5004
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	52560811	75215518	14514	-0.0451
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	75216464	75220297	2	-1.3672
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	75222003	75290784	43	-4.1086
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	75296346	77062100	1343	-0.0435
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	77063424	77609672	320	-0.2118
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	77609872	77738395	71	-0.0711
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	77745927	78247657	340	-0.6693
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	78250872	106263639	12793	-0.0557
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	106264257	106270799	12	-1.2287
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	106270952	141486788	21026	-0.054
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	141486842	146071956	2776	-0.0981
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	146072353	146107015	23	0.0972
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	146107511	146109366	19	0.8697
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	146120238	148101699	1011	-0.0804
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	148105073	208380706	36521	-0.0434
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	208382257	212520793	2651	-0.0765
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	212520898	212521351	2	-1.4235
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	212522839	214167276	1013	-0.0824
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	214167856	238817753	16069	-0.0539
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	2	238823010	242147305	1789	-0.0963
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	3	20930	26541729	20001	-0.0439
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	3	26546950	26547166	2	-1.4832
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	3	26547373	52998022	15739	-0.0319
c9bd0fa5-f732-49ad-96ea-fbdfda4ac95b	3	52999132	53005473	29	-0.6056
